case,step,dishmean_co2,surf_co2_mean
BRIC light,0,0.0000,0.0000
BRIC light,1000,-0.0050,-0.0790
BRIC light,2000,-0.0090,-0.1120
BRIC light,3000,-0.0140,-0.1360
BRIC light,4000,-0.0190,-0.1550
BRIC light,5000,-0.0230,-0.1710
BRIC light,6000,-0.0280,-0.1850
BRIC light,7000,-0.0330,-0.1980
BRIC light,8000,-0.0370,-0.2090
BRIC light,9000,-0.0420,-0.2200
BRIC light,10000,-0.0470,-0.2290
BRIC light,11000,-0.0520,-0.2380
BRIC light,12000,-0.0560,-0.2460
BRIC light,13000,-0.0610,-0.2540
BRIC light,14000,-0.0660,-0.2610
BRIC light,15000,-0.0700,-0.2680
BRIC light,16000,-0.0750,-0.2750
BRIC light,17000,-0.0800,-0.2820
BRIC light,18000,-0.0840,-0.2880
BRIC light,19000,-0.0890,-0.2940
BRIC light,20000,-0.0940,-0.3000
BRIC light,21000,-0.0980,-0.3060
BRIC light,22000,-0.1030,-0.3120
BRIC light,23000,-0.1080,-0.3170
BRIC light,24000,-0.1120,-0.3230
BRIC light,25000,-0.1170,-0.3280
BRIC light,26000,-0.1220,-0.3340
BRIC light,27000,-0.1260,-0.3390
BRIC light,28000,-0.1310,-0.3440
BRIC light,29000,-0.1360,-0.3490
BRIC light,30000,-0.1410,-0.3550
BRIC light,31000,-0.1450,-0.3600
BRIC light,32000,-0.1500,-0.3650
BRIC light,33000,-0.1550,-0.3700
BRIC light,34000,-0.1590,-0.3750
BRIC light,35000,-0.1640,-0.3800
BRIC light,36000,-0.1690,-0.3850
BRIC light,37000,-0.1730,-0.3900
BRIC light,38000,-0.1780,-0.3940
BRIC light,39000,-0.1830,-0.3990
BRIC light,40000,-0.1870,-0.4040
BRIC dark,0,0.0000,0.0000
BRIC dark,1000,0.0010,0.0250
BRIC dark,2000,0.0030,0.0350
BRIC dark,3000,0.0040,0.0420
BRIC dark,4000,0.0060,0.0480
BRIC dark,5000,0.0070,0.0530
BRIC dark,6000,0.0090,0.0570
BRIC dark,7000,0.0100,0.0610
BRIC dark,8000,0.0120,0.0650
BRIC dark,9000,0.0130,0.0680
BRIC dark,10000,0.0150,0.0710
BRIC dark,11000,0.0160,0.0740
BRIC dark,12000,0.0170,0.0760
BRIC dark,13000,0.0190,0.0790
BRIC dark,14000,0.0200,0.0810
BRIC dark,15000,0.0220,0.0830
BRIC dark,16000,0.0230,0.0850
BRIC dark,17000,0.0250,0.0870
BRIC dark,18000,0.0260,0.0890
BRIC dark,19000,0.0280,0.0910
BRIC dark,20000,0.0290,0.0930
BRIC dark,21000,0.0300,0.0950
BRIC dark,22000,0.0320,0.0970
BRIC dark,23000,0.0330,0.0980
BRIC dark,24000,0.0350,0.1000
BRIC dark,25000,0.0360,0.1020
BRIC dark,26000,0.0380,0.1030
BRIC dark,27000,0.0390,0.1050
BRIC dark,28000,0.0410,0.1070
BRIC dark,29000,0.0420,0.1080
BRIC dark,30000,0.0440,0.1100
BRIC dark,31000,0.0450,0.1110
BRIC dark,32000,0.0460,0.1130
BRIC dark,33000,0.0480,0.1150
BRIC dark,34000,0.0490,0.1160
BRIC dark,35000,0.0510,0.1180
BRIC dark,36000,0.0520,0.1190
BRIC dark,37000,0.0540,0.1210
BRIC dark,38000,0.0550,0.1220
BRIC dark,39000,0.0570,0.1240
BRIC dark,40000,0.0580,0.1250
CARA tape,0,0.0000,0.0000
CARA tape,1000,-0.0050,-0.0790
CARA tape,2000,-0.0090,-0.1120
CARA tape,3000,-0.0140,-0.1360
CARA tape,4000,-0.0190,-0.1550
CARA tape,5000,-0.0230,-0.1710
CARA tape,6000,-0.0280,-0.1850
CARA tape,7000,-0.0320,-0.1980
CARA tape,8000,-0.0370,-0.2090
CARA tape,9000,-0.0410,-0.2190
CARA tape,10000,-0.0450,-0.2290
CARA tape,11000,-0.0490,-0.2380
CARA tape,12000,-0.0530,-0.2460
CARA tape,13000,-0.0570,-0.2530
CARA tape,14000,-0.0600,-0.2610
CARA tape,15000,-0.0640,-0.2670
CARA tape,16000,-0.0670,-0.2740
CARA tape,17000,-0.0710,-0.2800
CARA tape,18000,-0.0740,-0.2860
CARA tape,19000,-0.0770,-0.2910
CARA tape,20000,-0.0800,-0.2960
CARA tape,21000,-0.0830,-0.3010
CARA tape,22000,-0.0860,-0.3060
CARA tape,23000,-0.0880,-0.3110
CARA tape,24000,-0.0910,-0.3150
CARA tape,25000,-0.0930,-0.3190
CARA tape,26000,-0.0960,-0.3240
CARA tape,27000,-0.0980,-0.3270
CARA tape,28000,-0.1010,-0.3310
CARA tape,29000,-0.1030,-0.3350
CARA tape,30000,-0.1050,-0.3380
CARA tape,31000,-0.1070,-0.3420
CARA tape,32000,-0.1090,-0.3450
CARA tape,33000,-0.1110,-0.3480
CARA tape,34000,-0.1130,-0.3510
CARA tape,35000,-0.1150,-0.3540
CARA tape,36000,-0.1170,-0.3570
CARA tape,37000,-0.1180,-0.3600
