case,step,dishmean_co2,surf_co2_mean
CARA tape,38000,-0.1200,-0.3620
CARA tape,39000,-0.1220,-0.3650
CARA tape,40000,-0.1230,-0.3680
VEGGIE vented,0,NaN,0.0000
VEGGIE vented,1000,NaN,-0.0720
VEGGIE vented,2000,NaN,-0.0860
VEGGIE vented,3000,NaN,-0.0890
VEGGIE vented,4000,NaN,-0.0900
VEGGIE vented,5000,NaN,-0.0910
VEGGIE vented,6000,NaN,-0.0910
VEGGIE vented,7000,NaN,-0.0920
VEGGIE vented,8000,NaN,-0.0920
VEGGIE vented,9000,NaN,-0.0930
VEGGIE vented,10000,NaN,-0.0940
VEGGIE vented,11000,NaN,-0.0940
VEGGIE vented,12000,NaN,-0.0950
VEGGIE vented,13000,NaN,-0.0950
VEGGIE vented,14000,NaN,-0.0960
VEGGIE vented,15000,NaN,-0.0970
VEGGIE vented,16000,NaN,-0.0970
VEGGIE vented,17000,NaN,-0.0980
VEGGIE vented,18000,NaN,-0.0980
VEGGIE vented,19000,NaN,-0.0990
VEGGIE vented,20000,NaN,-0.1000
VEGGIE vented,21000,NaN,-0.1000
VEGGIE vented,22000,NaN,-0.1010
VEGGIE vented,23000,NaN,-0.1010
VEGGIE vented,24000,NaN,-0.1020
VEGGIE vented,25000,NaN,-0.1030
VEGGIE vented,26000,NaN,-0.1030
VEGGIE vented,27000,NaN,-0.1040
VEGGIE vented,28000,NaN,-0.1040
VEGGIE vented,29000,NaN,-0.1050
VEGGIE vented,30000,NaN,-0.1060
VEGGIE vented,31000,NaN,-0.1060
VEGGIE vented,32000,NaN,-0.1070
VEGGIE vented,33000,NaN,-0.1070
VEGGIE vented,34000,NaN,-0.1080
VEGGIE vented,35000,NaN,-0.1090
VEGGIE vented,36000,NaN,-0.1090
VEGGIE vented,37000,NaN,-0.1100
VEGGIE vented,38000,NaN,-0.1100
VEGGIE vented,39000,NaN,-0.1110
VEGGIE vented,40000,NaN,-0.1120
open (ref),0,NaN,0.0000
open (ref),1000,NaN,-0.0790
open (ref),2000,NaN,-0.1120
open (ref),3000,NaN,-0.1360
open (ref),4000,NaN,-0.1550
open (ref),5000,NaN,-0.1710
open (ref),6000,NaN,-0.1850
open (ref),7000,NaN,-0.1980
open (ref),8000,NaN,-0.2090
open (ref),9000,NaN,-0.2190
open (ref),10000,NaN,-0.2290
open (ref),11000,NaN,-0.2370
open (ref),12000,NaN,-0.2460
open (ref),13000,NaN,-0.2530
open (ref),14000,NaN,-0.2600
open (ref),15000,NaN,-0.2660
open (ref),16000,NaN,-0.2720
open (ref),17000,NaN,-0.2780
open (ref),18000,NaN,-0.2830
open (ref),19000,NaN,-0.2880
open (ref),20000,NaN,-0.2930
open (ref),21000,NaN,-0.2970
open (ref),22000,NaN,-0.3010
open (ref),23000,NaN,-0.3050
open (ref),24000,NaN,-0.3090
open (ref),25000,NaN,-0.3120
open (ref),26000,NaN,-0.3150
open (ref),27000,NaN,-0.3180
open (ref),28000,NaN,-0.3210
open (ref),29000,NaN,-0.3240
open (ref),30000,NaN,-0.3260
open (ref),31000,NaN,-0.3280
open (ref),32000,NaN,-0.3310
open (ref),33000,NaN,-0.3330
open (ref),34000,NaN,-0.3350
open (ref),35000,NaN,-0.3360
open (ref),36000,NaN,-0.3380
open (ref),37000,NaN,-0.3400
open (ref),38000,NaN,-0.3410
open (ref),39000,NaN,-0.3420
open (ref),40000,NaN,-0.3440
