enclosure,A start (µmol/m2/s),A end (µmol/m2/s),12h carbon (% Earth)
Earth,3.83,3.83,100
VEGGIE,3.83,3.83,100
CARA,3.82,3.47,90
BRIC,3.82,0.00,1
