scenario,scale,gravity_g,g_bl_mol_m2_s,delta_mm,Sherwood,dC_CO2_mean,o2_excess_ppm
leaf-earth,leaf,9.81,1.000,0.67,22.5,-0.161,2.7
leaf-mars,leaf,3.71,0.847,0.79,19.1,-0.19,3.2
leaf-moon,leaf,1.62,0.719,0.93,16.2,-0.224,3.8
leaf-ug,leaf,0,0.494,1.35,11.1,-0.326,5.1
rosette-earth,rosette,9.81,0.540,1.23,16.4,-0.298,4.8
rosette-ug,rosette,0,0.291,2.29,8.8,-0.554,8.6
canopy-earth,canopy,9.81,0.148,4.51,1.7,-0.327,5.4
canopy-ug,canopy,0,0.109,6.13,1.2,-0.445,7.6
