# OSD-522 shoot proteome — SOL/MEM reconciliation
# proteins seen in both fractions; the row with the smaller adjusted p-value was kept
accession	gene	kept_fraction	kept_log2fc	kept_adj_p	dropped
A0A178U9N5	PPD5	MEM	-0.3600	0.4482	SOL log2fc=0.010 adj_p=0.815
A0A178VEL3	AtVIP1	SOL	-0.5500	0.08166	MEM log2fc=-0.170 adj_p=0.26
A0A178W0D3	PTAC4	MEM	0.4900	0.0175	SOL log2fc=-0.490 adj_p=0.0613
A0A1I9LLC0	CID4	MEM	0.6800	0.04127	SOL log2fc=-0.300 adj_p=0.0434
A0A1I9LM53	At3g59350	MEM	0.2100	0.01953	SOL log2fc=-0.430 adj_p=0.0221
A0A1I9LM56	BGAL2	SOL	0.2100	0.2336	MEM log2fc=-0.280 adj_p=0.259
A0A1I9LM90	FLK	MEM	-0.2600	0.0346	SOL log2fc=-0.050 adj_p=0.327
A0A1I9LMI8	At3g23450	MEM	0.5100	0.04749	SOL log2fc=0.950 adj_p=0.0651
A0A1I9LMY7	At3g04920	MEM	0.1500	0.4092	SOL log2fc=0.400 adj_p=0.428
A0A1I9LN83	RHM3	SOL	-0.1300	0.4009	MEM log2fc=0.000 adj_p=0.851
A0A1I9LNS4	At3g62120	MEM	-0.1900	0.1672	SOL log2fc=-0.050 adj_p=0.48
A0A1I9LNT2	SDR1	SOL	-0.4700	0.03686	MEM log2fc=0.150 adj_p=0.0604
A0A1I9LPC7	At3g04760	MEM	0.4400	0.02803	SOL log2fc=-0.580 adj_p=0.0614
A0A1I9LPZ9	DEG7	MEM	-0.2900	0.04698	SOL log2fc=-0.380 adj_p=0.0477
A0A1I9LR04	NACA2	MEM	0.8400	0.01203	SOL log2fc=0.190 adj_p=0.358
A0A1I9LRA3	At3g20370	MEM	0.8800	0.01906	SOL log2fc=0.480 adj_p=0.0986
A0A1I9LRM3	AIR12	MEM	0.1600	0.03344	SOL log2fc=-0.110 adj_p=0.258
A0A1I9LSC3	At3g25580	MEM	0.5200	0.006511	SOL log2fc=0.240 adj_p=0.156
A0A1I9LSL6	At3g07010	SOL	-0.3100	0.02447	MEM log2fc=-0.280 adj_p=0.306
A0A1I9LT21	EXLA1	MEM	0.3800	0.0782	SOL log2fc=0.460 adj_p=0.0833
A0A1I9LT48	CHUP1	MEM	-0.3000	0.08606	SOL log2fc=-0.850 adj_p=0.2
A0A1I9LT70	ARA6	MEM	0.2900	0.09388	SOL log2fc=-0.320 adj_p=0.825
A0A1I9LTQ6	GYRB1	MEM	0.4600	0.01524	SOL log2fc=-0.400 adj_p=0.0477
A0A1P8AM12	RHON1	SOL	-0.0900	0.2286	MEM log2fc=0.060 adj_p=0.323
A0A1P8ANC2	CPK33	MEM	0.0800	0.357	SOL log2fc=0.000 adj_p=0.619
A0A1P8ANX8	VHA-E3	SOL	0.3600	0.07551	MEM log2fc=-0.080 adj_p=0.98
A0A1P8API2	SERPIN1	SOL	0.7900	0.03741	MEM log2fc=0.190 adj_p=0.127
A0A1P8APR6	GAPA-2	SOL	-0.0700	0.2568	MEM log2fc=-0.090 adj_p=0.508
A0A1P8APW3	SR45	MEM	-0.4000	0.03199	SOL log2fc=-0.780 adj_p=0.427
A0A1P8AQ84	EMB3108	MEM	2.0700	0.02357	SOL log2fc=-0.180 adj_p=0.042
A0A1P8AQT8	XTH17	MEM	1.7500	0.004122	SOL log2fc=0.680 adj_p=0.154
A0A1P8AQY7	GC5	MEM	-2.5600	0.003847	SOL log2fc=-0.340 adj_p=0.0798
A0A1P8AR50	At1g01320	SOL	-0.7300	0.04607	MEM log2fc=0.090 adj_p=0.637
A0A1P8ARX7	PDE338	MEM	0.4100	0.04159	SOL log2fc=0.060 adj_p=0.73
A0A1P8ASR5	At1g56220	MEM	-0.5200	0.003594	SOL log2fc=0.490 adj_p=0.0236
A0A1P8AT01	At1g11660	MEM	-0.2100	0.03972	SOL log2fc=-0.080 adj_p=0.294
A0A1P8AT97	ILA	MEM	-0.1500	0.2987	SOL log2fc=-0.060 adj_p=0.574
A0A1P8ATL2	CRB	MEM	-0.2200	0.04298	SOL log2fc=-0.260 adj_p=0.0449
A0A1P8ATN7	At1g50380	SOL	0.4800	0.1467	MEM log2fc=0.090 adj_p=0.618
A0A1P8AU10	PDCB4	MEM	0.3400	0.2552	SOL log2fc=-0.080 adj_p=0.783
A0A1P8AU99	RDH2	MEM	1.6500	0.02017	SOL log2fc=-0.210 adj_p=0.0574
A0A1P8AUD8	UGT72B3	MEM	-0.5600	0.1717	SOL log2fc=-0.410 adj_p=0.19
A0A1P8AUM8	IMD3	MEM	-0.6500	0.1344	SOL log2fc=0.210 adj_p=0.361
A0A1P8AV08	APA1	MEM	0.2200	0.1757	SOL log2fc=0.030 adj_p=0.867
A0A1P8AV73	At1g52360	SOL	-0.7000	0.04388	MEM log2fc=-0.160 adj_p=0.075
A0A1P8AVI9	At1g69800	MEM	-0.0800	0.3554	SOL log2fc=-0.190 adj_p=0.41
A0A1P8AWQ1	At1g62660	SOL	0.5600	0.05702	MEM log2fc=0.160 adj_p=0.265
