# OSD-522 shoot proteome — SOL/MEM reconciliation
# proteins seen in both fractions; the row with the smaller adjusted p-value was kept
accession	gene	kept_fraction	kept_log2fc	kept_adj_p	dropped
A0A1P8AWX3	At1g33590	MEM	-0.5600	0.245	SOL log2fc=0.010 adj_p=0.552
A0A1P8AX55	PAG1	MEM	0.1500	0.3822	SOL log2fc=-0.030 adj_p=0.738
A0A1P8AXC1	VAR2	MEM	-1.0000	0.01851	SOL log2fc=-0.190 adj_p=0.0366
A0A1P8AXD8	FTSZ2-1	MEM	-0.4200	0.0264	SOL log2fc=0.270 adj_p=0.0961
A0A1P8AY36	At2g34480	MEM	0.3500	0.1714	SOL log2fc=0.360 adj_p=0.266
A0A1P8AYA1	PIP2B	MEM	-0.0100	0.4997	SOL log2fc=-0.230 adj_p=0.532
A0A1P8AZL4	HEMD	SOL	-0.2000	0.07818	MEM log2fc=-0.280 adj_p=0.321
A0A1P8AZM7	At2g04650	MEM	-0.1800	0.146	SOL log2fc=-0.540 adj_p=0.259
A0A1P8AZS7	NTRA	MEM	1.9300	0.01301	SOL log2fc=0.570 adj_p=0.0403
A0A1P8B0B7	IQD29	MEM	0.6400	0.08548	SOL log2fc=-0.190 adj_p=0.193
A0A1P8B1B5	GRP3S	MEM	1.9100	0.009449	SOL log2fc=1.350 adj_p=0.0234
A0A1P8B1L4	ANNAT4	MEM	0.2900	0.2718	SOL log2fc=0.030 adj_p=0.644
A0A1P8B252	At2g43560	SOL	0.4100	0.491	MEM log2fc=0.050 adj_p=0.743
A0A1P8B2D9	PIP	SOL	0.1300	0.1342	MEM log2fc=0.450 adj_p=0.156
A0A1P8B3U2	At4g16260	MEM	-1.0800	0.04432	SOL log2fc=-0.470 adj_p=0.929
A0A1P8B413	At4g13550	MEM	-0.5500	0.006027	SOL log2fc=-0.050 adj_p=0.435
A0A1P8B485	AGY1	SOL	-0.4000	0.05006	MEM log2fc=0.060 adj_p=0.296
A0A1P8B4X7	WIN2	MEM	-0.0900	0.4164	SOL log2fc=-0.020 adj_p=0.716
A0A1P8B5K1	At4g31210	MEM	-0.3300	0.0244	SOL log2fc=-0.330 adj_p=0.321
A0A1P8B5L9	AGT2	MEM	-0.1900	0.1892	SOL log2fc=-0.100 adj_p=0.411
A0A1P8B687	At4g13720	MEM	0.9400	0.03344	SOL log2fc=-0.320 adj_p=0.169
A0A1P8B6G3	At4g19006	SOL	-0.1300	0.1767	MEM log2fc=-0.080 adj_p=0.558
A0A1P8B6W3	MGD1	MEM	-0.8900	0.004947	SOL log2fc=-0.050 adj_p=0.924
A0A1P8B7W9	CAP1	MEM	0.5400	0.03594	SOL log2fc=-0.480 adj_p=0.153
A0A1P8B8R9	At4g16660	MEM	-0.4900	0.005861	SOL log2fc=-0.090 adj_p=0.22
A0A1P8B9J5	MFC19.17	MEM	-0.5700	0.03309	SOL log2fc=-0.740 adj_p=0.0738
A0A1P8B9K9	AMK2	MEM	0.4400	0.06	SOL log2fc=-0.180 adj_p=0.273
A0A1P8B9L6	MAM1	MEM	-2.7700	0.01377	SOL log2fc=-2.690 adj_p=0.025
A0A1P8B9P2	At5g35100	MEM	-0.4800	0.1335	SOL log2fc=-0.060 adj_p=0.97
A0A1P8B9R0	MRG7.19	SOL	-0.3800	0.09905	MEM log2fc=0.040 adj_p=0.771
A0A1P8B9U3	At5g04885	MEM	-0.4700	0.005024	SOL log2fc=-0.040 adj_p=0.886
A0A1P8BAJ3	RS41	SOL	-0.6100	0.1538	MEM log2fc=0.080 adj_p=0.457
A0A1P8BAQ0	MNC6.3	SOL	0.5600	0.3607	MEM log2fc=0.160 adj_p=0.617
A0A1P8BAU5	RSW3	MEM	0.4500	0.01334	SOL log2fc=0.000 adj_p=0.598
A0A1P8BC80	ADCL	SOL	-0.1100	0.2888	MEM log2fc=-0.140 adj_p=0.534
A0A1P8BCJ3	At5g44380	MEM	1.2000	0.002789	SOL log2fc=1.380 adj_p=0.018
A0A1P8BDP7	KAC2	MEM	-0.3400	0.06853	SOL log2fc=-0.410 adj_p=0.204
A0A1P8BDV1	MQJ2.5	MEM	0.4200	0.04068	SOL log2fc=-0.190 adj_p=0.111
A0A1P8BE58	HEMG2	MEM	0.2300	0.2467	SOL log2fc=-0.140 adj_p=0.355
A0A1P8BG37	HCF136	MEM	0.7700	0.05904	SOL log2fc=0.030 adj_p=0.892
A0A1P8BG38	MJB21.12	MEM	-0.1700	0.0261	SOL log2fc=-0.010 adj_p=0.678
A0A1P8BGI7	At5g17530	SOL	-0.0500	0.4297	MEM log2fc=0.000 adj_p=0.943
A0A1P8BH73	PHOS32	MEM	0.2600	0.0335	SOL log2fc=0.110 adj_p=0.0754
A0A2H1ZEA9	At1g11860	MEM	0.1500	0.2533	SOL log2fc=-0.340 adj_p=0.263
A0A2H1ZEC4	Cpn60beta4	MEM	-0.5000	0.01387	SOL log2fc=-0.240 adj_p=0.0854
A0A2H1ZEJ8	GLDH	MEM	-0.9000	0.009026	SOL log2fc=0.150 adj_p=0.214
A0A2H1ZEM8	AARE	SOL	0.0000	0.5243	MEM log2fc=-0.100 adj_p=0.729
A0A2P2CLF9	atp1	MEM	-0.2400	0.04411	SOL log2fc=-0.280 adj_p=0.0758
A1L4Y4	At5g61510	MEM	0.7700	0.006037	SOL log2fc=0.030 adj_p=0.373
A2RVJ8	HIT4	MEM	-0.4100	0.01671	SOL log2fc=-0.150 adj_p=0.0554
A2RVS6	SR34A	MEM	-1.0000	0.01617	SOL log2fc=-0.680 adj_p=0.475
A2RVV4	MRI1.6	SOL	0.3400	0.1601	MEM log2fc=-0.270 adj_p=0.371
A4GNA8	PSD3	MEM	-0.4200	0.06184	SOL log2fc=-0.260 adj_p=0.241
A4GSN8	NUA	MEM	-0.5500	0.01006	SOL log2fc=-0.930 adj_p=0.0754
A7WM73	HEXO1	MEM	-0.5100	0.1178	SOL log2fc=0.210 adj_p=0.136
A8MQ96	At5g09510	MEM	-1.0300	0.004283	SOL log2fc=-0.200 adj_p=0.388
A8MQA1	BBC1	SOL	0.0100	0.5302	MEM log2fc=0.020 adj_p=0.683
A8MQL8	GASA4	MEM	1.8600	0.002757	SOL log2fc=0.590 adj_p=0.0461
A8MQN9	SCPL34	MEM	0.6500	0.04681	SOL log2fc=0.310 adj_p=0.0521
A8MQP6	At4g10480	MEM	1.4300	0.01982	SOL log2fc=0.170 adj_p=0.406
A8MQR6	ALDH6B2	SOL	0.2000	0.2126	MEM log2fc=0.020 adj_p=0.791
A8MR97	EIF4G	SOL	-0.6400	0.1202	MEM log2fc=0.320 adj_p=0.121
A8MRK6	NAP1:2	MEM	0.7500	0.0265	SOL log2fc=0.080 adj_p=0.703
A8MRQ5	At4g22485	MEM	1.5900	0.05309	SOL log2fc=-0.240 adj_p=0.663
A8MRW1	PIP1B	MEM	2.0000	0.01628	SOL log2fc=-0.430 adj_p=0.317
A8MS32	MHJ24.11	SOL	0.4900	0.3211	MEM log2fc=0.030 adj_p=0.948
A8MS48	MTG13.11	SOL	-0.3200	0.2328	MEM log2fc=0.190 adj_p=0.408
A8MS68	LPD1	MEM	0.4600	0.1305	SOL log2fc=0.330 adj_p=0.223
A8R7K9	VPS35C	SOL	-0.3000	0.1072	MEM log2fc=0.020 adj_p=0.519
B0F9L4	GC6	SOL	-0.5200	0.03664	MEM log2fc=0.230 adj_p=0.273
B3H581	DEG2	MEM	-0.4200	0.091	SOL log2fc=-0.070 adj_p=0.329
B3H604	GRXC2	SOL	0.3300	0.2368	MEM log2fc=0.290 adj_p=0.299
B3H658	BCAT3	SOL	-0.6900	0.04119	MEM log2fc=-0.870 adj_p=0.134
B3H6I9	DDB1A	SOL	-0.3900	0.04406	MEM log2fc=0.140 adj_p=0.26
B3LFA4	At5g38830	SOL	-0.1700	0.09333	MEM log2fc=-0.220 adj_p=0.15
B9DFQ9	EMB1467	MEM	0.3000	0.01299	SOL log2fc=0.110 adj_p=0.716
B9DFR6	OASC	MEM	0.1700	0.2715	SOL log2fc=-0.070 adj_p=0.63
B9DG17	P40	MEM	0.4200	0.1144	SOL log2fc=-0.050 adj_p=0.265
B9DG18	CAT3	MEM	0.0600	0.3666	SOL log2fc=-0.030 adj_p=0.929
B9DGT7	TUBA2	SOL	0.0800	0.455	MEM log2fc=-0.050 adj_p=0.889
B9DH36	GER2	SOL	0.2500	0.07672	MEM log2fc=0.190 adj_p=0.0808
B9DH97	SAR1	MEM	1.3000	0.01022	SOL log2fc=-0.750 adj_p=0.0244
B9DHD7	PVA22	SOL	-0.7300	0.06216	MEM log2fc=0.670 adj_p=0.0919
B9DHQ0	TUBA5	MEM	-0.3000	0.03573	SOL log2fc=-0.410 adj_p=0.212
C0Z352	ADF2	MEM	-1.3100	0.0514	SOL log2fc=0.020 adj_p=0.78
C0Z361	CPN60B3	MEM	-0.6100	0.05234	SOL log2fc=-0.240 adj_p=0.139
F4HQD4	HSP70-15	MEM	0.6500	0.01479	SOL log2fc=-0.090 adj_p=0.23
F4HQE7	At1g79990	MEM	-0.3100	0.01082	SOL log2fc=-0.910 adj_p=0.0454
F4HR91	At1g33610	MEM	0.1500	0.1803	SOL log2fc=-0.070 adj_p=0.932
F4HRT5	CRWN1	MEM	-0.4100	0.04668	SOL log2fc=-0.510 adj_p=0.131
F4HS63	At1g80380	MEM	-0.1900	0.5867	SOL log2fc=-0.060 adj_p=0.696
F4HS76	NHO1	MEM	0.7300	0.003493	SOL log2fc=0.410 adj_p=0.0167
F4HTA1	SEC3A	SOL	-0.7100	0.1287	MEM log2fc=0.230 adj_p=0.229
F4HUG9	At1g14210	SOL	0.3000	0.04384	MEM log2fc=-0.460 adj_p=0.13
F4HUX0	At1g34220	MEM	0.7400	0.003642	SOL log2fc=-0.210 adj_p=0.0936
F4HW26	BSL2	MEM	0.1900	0.1703	SOL log2fc=0.170 adj_p=0.258
F4HWC3	At1g20970	MEM	0.3500	0.04625	SOL log2fc=-0.450 adj_p=0.0651
F4HWQ8	C/VIF1	MEM	0.1900	0.1808	SOL log2fc=1.050 adj_p=0.186
F4HWR0	At1g47980	MEM	1.6700	0.002789	SOL log2fc=3.870 adj_p=0.051
F4HXD2	ALDH10A8	SOL	0.0900	0.2857	MEM log2fc=-0.100 adj_p=0.759
F4HXV6	NUP155	SOL	-0.8300	0.0234	MEM log2fc=-0.440 adj_p=0.0722
F4HXZ1	BRO1	SOL	-0.2100	0.02317	MEM log2fc=0.010 adj_p=0.956
F4HYF3	DCD	SOL	-0.1600	0.04569	MEM log2fc=0.140 adj_p=0.427
F4HZE0	At1g09130	MEM	0.5300	0.03138	SOL log2fc=0.080 adj_p=0.384
F4I082	LTPG6	MEM	-0.1800	0.03063	SOL log2fc=0.470 adj_p=0.0906
F4I0N7	GASA1	MEM	1.1600	0.01426	SOL log2fc=1.230 adj_p=0.0307
F4I116	At1g09620	MEM	0.4700	0.02585	SOL log2fc=-0.380 adj_p=0.0507
F4I2A1	At1g76140	MEM	0.6100	0.01445	SOL log2fc=0.070 adj_p=0.0236
F4I3B3	RBP47A	SOL	-0.4300	0.04535	MEM log2fc=-0.070 adj_p=0.333
F4I3C3	NQR	MEM	-0.5200	0.01028	SOL log2fc=0.080 adj_p=0.335
F4I3J0	At1g56050	MEM	-0.0900	0.1429	SOL log2fc=-0.110 adj_p=0.39
F4I3P9	MURE	SOL	-0.4800	0.04358	MEM log2fc=-0.250 adj_p=0.0671
F4I420	At1g76810	MEM	0.3000	0.02131	SOL log2fc=-0.070 adj_p=0.493
F4I576	MDAR6	MEM	0.2000	0.04108	SOL log2fc=0.450 adj_p=0.0758
F4I5P3	MAC3A	MEM	-0.4300	0.01581	SOL log2fc=-0.300 adj_p=0.0757
F4I6G9	At1g30820	MEM	-0.7400	0.05166	SOL log2fc=-0.150 adj_p=0.396
F4I7I0	ALAAT1	MEM	0.1200	0.05373	SOL log2fc=0.030 adj_p=0.743
F4I7V2	GlcNAc1pUT1	MEM	0.5600	0.0246	SOL log2fc=-0.150 adj_p=0.154
F4I7X1	SKS6	SOL	-0.4300	0.156	MEM log2fc=0.140 adj_p=0.594
F4I8B9	At1g65010	MEM	-0.4000	0.04795	SOL log2fc=-0.310 adj_p=0.0507
F4I907	GLYR2	MEM	0.4700	0.05908	SOL log2fc=-0.020 adj_p=0.662
F4I9J7	Y14	MEM	0.6900	0.03158	SOL log2fc=0.040 adj_p=0.604
F4IA48	At1g78150	SOL	0.5700	0.05073	MEM log2fc=0.200 adj_p=0.52
F4IAG1	SS3	SOL	-0.4300	0.3735	MEM log2fc=0.030 adj_p=0.499
F4IC59	At1g12230	SOL	0.3100	0.1287	MEM log2fc=0.040 adj_p=0.798
F4ICX9	TSA1	MEM	-1.4800	0.003642	SOL log2fc=-1.390 adj_p=0.0382
F4IF15	HTH	MEM	0.2200	0.1946	SOL log2fc=0.170 adj_p=0.22
F4IFC5	EMB2761	MEM	-0.8200	0.004545	SOL log2fc=-0.080 adj_p=0.392
F4IFZ9	P5CS1	MEM	0.0500	0.2363	SOL log2fc=0.060 adj_p=0.264
F4IGR4	At2g27720	MEM	1.2800	0.004436	SOL log2fc=0.150 adj_p=0.258
F4IHW4	UREG	MEM	-0.6200	0.006832	SOL log2fc=-0.240 adj_p=0.084
F4IHY7	PTAC12	MEM	1.1600	0.01926	SOL log2fc=-0.050 adj_p=0.439
F4II29	CTEXP	SOL	-0.5300	0.06859	MEM log2fc=0.360 adj_p=0.17
F4IIM1	CSI1	SOL	-0.4300	0.09918	MEM log2fc=0.000 adj_p=0.955
F4IIU4	AIR9	SOL	-0.9700	0.08335	MEM log2fc=-0.120 adj_p=0.281
F4IJ44	TCH3	MEM	-0.5400	0.01958	SOL log2fc=-0.730 adj_p=0.134
F4IJW3	At2g35390	MEM	-0.0800	0.3419	SOL log2fc=0.090 adj_p=0.884
F4IKM1	At2g29340	MEM	0.5400	0.02841	SOL log2fc=0.180 adj_p=0.0932
F4IL68	At2g07360	SOL	-0.3800	0.04026	MEM log2fc=-0.050 adj_p=0.941
F4INU4	RPT2	SOL	-0.5400	0.1338	MEM log2fc=-0.180 adj_p=0.211
F4IPY2	SYCO	MEM	-0.4300	0.01298	SOL log2fc=-0.140 adj_p=0.638
F4IQ05	At2g37130	MEM	0.5800	0.0332	SOL log2fc=1.740 adj_p=0.0403
F4IRR2	SAD2	MEM	-0.2500	0.08447	SOL log2fc=-0.140 adj_p=0.13
F4IRX7	SOUL-1	MEM	0.6300	0.02659	SOL log2fc=0.250 adj_p=0.17
F4IS20	At2g43640	MEM	-0.4000	0.2234	SOL log2fc=-0.030 adj_p=0.428
F4ISU2	At2g32240	MEM	-0.1300	0.1243	SOL log2fc=-0.090 adj_p=0.203
F4IT21	At2g43945	MEM	0.2900	0.2858	SOL log2fc=0.360 adj_p=0.392
F4IVR2	HSP60-2	MEM	0.4800	0.0437	SOL log2fc=-0.190 adj_p=0.074
F4IVY6	At2g39670	MEM	-0.4600	0.0331	SOL log2fc=-0.150 adj_p=0.437
F4IW05	RNS2	MEM	0.7400	0.03095	SOL log2fc=0.170 adj_p=0.269
F4IW47	TKL-2	MEM	-0.8100	0.02706	SOL log2fc=0.110 adj_p=0.497
F4IWK4	At3g27570	MEM	-0.5000	0.1268	SOL log2fc=-0.040 adj_p=0.778
F4IWV2	At3g55410	MEM	0.4700	0.06595	SOL log2fc=-0.080 adj_p=0.273
F4IX23	At3g62010	MEM	-0.4800	0.05217	SOL log2fc=-0.230 adj_p=0.151
F4IXW2	BIG5	SOL	-0.8100	0.07541	MEM log2fc=0.080 adj_p=0.748
F4IY75	At3g56130	MEM	0.7700	0.01976	SOL log2fc=0.320 adj_p=0.0651
F4IYF8	At3g02760	SOL	-0.1800	0.03457	MEM log2fc=0.230 adj_p=0.058
F4IYH1	VTC4	SOL	0.4800	0.3803	MEM log2fc=0.130 adj_p=0.759
F4IYK3	At3g08943	MEM	0.2300	0.2709	SOL log2fc=-0.060 adj_p=0.491
F4J0P2	At3g50590	SOL	-0.8600	0.141	MEM log2fc=0.140 adj_p=0.6
F4J0U9	CRD1	MEM	-0.4400	0.02763	SOL log2fc=0.120 adj_p=0.456
F4J110	SEC31B	SOL	-0.3000	0.04342	MEM log2fc=0.530 adj_p=0.0618
F4J117	LSF1	MEM	-0.1600	0.006511	SOL log2fc=-0.280 adj_p=0.448
F4J1U2	At3g29185	SOL	-0.1500	0.1113	MEM log2fc=0.150 adj_p=0.305
F4J1V2	J3	SOL	-0.3000	0.1877	MEM log2fc=0.080 adj_p=0.382
F4J1Y2	CEF	SOL	-0.6900	0.02813	MEM log2fc=0.090 adj_p=0.574
F4J2Z7	SDR4	MEM	1.0500	0.01032	SOL log2fc=0.740 adj_p=0.171
F4J3M2	PTAC3	SOL	-0.4500	0.02501	MEM log2fc=0.380 adj_p=0.028
F4J447	At3g23600	MEM	0.5500	0.01479	SOL log2fc=-0.230 adj_p=0.0529
F4J4T3	At3g04600	MEM	0.0700	0.03212	SOL log2fc=0.000 adj_p=0.63
F4J4V4	TPR10	SOL	0.0100	0.5983	MEM log2fc=0.010 adj_p=0.766
F4J504	MSD1	SOL	-0.2000	0.1705	MEM log2fc=0.040 adj_p=0.304
F4J573	At3g17520	MEM	1.9800	0.004851	SOL log2fc=2.740 adj_p=0.0163
F4J5A7	At3g23900	MEM	-1.7000	0.01671	SOL log2fc=-0.560 adj_p=0.175
F4J5I0	At3g45190	MEM	-0.2700	0.06107	SOL log2fc=-0.560 adj_p=0.137
F4J5M5	HMGB1	MEM	0.6500	0.09777	SOL log2fc=0.070 adj_p=0.204
F4J5R9	NOXY38	SOL	-0.3200	0.0234	MEM log2fc=0.130 adj_p=0.0641
F4J5T2	LTA3	SOL	-0.1000	0.1902	MEM log2fc=-0.190 adj_p=0.278
F4J6A1	EIF3G1	MEM	0.7400	0.03094	SOL log2fc=0.040 adj_p=0.156
F4J6A8	At3g11450	SOL	-0.3500	0.05073	MEM log2fc=0.110 adj_p=0.408
F4J6Z1	UEV1D-4	MEM	-0.3200	0.02686	SOL log2fc=-0.040 adj_p=0.412
F4J738	At3g59020	MEM	-0.3700	0.0556	SOL log2fc=-0.230 adj_p=0.0803
F4J7I2	UBP13	SOL	-0.3400	0.07154	MEM log2fc=-0.120 adj_p=0.149
F4J8D3	TPLATE	MEM	-0.2600	0.04609	SOL log2fc=-0.560 adj_p=0.0647
F4J8G7	VIR	MEM	-1.0600	0.01284	SOL log2fc=-0.800 adj_p=0.173
F4J8J7	At3g11930	MEM	0.3200	0.01511	SOL log2fc=0.210 adj_p=0.0651
F4J9A0	NodGS	MEM	-0.0200	0.7316	SOL log2fc=-0.170 adj_p=0.826
F4J9K9	At3g05900	MEM	0.4800	0.01445	SOL log2fc=0.650 adj_p=0.0403
F4J9W8	At3g18860	MEM	-0.4200	0.09579	SOL log2fc=-0.310 adj_p=0.112
F4JAE0	At3g53390	SOL	-0.2200	0.2067	MEM log2fc=-0.070 adj_p=0.946
F4JAF3	CP29	MEM	0.4400	0.2102	SOL log2fc=-0.120 adj_p=0.213
F4JBC5	At3g26020	SOL	-0.2500	0.1317	MEM log2fc=0.080 adj_p=0.835
F4JBY2	AtTKL1	MEM	0.3800	0.09335	SOL log2fc=-0.130 adj_p=0.937
F4JCX1	At3g54440	MEM	-0.4000	0.01049	SOL log2fc=-0.300 adj_p=0.0933
F4JDC3	ECT2	MEM	0.4800	0.01625	SOL log2fc=-0.270 adj_p=0.0311
F4JE40	ATVPS33	SOL	-0.1500	0.1192	MEM log2fc=0.140 adj_p=0.386
F4JEJ0	ATBFRUCT1	MEM	0.8100	0.01479	SOL log2fc=0.950 adj_p=0.0702
F4JET6	JMJD5	MEM	-0.8100	0.008646	SOL log2fc=-0.640 adj_p=0.0964
F4JF21	PTAC10	SOL	-0.3300	0.06216	MEM log2fc=0.040 adj_p=0.569
F4JFN3	HSP90-6	MEM	-0.6900	0.008444	SOL log2fc=-0.170 adj_p=0.0922
F4JGD2	At4g04460	MEM	1.8400	0.003698	SOL log2fc=1.990 adj_p=0.0225
F4JGR5	PFP-BETA2	MEM	-0.2500	0.01171	SOL log2fc=-0.010 adj_p=0.958
F4JHJ0	At4g02450	SOL	0.2900	0.09851	MEM log2fc=0.230 adj_p=0.437
F4JI63	At4g03200	MEM	-0.3500	0.06734	SOL log2fc=-0.020 adj_p=0.255
F4JIE1	ATARD2	MEM	0.1400	0.07626	SOL log2fc=-0.100 adj_p=0.722
F4JJT9	At4g33760	MEM	-0.1600	0.1609	SOL log2fc=-0.030 adj_p=0.926
F4JJY7	At4g34090	MEM	0.1000	0.3141	SOL log2fc=0.050 adj_p=0.613
F4JK17	At4g09520	MEM	0.2600	0.08888	SOL log2fc=0.040 adj_p=0.993
F4JKH6	REC2	SOL	-0.5700	0.01798	MEM log2fc=0.240 adj_p=0.0606
F4JKM2	CAD5	SOL	0.4100	0.05903	MEM log2fc=0.330 adj_p=0.127
F4JKZ9	At4g16060	MEM	-0.2100	0.1037	SOL log2fc=-0.190 adj_p=0.129
F4JL11	IMPA2	MEM	0.7700	0.003642	SOL log2fc=0.130 adj_p=0.0618
F4JLK2	SPS4	MEM	-1.2400	0.005377	SOL log2fc=-0.700 adj_p=0.0374
F4JLM5	At4g10320	SOL	-0.2800	0.01901	MEM log2fc=0.010 adj_p=0.651
F4JLP5	LPD2	MEM	-0.0900	0.5542	SOL log2fc=0.060 adj_p=0.755
F4JM86	CAT2	MEM	0.3100	0.2593	SOL log2fc=0.210 adj_p=0.263
F4JN13	AKR2	MEM	0.3100	0.05027	SOL log2fc=0.180 adj_p=0.0898
F4JNE1	At4g17100	SOL	-0.5800	0.1073	MEM log2fc=0.090 adj_p=0.895
F4JPR7	PUX8	MEM	-0.4500	0.02335	SOL log2fc=0.160 adj_p=0.441
F4JPZ7	At4g17830	MEM	-0.2500	0.07345	SOL log2fc=-0.050 adj_p=0.222
F4JQ90	At4g30310	SOL	-0.2800	0.1666	MEM log2fc=0.110 adj_p=0.358
F4JQE2	PDE327	MEM	0.5300	0.01387	SOL log2fc=-0.100 adj_p=0.59
F4JQJ7	At4g36945	MEM	0.8600	0.0239	SOL log2fc=0.400 adj_p=0.0311
F4JRN8	At4g18810	SOL	0.2700	0.1271	MEM log2fc=-0.310 adj_p=0.258
F4JTE7	GPP1	MEM	1.9700	0.02678	SOL log2fc=-0.120 adj_p=0.0439
F4JTI1	PHOX4	MEM	0.2000	0.176	SOL log2fc=-0.410 adj_p=0.179
F4JTK8	AQI	MEM	-0.3300	0.02912	SOL log2fc=0.080 adj_p=0.494
F4JTP5	STY46	MEM	-0.3700	0.05125	SOL log2fc=0.110 adj_p=0.681
F4JUM1	At4g14160	SOL	-0.8400	0.04384	MEM log2fc=0.110 adj_p=0.317
