#compound	FLT_vs_GC
2-Phosphoglycolate	0.003065
Glycolate	0.003065
Glyoxylate	0.003065
Glycine	0.003065
L-Serine	0.003065
Hydroxypyruvate	0.003065
D-Glycerate	0.003065
Ammonia	0.003065
3-Phospho-D-glycerate	-0.113996
Sucrose	-0.113996
D-Glucose	-0.113996
D-Fructose	-0.113996
Maltose	-0.113996
Starch	-0.113996
D-Ribulose 1,5-bisphosphate	0.032047
L-Asparagine	0.113996
L-Valine	0.113996
L-Leucine	0.113996
L-Isoleucine	0.113996
L-Glutamine	0.113996
L-Glutamate	0.113996
