TAIR	log2FC_FLT_vs_GC	pvalue	padj	mean_FLT	mean_GC	n_FLT	n_GC
AT3G17340	-0.316160	0.001691	0.701624	3.249196	3.565356	5	5
AT3G59400	-0.331687	0.001697	0.701624	7.750296	8.081983	5	5
AT5G64110	-1.469060	0.001745	0.701624	6.117359	7.586419	5	5
AT5G46730	-1.672073	0.001809	0.701624	7.096100	8.768173	5	5
AT1G75880	-0.226889	0.001825	0.701624	1.617934	1.844823	5	5
AT4G36540	0.518303	0.001883	0.701624	5.691744	5.173441	5	5
AT4G28820	0.374333	0.001885	0.701624	4.132125	3.757792	5	5
AT2G01940	0.374923	0.001904	0.701624	3.250100	2.875178	5	5
AT3G56150	-0.410367	0.001908	0.701624	6.831337	7.241704	5	5
AT5G27395	-0.287332	0.002051	0.701624	5.916372	6.203704	5	5
AT3G10270	-0.209986	0.002091	0.701624	4.468558	4.678544	5	5
AT3G14200	0.763049	0.002105	0.701624	5.168447	4.405397	5	5
AT1G78080	-0.273939	0.002129	0.701624	7.059878	7.333816	5	5
AT3G60770	-0.192548	0.002187	0.701624	10.625409	10.817956	5	5
AT1G18570	1.116152	0.002191	0.701624	6.274493	5.158341	5	5
AT5G13630	-0.345348	0.002209	0.701624	8.678770	9.024118	5	5
AT3G52740	-0.716686	0.002217	0.701624	4.742685	5.459371	5	5
AT3G60450	-0.175736	0.002220	0.701624	6.930259	7.105995	5	5
AT5G13050	-0.284645	0.002258	0.701624	5.330019	5.614663	5	5
AT1G52230	-0.309635	0.002310	0.701624	9.477933	9.787568	5	5
AT1G75510	-0.326047	0.002314	0.701624	6.672290	6.998337	5	5
AT3G50360	-0.245576	0.002334	0.701624	7.912611	8.158186	5	5
AT3G59990	-0.283178	0.002370	0.701624	7.417334	7.700511	5	5
AT1G67250	-0.104751	0.002375	0.701624	9.278239	9.382990	5	5
AT5G54100	-0.329913	0.002389	0.701624	5.111219	5.441132	5	5
AT5G12340	0.395623	0.002413	0.701624	2.450135	2.054512	5	5
AT1G43040	1.581528	0.002487	0.703002	4.909361	3.327833	5	5
AT2G36885	-0.392487	0.002619	0.703002	6.310842	6.703330	5	5
AT1G32550	-0.358569	0.002653	0.703002	5.388252	5.746821	5	5
AT3G61240	-0.397534	0.002791	0.703002	6.503957	6.901492	5	5
AT4G09940	-0.208647	0.002897	0.703002	1.655199	1.863846	5	5
AT5G09280	0.239299	0.003050	0.703002	2.142741	1.903442	5	5
AT4G31300	-0.436792	0.003086	0.703002	9.190816	9.627608	5	5
AT2G18680	0.383021	0.003104	0.703002	3.117566	2.734544	5	5
AT3G17609	-0.773532	0.003112	0.703002	4.301734	5.075265	5	5
AT5G43010	-0.455102	0.003174	0.703002	6.432698	6.887800	5	5
AT2G05120	-0.415945	0.003179	0.703002	4.273991	4.689936	5	5
AT1G76070	0.533602	0.003184	0.703002	3.810260	3.276659	5	5
