TAIR	log2FC_FLT_vs_GC	pvalue	padj	mean_FLT	mean_GC	n_FLT	n_GC
AT3G05510	-0.403577	0.000505	0.976569	4.124182	4.527760	3	3
AT1G31070	-0.930562	0.000538	0.976569	3.598619	4.529181	3	3
AT1G43790	0.475539	0.000544	0.976569	5.526763	5.051224	3	3
AT5G53880	-0.230808	0.000602	0.976569	11.716706	11.947514	3	3
ATCG00630	-0.851923	0.000893	0.976569	8.345018	9.196941	3	3
AT3G47740	0.370848	0.000902	0.976569	2.233790	1.862942	3	3
AT2G02820	-0.894830	0.001200	0.976569	4.015601	4.910431	3	3
AT4G02400	-0.255671	0.001250	0.976569	5.163721	5.419392	3	3
AT2G30370	-0.368952	0.001347	0.976569	2.281240	2.650192	3	3
AT4G18590	-0.526119	0.001550	0.976569	5.839290	6.365410	3	3
AT3G46730	0.117985	0.001572	0.976569	1.798473	1.680488	3	3
AT3G21175	0.411033	0.001630	0.976569	5.261012	4.849979	3	3
AT4G33140	-0.849013	0.001668	0.976569	3.800047	4.649060	3	3
AT2G36160	-0.402037	0.001707	0.976569	8.250655	8.652692	3	3
AT5G17260	0.700501	0.001954	0.976569	2.660630	1.960129	3	3
AT2G46370	-0.098042	0.002000	0.976569	5.177563	5.275605	3	3
AT4G18820	-0.199692	0.002156	0.976569	6.060316	6.260008	3	3
AT2G47810	0.281969	0.002202	0.976569	2.484208	2.202239	3	3
AT1G73020	0.418988	0.002221	0.976569	4.774267	4.355278	3	3
AT3G13800	-0.569234	0.002226	0.976569	3.939230	4.508464	3	3
AT3G49590	0.559668	0.002243	0.976569	5.592900	5.033232	3	3
AT5G09810	-0.364628	0.002452	0.976569	8.759260	9.123888	3	3
AT5G25240	0.584531	0.002674	0.976569	6.028397	5.443865	3	3
AT5G24450	0.330417	0.002692	0.976569	6.563125	6.232709	3	3
AT3G23330	-1.000146	0.003024	0.976569	3.493249	4.493395	3	3
AT3G51760	0.225888	0.003035	0.976569	2.233737	2.007848	3	3
AT4G08800	-0.279325	0.003106	0.976569	2.129265	2.408590	3	3
AT2G33735	0.831212	0.003127	0.976569	5.147856	4.316644	3	3
AT5G62020	0.795670	0.003178	0.976569	5.460910	4.665240	3	3
AT3G58390	0.167266	0.003244	0.976569	1.897549	1.730283	3	3
AT3G57130	-0.452192	0.003247	0.976569	2.466476	2.918668	3	3
AT2G04630	-0.999547	0.003331	0.976569	6.190543	7.190090	3	3
AT1G21210	0.813142	0.003410	0.976569	2.965026	2.151884	3	3
AT4G16190	0.534820	0.003496	0.976569	6.479985	5.945164	3	3
AT1G53830	0.661001	0.003524	0.976569	3.286766	2.625765	3	3
AT5G66960	0.378239	0.003541	0.976569	4.050860	3.672621	3	3
AT3G11060	-0.289841	0.003564	0.976569	1.811435	2.101276	3	3
AT1G34480	0.347756	0.003603	0.976569	2.183150	1.835393	3	3
AT4G24050	-0.551135	0.003638	0.976569	2.786373	3.337508	3	3
AT4G39350	0.368412	0.003774	0.976569	5.762569	5.394156	3	3
ATCG00670	-0.314964	0.003978	0.976569	10.603585	10.918549	3	3
AT5G67130	-0.389912	0.004004	0.976569	6.083122	6.473033	3	3
AT4G32270	0.323508	0.004273	0.976569	3.356262	3.032754	3	3
AT3G17630	0.504261	0.004343	0.976569	2.826731	2.322470	3	3
AT1G52870	-0.684700	0.004402	0.976569	3.849069	4.533769	3	3
AT4G02120	-0.543315	0.004629	0.976569	4.211395	4.754710	3	3
AT5G42570	-0.371795	0.004760	0.976569	3.688507	4.060301	3	3
AT1G17060	0.350741	0.004830	0.976569	2.999625	2.648884	3	3
AT2G46240	0.418323	0.004876	0.976569	4.793008	4.374684	3	3
AT5G54800	-1.146864	0.004920	0.976569	4.632442	5.779307	3	3
AT1G03430	-0.459452	0.005013	0.976569	5.259803	5.719255	3	3
AT3G11330	0.936291	0.005063	0.976569	4.768936	3.832645	3	3
AT1G30545	-0.343782	0.005124	0.976569	2.725517	3.069299	3	3
AT2G21410	0.728738	0.005260	0.976569	4.968754	4.240016	3	3
AT2G36790	1.500688	0.005400	0.976569	4.958193	3.457504	3	3
AT4G15400	0.425323	0.005403	0.976569	2.493223	2.067901	3	3
AT4G30850	-0.439664	0.005755	0.976569	4.383153	4.822817	3	3
AT1G28440	-0.542239	0.005777	0.976569	6.916259	7.458497	3	3
AT1G67560	0.499089	0.005785	0.976569	5.779276	5.280187	3	3
AT2G33490	-0.563120	0.006022	0.976569	4.282995	4.846116	3	3
AT1G50650	0.474554	0.006075	0.976569	2.857428	2.382875	3	3
AT3G46490	-1.135594	0.006107	0.976569	4.078190	5.213784	3	3
AT4G09320	-0.338623	0.006147	0.976569	10.803890	11.142512	3	3
AT5G49200	-0.441611	0.006268	0.976569	2.108318	2.549930	3	3
AT2G33010	0.390300	0.006294	0.976569	2.432398	2.042097	3	3
AT1G61630	0.509377	0.006469	0.976569	2.579353	2.069977	3	3
AT2G21800	-0.409875	0.006528	0.976569	2.347611	2.757486	3	3
AT1G22370	0.470753	0.006573	0.976569	2.935613	2.464859	3	3
AT2G41310	-0.746758	0.006617	0.976569	6.172528	6.919286	3	3
AT5G27940	0.421739	0.006625	0.976569	2.547285	2.125546	3	3
AT1G68420	-0.136885	0.006722	0.976569	1.954396	2.091281	3	3
AT2G36970	0.608381	0.006795	0.976569	4.670539	4.062159	3	3
AT1G78450	0.780207	0.006828	0.976569	4.609706	3.829499	3	3
AT3G63240	0.399080	0.006842	0.976569	3.380311	2.981231	3	3
AT2G07190	0.351783	0.006948	0.976569	2.818255	2.466472	3	3
AT2G39700	-1.073311	0.006993	0.976569	7.399409	8.472720	3	3
AT1G33900	0.422050	0.007645	0.976569	2.568548	2.146498	3	3
AT3G28540	-0.661547	0.007663	0.976569	3.514149	4.175697	3	3
AT4G01897	-0.590904	0.007834	0.976569	4.801314	5.392218	3	3
AT4G21500	0.342379	0.008004	0.976569	3.172203	2.829824	3	3
AT1G70060	-0.444643	0.008107	0.976569	3.968268	4.412911	3	3
AT5G48690	0.297200	0.008168	0.976569	2.608490	2.311291	3	3
AT2G29360	-0.901524	0.008172	0.976569	5.227055	6.128580	3	3
AT2G42740	-0.537599	0.008187	0.976569	6.094432	6.632031	3	3
AT2G15680	0.743075	0.008260	0.976569	5.324363	4.581287	3	3
AT3G24495	-0.308279	0.008303	0.976569	2.836833	3.145113	3	3
AT4G19095	0.564398	0.008540	0.976569	3.206055	2.641657	3	3
AT5G23530	0.555300	0.008714	0.976569	4.090221	3.534922	3	3
AT2G45420	-0.186448	0.008953	0.976569	1.948886	2.135334	3	3
AT1G51650	-0.678135	0.009111	0.976569	9.594554	10.272689	3	3
AT5G46250	0.565761	0.009173	0.976569	8.142964	7.577203	3	3
AT4G01150	-0.485119	0.009407	0.976569	9.130680	9.615799	3	3
AT1G21440	-0.290627	0.009438	0.976569	8.823457	9.114084	3	3
AT5G63690	0.576665	0.009782	0.976569	4.651968	4.075303	3	3
AT5G63910	-0.591305	0.009893	0.976569	4.519796	5.111101	3	3
AT1G49290	0.180322	0.010093	0.976569	2.201889	2.021567	3	3
AT5G09500	0.642352	0.010246	0.976569	3.101562	2.459209	3	3
AT1G31290	0.308394	0.010272	0.976569	2.161287	1.852893	3	3
AT5G40640	-0.448526	0.010296	0.976569	4.183190	4.631717	3	3
AT1G24530	0.930953	0.010361	0.976569	5.335134	4.404180	3	3
AT1G51410	0.327806	0.010405	0.976569	2.609758	2.281952	3	3
AT1G10270	0.475980	0.010407	0.976569	4.829588	4.353607	3	3
AT4G17570	-1.196257	0.010531	0.976569	4.215923	5.412180	3	3
AT2G22450	1.092095	0.010553	0.976569	5.675056	4.582962	3	3
AT5G25510	-0.599588	0.010655	0.976569	7.335896	7.935484	3	3
AT3G01410	-0.651099	0.010658	0.976569	4.965949	5.617048	3	3
AT3G29200	-0.656829	0.010700	0.976569	5.123513	5.780342	3	3
AT1G63540	0.434828	0.010710	0.976569	3.713845	3.279017	3	3
AT5G07410	-0.193041	0.010721	0.976569	1.707100	1.900142	3	3
AT4G38620	1.311081	0.010781	0.976569	5.478525	4.167444	3	3
AT5G13670	0.715606	0.010939	0.976569	3.216692	2.501086	3	3
AT1G62290	0.572844	0.010962	0.976569	4.603648	4.030804	3	3
AT5G42940	0.542234	0.011277	0.976569	7.765908	7.223674	3	3
AT2G17120	-0.399013	0.011317	0.976569	4.989773	5.388786	3	3
AT5G01840	-0.467906	0.011328	0.976569	2.773108	3.241014	3	3
