accession	enclosure_class	carbon_pct_earth	light	hardware	tissue	set	n	median	shift	p	predicted
OSD-522	sealed	1	light	BRIC-LED	shoots	ath00630	76	-0.102017	-0.124803	0.0003150109978592	none
OSD-522	sealed	1	light	BRIC-LED	shoots	ath00710	66	-0.0820385	-0.1048585	0.0001320042285249	down
OSD-522	sealed	1	light	BRIC-LED	shoots	ath00500	142	-0.141808	-0.1646129999999999	3.510021953475015e-06	down
OSD-522	sealed	1	light	BRIC-LED	shoots	ath00010	111	-0.091694	-0.114669	5.740587951627125e-06	
OSD-522	sealed	1	light	BRIC-LED	shoots	photorespiration_core	13	-0.141695	-0.1641355	0.0916712137844535	none
OSD-522	sealed	1	light	BRIC-LED	shoots	carbon_starvation_DIN	5	0.707545	0.685458	0.002595041594248	up
OSD-522	sealed	1	light	BRIC-LED	shoots	fermentation	6	-0.0673695	-0.0895705	0.5956115137930895	none
OSD-522	sealed	1	light	BRIC-LED	shoots	hypoxia_responsive	3	0.190753	0.1686485	0.2478408895730701	none
OSD-522	sealed	1	light	BRIC-LED	shoots	photosynthesis_apparatus	31	-0.215013	-0.237672	3.7506386397387976e-06	down
OSD-522	sealed	1	light	BRIC-LED	shoots	rubisco	5	-0.381024	-0.4033319999999999	0.0045219354005854	down
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	ath00630	79	0.133825185259963	0.2077486656874762	5.551240178223629e-05	none
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	ath00710	70	0.2471247401519595	0.3211198781516133	5.092498226046417e-07	down
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	ath00500	177	0.0311063791761155	0.1044907430021584	0.0070711280966516	down
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	ath00010	120	0.1334233927232855	0.2075173406764694	3.203415016314489e-05	
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	photorespiration_core	13	0.604853549062407	0.6781091668778826	3.090247411177831e-05	none
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	carbon_starvation_DIN	5	-1.29885808866759	-1.2261515672646637	0.0067644300129703	up
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	fermentation	6	-0.2739381142541205	-0.2012205226078311	0.2716876828012446	none
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	hypoxia_responsive	3	0.22366109570516	0.2966085113026863	0.2163163586027172	none
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	photosynthesis_apparatus	31	0.652038953267084	0.7256756083560678	5.445143882557362e-11	down
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	rubisco	5	0.651263479258981	0.724255312874713	0.0154789687404335	down
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	ath00630	80	0.0503976424562731	0.0313064743527198	0.7987717885071501	none
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	ath00710	70	0.1972052900392085	0.1786317203471324	0.0068848087447366	down
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	ath00500	165	0.366883188953622	0.3493971029646814	0.0010611267409082	down
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	ath00010	119	0.127783207337762	0.1100460147365403	0.0923078280466451	
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	photorespiration_core	13	0.733049027403066	0.7140808081353113	0.008473616884533	none
