TAIR	log2FC_FLT_vs_GC	pvalue	padj	mean_FLT	mean_GC	n_FLT	n_GC
AT1G44800	-0.793633	0.000063	0.423224	7.712486	8.506119	5	5
AT5G43190	0.667888	0.000079	0.423224	5.388712	4.720824	5	5
AT5G08520	0.287389	0.000105	0.423224	6.705624	6.418234	5	5
AT2G45380	-0.129542	0.000106	0.423224	1.730278	1.859820	5	5
AT1G53450	0.151074	0.000113	0.423224	4.315441	4.164367	5	5
AT5G24450	0.397892	0.000138	0.423224	5.976672	5.578780	5	5
AT3G13310	1.192156	0.000170	0.423224	8.828893	7.636737	5	5
AT3G45860	1.464190	0.000178	0.423224	5.236548	3.772359	5	5
AT1G80360	0.212205	0.000185	0.423224	5.970126	5.757921	5	5
AT4G25260	0.513372	0.000219	0.423224	4.952129	4.438756	5	5
AT4G30650	-0.727266	0.000278	0.423224	8.571211	9.298477	5	5
AT5G15420	1.069745	0.000280	0.423224	4.763004	3.693258	5	5
AT3G30730	-0.214444	0.000284	0.423224	1.576524	1.790968	5	5
AT1G56450	-0.255205	0.000291	0.423224	8.895148	9.150353	5	5
AT3G03330	0.267739	0.000295	0.423224	6.910167	6.642428	5	5
AT1G72890	1.158001	0.000374	0.502347	4.757106	3.599105	5	5
AT3G18200	0.604921	0.000428	0.539685	3.450289	2.845367	5	5
AT5G05030	-0.249353	0.000459	0.539685	2.000771	2.250124	5	5
AT3G03470	0.685939	0.000479	0.539685	4.160080	3.474142	5	5
AT1G15670	1.441076	0.000527	0.539685	7.576516	6.135440	5	5
AT5G57420	-0.278589	0.000529	0.539685	2.187329	2.465918	5	5
AT2G31380	-0.868004	0.000552	0.539685	5.528469	6.396473	5	5
AT4G20220	-0.236003	0.000763	0.561140	1.786471	2.022474	5	5
AT5G49700	0.792860	0.000771	0.561140	4.433428	3.640568	5	5
AT3G11550	-0.231961	0.000785	0.561140	2.038263	2.270224	5	5
AT1G77960	-0.629763	0.000794	0.561140	2.336287	2.966050	5	5
AT5G16610	0.211519	0.000801	0.561140	4.124463	3.912944	5	5
AT1G74800	-0.499327	0.000802	0.561140	3.251580	3.750907	5	5
AT5G25140	0.317936	0.000808	0.561140	2.119530	1.801594	5	5
AT3G59800	0.309262	0.000810	0.561140	6.060229	5.750967	5	5
AT2G01760	0.403132	0.000833	0.561140	5.943923	5.540791	5	5
AT3G60250	0.381591	0.000835	0.561140	6.660146	6.278555	5	5
