db	pathway	bric_p_combined	abrs_p_gene	abrs_median_log2FC	abrs_direction	classification
K	Protein processing in endoplasmic reticulum	8.6492e-09	0.94564	+0.0008	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	Cellular response overview	2.3264e-06	0.61111	-0.0113	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	Large enzyme families overview	1.6112e-04	0.76660	-0.0186	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	Biotic Stress	2.0999e-04	0.01511	-0.0081	up	Conserved spaceflight response (Hardware-independent)
K	Glucosinolate biosynthesis	6.0187e-04	0.84528	+0.0134	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Plant hormone signal transduction	0.00107	0.05160	+0.0305	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	Transport overview	0.00176	0.85797	-0.0012	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	Overview	0.00208	1.00000	-0.0090	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Tryptophan metabolism	0.00258	0.82753	+0.0111	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	AGPs	0.00269	0.28195	-0.0610	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	JA Synthesis	0.00289	0.37047	+0.0266	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	Prokaryotic Ribosome SSU 5S branch assembly	0.00383	1.00000	-0.0520	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Photosynthesis	0.00797	0.85116	-0.1128	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	MAPK signaling pathway - plant	0.00938	0.23222	+0.0596	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Porphyrin metabolism	0.01008	0.92445	-0.0583	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	alpha-Linolenic acid metabolism	0.01055	0.63330	+0.0266	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Fatty acid elongation	0.01133	0.74804	-0.0757	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	Sulphate Assimilation	0.01177	0.70658	-0.0298	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Metabolic pathways	0.01185	0.35492	-0.0228	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Nitrogen cycle	0.01470	1.00000	+0.0159	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Starch and sucrose metabolism	0.01857	0.54277	-0.0279	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Photosynthesis - antenna proteins	0.02174	1.00000	-0.0882	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Biosynthesis of secondary metabolites	0.02473	0.77896	-0.0252	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Circadian rhythm - plant	0.02597	0.35050	+0.0996	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	Raffinose metabolism	0.02739	0.00806	-0.0051	up	Conserved spaceflight response (Hardware-independent)
M	receptor like kinases	0.03021	0.83301	-0.0076	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	photosynthesis	0.03531	0.97593	-0.0220	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
M	Regulation overview	0.03887	0.17904	-0.0017	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Steroid biosynthesis	0.03980	0.74804	-0.0074	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Fatty acid metabolism	0.04434	0.74765	-0.0325	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Ascorbate and aldarate metabolism	0.04566	0.67829	-0.0045	up	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
K	Selenocompound metabolism	0.04837	0.28195	-0.0461	down	BRIC-LED hardware-specific (CO2 starvation / sealed volatiles)
