TAIR	log2FC_FLT_vs_GC	pvalue	padj	mean_FLT	mean_GC	n_FLT	n_GC
AT3G52740	-1.098672	0.000027	0.290630	6.386280	7.484952	5	5
AT2G16060	-0.862442	0.000031	0.290630	8.413266	9.275709	5	5
AT3G24550	0.415617	0.000041	0.290630	8.054337	7.638721	5	5
AT2G27500	0.939155	0.000088	0.354678	6.365576	5.426420	5	5
AT1G52140	-0.537255	0.000106	0.354678	6.358448	6.895703	5	5
AT1G13740	-0.431065	0.000110	0.354678	5.512085	5.943150	5	5
AT3G03270	-0.561414	0.000187	0.354678	8.049018	8.610432	5	5
AT3G13310	0.534474	0.000194	0.354678	9.879336	9.344862	5	5
AT4G08780	-1.134524	0.000197	0.354678	5.875923	7.010448	5	5
AT1G33560	0.511893	0.000204	0.354678	7.172321	6.660428	5	5
AT5G48400	-0.276482	0.000242	0.354678	2.266964	2.543447	5	5
AT4G38400	0.752230	0.000246	0.354678	5.595948	4.843718	5	5
AT1G58410	0.453638	0.000264	0.354678	2.882784	2.429146	5	5
AT2G40750	0.858363	0.000282	0.354678	6.271988	5.413626	5	5
AT4G23590	0.825096	0.000283	0.354678	3.389310	2.564214	5	5
AT5G50610	-0.298355	0.000294	0.354678	1.999255	2.297610	5	5
AT2G44525	-0.509902	0.000305	0.354678	7.052775	7.562677	5	5
AT2G36470	-0.355275	0.000308	0.354678	2.039325	2.394600	5	5
AT1G53035	-0.559252	0.000313	0.354678	5.559447	6.118699	5	5
AT1G03770	0.471194	0.000357	0.383685	2.914246	2.443052	5	5
AT4G08180	-0.419036	0.000382	0.384418	5.671404	6.090441	5	5
AT2G21120	0.523821	0.000394	0.384418	6.815163	6.291342	5	5
AT1G32200	0.342513	0.000431	0.384418	5.150916	4.808403	5	5
AT1G13260	1.358179	0.000446	0.384418	7.272761	5.914582	5	5
AT4G23496	-0.989422	0.000447	0.384418	5.319060	6.308482	5	5
AT1G72920	1.368655	0.000518	0.428333	5.337817	3.969162	5	5
AT1G03990	0.202824	0.000548	0.433188	2.844317	2.641494	5	5
AT1G35210	1.925746	0.000657	0.433188	6.122146	4.196401	5	5
AT2G32150	0.632787	0.000659	0.433188	8.205562	7.572775	5	5
AT1G35140	1.778809	0.000664	0.433188	7.426608	5.647799	5	5
AT4G36040	0.429908	0.000696	0.433188	8.721700	8.291792	5	5
AT2G16720	1.272529	0.000700	0.433188	7.664417	6.391887	5	5
AT5G03960	-0.778298	0.000773	0.433188	3.635929	4.414226	5	5
AT5G11260	-0.495027	0.000778	0.433188	5.699183	6.194210	5	5
AT1G27530	-0.282441	0.000815	0.433188	9.409620	9.692061	5	5
AT1G34760	-0.827745	0.000824	0.433188	2.682315	3.510059	5	5
AT5G40540	0.354277	0.000855	0.433188	6.297192	5.942915	5	5
AT1G53840	1.016461	0.000869	0.433188	7.506083	6.489622	5	5
AT5G66070	0.872346	0.000884	0.433188	7.164216	6.291870	5	5
AT1G71450	0.554254	0.000924	0.433188	2.881280	2.327027	5	5
AT4G22710	1.316515	0.000944	0.433188	8.062839	6.746324	5	5
AT1G56020	-0.364105	0.000990	0.433188	4.954443	5.318548	5	5
AT4G17750	-0.287988	0.001002	0.433188	3.308703	3.596691	5	5
AT5G47370	0.341597	0.001008	0.433188	6.816399	6.474802	5	5
AT3G17800	0.601467	0.001010	0.433188	7.689406	7.087939	5	5
AT5G10695	1.883453	0.001036	0.433188	8.218086	6.334633	5	5
AT5G10750	0.663614	0.001081	0.433188	7.046261	6.382647	5	5
AT4G14365	1.099791	0.001139	0.433188	6.838901	5.739110	5	5
AT1G78820	0.916166	0.001140	0.433188	8.103207	7.187041	5	5
AT4G13940	0.254351	0.001147	0.433188	11.731433	11.477082	5	5
AT5G17850	1.513717	0.001160	0.433188	7.089997	5.576280	5	5
AT5G44060	0.567691	0.001160	0.433188	6.458424	5.890733	5	5
AT5G59820	1.856597	0.001181	0.433188	8.626703	6.770106	5	5
AT1G07720	0.261990	0.001235	0.433188	2.161119	1.899129	5	5
AT5G44650	0.251592	0.001263	0.433188	4.835197	4.583606	5	5
AT4G31680	-0.218105	0.001319	0.433188	1.811245	2.029350	5	5
AT5G28150	-0.203387	0.001328	0.433188	5.657996	5.861384	5	5
AT4G25810	1.908627	0.001331	0.433188	7.140370	5.231742	5	5
AT2G46410	-0.452909	0.001369	0.433188	5.132408	5.585317	5	5
AT1G56580	-0.352092	0.001423	0.433188	9.321584	9.673676	5	5
AT5G27420	1.509262	0.001477	0.433188	5.539964	4.030702	5	5
AT2G23810	1.007189	0.001483	0.433188	9.407972	8.400784	5	5
AT5G05730	0.501412	0.001549	0.433188	8.116224	7.614812	5	5
AT2G17850	-1.274423	0.001572	0.433188	4.384298	5.658721	5	5
AT1G67570	-0.459664	0.001577	0.433188	5.136407	5.596071	5	5
AT5G54250	0.327414	0.001592	0.433188	2.318414	1.991001	5	5
AT1G13670	-0.900238	0.001593	0.433188	4.666915	5.567153	5	5
AT5G64260	0.700383	0.001646	0.433188	8.505085	7.804702	5	5
AT4G29120	-0.348854	0.001672	0.433188	6.227096	6.575951	5	5
AT3G46620	1.329612	0.001704	0.433188	9.437778	8.108167	5	5
AT5G19290	-0.311725	0.001732	0.433188	6.630023	6.941748	5	5
AT4G33985	0.966734	0.001781	0.433188	7.635950	6.669216	5	5
AT3G21560	-0.590990	0.001828	0.433188	4.149050	4.740039	5	5
AT3G22840	-1.194665	0.001830	0.433188	3.864602	5.059267	5	5
AT4G05460	-0.214518	0.001885	0.433188	6.307798	6.522316	5	5
AT4G23885	-0.257338	0.001890	0.433188	7.794382	8.051720	5	5
AT5G40370	-0.337374	0.001916	0.433188	10.567669	10.905043	5	5
AT3G49760	-1.011514	0.001940	0.433188	5.137430	6.148944	5	5
AT2G16660	0.480079	0.001943	0.433188	6.667830	6.187751	5	5
AT1G13340	1.008223	0.002008	0.433188	6.014644	5.006420	5	5
AT5G22250	2.173897	0.002050	0.433188	6.951234	4.777337	5	5
AT5G06720	0.583028	0.002051	0.433188	5.800512	5.217484	5	5
AT3G11490	-0.302590	0.002061	0.433188	5.478137	5.780726	5	5
AT3G51550	0.379785	0.002098	0.433188	8.134071	7.754285	5	5
AT2G24860	-0.430104	0.002103	0.433188	5.144451	5.574555	5	5
AT3G20560	0.330471	0.002131	0.433188	6.059637	5.729165	5	5
AT3G17390	0.388312	0.002142	0.433188	11.350425	10.962113	5	5
AT3G19680	1.319928	0.002143	0.433188	6.735569	5.415640	5	5
AT2G23550	0.156801	0.002171	0.433188	2.001567	1.844765	5	5
AT2G26080	0.349969	0.002177	0.433188	7.716410	7.366440	5	5
AT5G52510	0.239039	0.002197	0.433188	5.962196	5.723157	5	5
AT5G04370	0.806745	0.002199	0.433188	5.241908	4.435164	5	5
AT2G27080	1.613657	0.002206	0.433188	8.258243	6.644586	5	5
AT5G14580	0.487822	0.002212	0.433188	3.667456	3.179634	5	5
AT3G49530	1.300954	0.002238	0.433188	7.767591	6.466638	5	5
AT4G05050	0.212045	0.002270	0.433188	10.944354	10.732309	5	5
AT1G76880	0.304199	0.002274	0.433188	6.372551	6.068352	5	5
AT1G08480	-0.268080	0.002297	0.433188	8.931816	9.199897	5	5
AT1G44820	-0.416515	0.002299	0.433188	5.334496	5.751011	5	5
AT3G16720	0.991988	0.002306	0.433188	6.077733	5.085745	5	5
AT5G59550	1.495284	0.002326	0.433188	9.304117	7.808833	5	5
AT3G56290	-1.111897	0.002334	0.433188	4.272696	5.384593	5	5
AT2G26190	0.741435	0.002345	0.433188	6.506364	5.764929	5	5
AT1G79540	-0.190833	0.002350	0.433188	3.519476	3.710309	5	5
AT5G09810	0.240882	0.002355	0.433188	10.404538	10.163657	5	5
AT1G19770	1.544811	0.002360	0.433188	8.924374	7.379562	5	5
AT4G16360	-0.228420	0.002376	0.433188	6.195105	6.423525	5	5
AT4G16900	0.213647	0.002395	0.433188	2.392149	2.178502	5	5
AT3G15300	-0.348899	0.002400	0.433188	5.589682	5.938581	5	5
AT2G05940	1.975880	0.002441	0.433188	8.642922	6.667042	5	5
AT5G01700	0.538820	0.002452	0.433188	3.445335	2.906515	5	5
AT3G52400	0.830248	0.002460	0.433188	7.753090	6.922842	5	5
AT1G65270	-0.361686	0.002470	0.433188	6.042203	6.403889	5	5
AT5G25180	0.341616	0.002487	0.433188	2.163770	1.822154	5	5
AT4G18510	-0.424333	0.002488	0.433188	7.317019	7.741352	5	5
AT1G33760	0.379847	0.002533	0.433188	2.384674	2.004826	5	5
AT1G20770	-0.348892	0.002539	0.433188	6.692596	7.041487	5	5
AT4G31940	-0.370093	0.002545	0.433188	1.817361	2.187455	5	5
AT3G52800	0.663934	0.002563	0.433188	9.027405	8.363471	5	5
AT4G37000	0.287899	0.002576	0.433188	5.770682	5.482783	5	5
AT1G62970	0.394703	0.002622	0.433188	4.032535	3.637831	5	5
AT5G42000	-0.242172	0.002631	0.433188	6.129705	6.371877	5	5
AT2G21210	-0.485846	0.002638	0.433188	3.972293	4.458139	5	5
AT4G31760	-0.343513	0.002704	0.433188	2.020815	2.364327	5	5
AT2G28570	0.829888	0.002746	0.433188	5.260824	4.430935	5	5
AT1G73540	2.303328	0.002751	0.433188	8.470931	6.167603	5	5
AT2G35290	2.142776	0.002754	0.433188	6.950678	4.807902	5	5
AT5G66650	1.721591	0.002764	0.433188	7.294591	5.573000	5	5
AT1G74690	-0.428245	0.002771	0.433188	7.002185	7.430430	5	5
AT4G31890	-0.693279	0.002777	0.433188	4.010278	4.703557	5	5
AT1G73805	0.781067	0.002787	0.433188	3.645174	2.864107	5	5
AT5G44620	0.312888	0.002822	0.433188	1.939068	1.626180	5	5
AT4G31985	-0.237755	0.002829	0.433188	10.924315	11.162070	5	5
AT3G49650	-0.334074	0.002837	0.433188	2.286919	2.620992	5	5
AT3G61930	-0.687773	0.002854	0.433188	3.130514	3.818287	5	5
AT5G14430	0.193291	0.002863	0.433188	7.382672	7.189382	5	5
AT3G50060	1.967745	0.002872	0.433188	7.382805	5.415059	5	5
AT5G58070	-0.527051	0.002876	0.433188	7.931235	8.458286	5	5
AT4G23570	0.444401	0.002881	0.433188	5.439818	4.995417	5	5
AT4G21500	-0.287066	0.002937	0.433188	3.092235	3.379301	5	5
AT2G36220	1.706917	0.002949	0.433188	7.204723	5.497806	5	5
AT1G48140	-0.233180	0.002984	0.433188	7.469280	7.702459	5	5
AT3G62150	0.543823	0.002994	0.433188	5.926196	5.382373	5	5
AT3G19570	0.345019	0.003022	0.433188	3.805905	3.460886	5	5
AT5G24590	1.368022	0.003036	0.433188	6.028723	4.660700	5	5
AT3G04640	1.505430	0.003056	0.433188	7.438969	5.933539	5	5
AT2G48010	0.863941	0.003064	0.433188	7.522210	6.658269	5	5
AT3G56710	1.504417	0.003071	0.433188	6.339532	4.835115	5	5
AT3G06750	0.719975	0.003076	0.433188	7.311759	6.591784	5	5
AT1G23710	1.502674	0.003131	0.433188	7.456246	5.953571	5	5
AT5G65300	1.324875	0.003170	0.433188	7.271800	5.946924	5	5
AT5G04340	1.518026	0.003170	0.433188	7.450122	5.932096	5	5
AT5G44330	-0.321565	0.003175	0.433188	1.828632	2.150197	5	5
AT4G30440	0.529067	0.003183	0.433188	8.598597	8.069530	5	5
AT2G03180	-0.208817	0.003202	0.433188	1.741431	1.950248	5	5
AT2G47460	-0.786705	0.003224	0.433188	4.860387	5.647092	5	5
AT1G01225	-0.305663	0.003246	0.433188	4.794688	5.100351	5	5
AT1G72940	1.059037	0.003271	0.433188	5.701572	4.642535	5	5
AT5G53960	-0.126527	0.003277	0.433188	1.868080	1.994607	5	5
AT4G08950	1.267990	0.003280	0.433188	8.894874	7.626885	5	5
AT5G54490	1.772444	0.003288	0.433188	7.566187	5.793742	5	5
AT2G18210	0.791785	0.003291	0.433188	9.005806	8.214022	5	5
AT5G57560	2.262815	0.003300	0.433188	9.566863	7.304049	5	5
AT4G22150	-0.352949	0.003302	0.433188	7.691375	8.044324	5	5
AT2G31880	1.404083	0.003355	0.436206	8.613504	7.209421	5	5
AT3G11020	0.424686	0.003400	0.436206	3.213411	2.788725	5	5
AT2G37810	0.304832	0.003493	0.436206	2.316198	2.011365	5	5
AT2G18680	0.402588	0.003494	0.436206	2.955116	2.552528	5	5
AT3G17120	0.567771	0.003511	0.436206	5.799668	5.231897	5	5
AT2G35930	1.499984	0.003546	0.436206	7.140110	5.640125	5	5
AT1G76160	0.241442	0.003559	0.436206	8.695832	8.454390	5	5
AT3G10820	-0.229498	0.003574	0.436206	2.012758	2.242256	5	5
AT3G46530	0.372264	0.003589	0.436206	2.791237	2.418973	5	5
AT3G20500	0.425983	0.003590	0.436206	6.837041	6.411057	5	5
AT1G70420	0.859966	0.003616	0.436206	4.799061	3.939094	5	5
AT5G46710	0.611839	0.003619	0.436206	5.466590	4.854751	5	5
AT1G11340	0.169501	0.003621	0.436206	1.889754	1.720253	5	5
AT2G41250	0.455419	0.003683	0.436206	5.419513	4.964094	5	5
AT3G49220	0.480572	0.003760	0.436206	7.536606	7.056034	5	5
AT1G69980	-0.373091	0.003767	0.436206	6.367670	6.740761	5	5
AT5G39660	-0.472966	0.003774	0.436206	3.604055	4.077020	5	5
AT1G72240	1.043342	0.003776	0.436206	6.229373	5.186032	5	5
AT4G33070	-1.037080	0.003781	0.436206	6.975260	8.012340	5	5
AT2G48160	0.169967	0.003795	0.436206	5.177961	5.007994	5	5
AT1G74450	2.473394	0.003886	0.436206	7.489768	5.016374	5	5
AT1G58420	1.860954	0.003896	0.436206	5.927595	4.066642	5	5
AT4G33560	-1.008931	0.003904	0.436206	6.179513	7.188444	5	5
AT3G53400	0.438541	0.003904	0.436206	5.161631	4.723090	5	5
AT4G34990	0.948349	0.003912	0.436206	6.835229	5.886881	5	5
AT1G25400	1.209787	0.003917	0.436206	5.664027	4.454240	5	5
AT3G50930	1.957737	0.003920	0.436206	7.371398	5.413661	5	5
AT5G05410	2.250951	0.003931	0.436206	7.167064	4.916112	5	5
AT1G21050	-0.367454	0.003947	0.436206	7.857641	8.225095	5	5
AT3G62260	1.799829	0.003989	0.436206	7.318794	5.518966	5	5
AT5G42380	2.438392	0.004035	0.436206	5.315294	2.876902	5	5
AT5G46780	0.752660	0.004040	0.436206	7.963939	7.211279	5	5
AT1G76620	0.232972	0.004069	0.436206	2.116853	1.883881	5	5
AT4G37260	0.901007	0.004080	0.436206	7.437580	6.536573	5	5
AT1G77730	-0.474542	0.004092	0.436206	2.390488	2.865030	5	5
AT4G25610	0.144569	0.004130	0.436206	2.779012	2.634443	5	5
AT1G66180	0.619381	0.004148	0.436206	8.567576	7.948196	5	5
AT4G29650	0.226634	0.004160	0.436206	2.144576	1.917943	5	5
AT1G68880	-0.550741	0.004189	0.436206	8.491407	9.042149	5	5
AT4G11280	1.653478	0.004197	0.436206	9.644725	7.991247	5	5
AT5G52640	0.823560	0.004200	0.436206	6.306352	5.482792	5	5
AT5G04410	0.252454	0.004244	0.436206	7.897739	7.645284	5	5
AT1G17490	-0.226087	0.004301	0.436206	8.472250	8.698337	5	5
AT1G66260	0.429564	0.004321	0.436206	7.841193	7.411629	5	5
AT2G25430	-0.233116	0.004339	0.436206	7.374335	7.607451	5	5
AT5G52140	0.236067	0.004359	0.436206	1.959846	1.723778	5	5
AT2G03850	0.207069	0.004395	0.436206	2.168238	1.961169	5	5
AT2G41640	2.146299	0.004405	0.436206	6.140681	3.994382	5	5
AT1G67970	0.274712	0.004454	0.436206	3.939969	3.665258	5	5
AT3G45210	-0.601199	0.004466	0.436206	5.531106	6.132305	5	5
AT1G72950	0.714916	0.004488	0.436206	3.892089	3.177173	5	5
AT4G32500	-0.166843	0.004506	0.436206	2.286202	2.453045	5	5
AT1G76870	0.227514	0.004520	0.436206	2.835228	2.607714	5	5
AT1G80440	0.820602	0.004540	0.436206	4.395038	3.574436	5	5
AT3G20660	0.386136	0.004544	0.436206	2.711054	2.324918	5	5
AT4G33980	0.392532	0.004547	0.436206	3.712221	3.319690	5	5
AT5G63130	1.106762	0.004563	0.436206	4.971992	3.865231	5	5
AT4G32030	0.278493	0.004576	0.436206	5.967863	5.689370	5	5
AT2G27190	0.251293	0.004591	0.436206	7.149250	6.897957	5	5
AT5G52040	0.230480	0.004725	0.436206	6.748275	6.517795	5	5
AT3G28340	1.993499	0.004727	0.436206	7.066585	5.073086	5	5
AT2G40000	1.911679	0.004733	0.436206	9.054885	7.143206	5	5
AT2G29130	0.527408	0.004746	0.436206	3.123075	2.595667	5	5
AT4G05000	-0.480335	0.004764	0.436206	5.881223	6.361559	5	5
AT5G07150	-0.533909	0.004805	0.436206	2.322523	2.856431	5	5
AT5G47220	1.665354	0.004824	0.436206	6.040247	4.374893	5	5
AT1G14350	-0.566725	0.004841	0.436206	4.015825	4.582550	5	5
AT2G34300	0.482716	0.004856	0.436206	8.618639	8.135923	5	5
AT5G42650	1.323735	0.004857	0.436206	5.968675	4.644940	5	5
AT3G56880	0.876879	0.004860	0.436206	9.721782	8.844903	5	5
AT1G49530	0.225204	0.004864	0.436206	2.761287	2.536083	5	5
AT2G39650	1.239431	0.004901	0.436206	6.185889	4.946458	5	5
AT2G22500	1.639723	0.004946	0.436206	8.047497	6.407775	5	5
AT5G39890	-0.567287	0.004952	0.436206	6.483463	7.050749	5	5
AT1G15010	2.458299	0.004964	0.436206	6.618154	4.159855	5	5
AT1G19210	3.535258	0.004971	0.436206	7.585619	4.050361	5	5
AT1G79080	0.388244	0.004978	0.436206	3.368609	2.980365	5	5
AT3G17609	-0.747580	0.004989	0.436206	5.098687	5.846268	5	5
AT3G24780	0.420301	0.005010	0.436206	2.984041	2.563740	5	5
AT3G21700	-0.546786	0.005012	0.436206	5.223936	5.770722	5	5
AT2G13440	0.471715	0.005033	0.436206	4.707003	4.235288	5	5
AT5G45340	1.600476	0.005059	0.436206	7.775072	6.174595	5	5
AT3G45640	0.853259	0.005065	0.436206	8.824746	7.971486	5	5
AT1G20520	0.415442	0.005069	0.436206	2.633113	2.217671	5	5
AT5G02490	0.470314	0.005086	0.436206	6.634504	6.164189	5	5
AT4G32800	0.947888	0.005100	0.436206	5.797875	4.849987	5	5
AT3G09735	-0.396608	0.005111	0.436206	8.378259	8.774867	5	5
AT3G12830	0.579209	0.005122	0.436206	6.668112	6.088903	5	5
AT5G08500	0.401814	0.005129	0.436206	6.743193	6.341379	5	5
AT5G11070	1.728469	0.005183	0.437658	8.457737	6.729268	5	5
AT1G25550	0.559167	0.005187	0.437658	7.490037	6.930869	5	5
AT1G15100	-1.186646	0.005228	0.438296	7.414237	8.600883	5	5
AT1G01290	-0.343791	0.005263	0.438296	4.735769	5.079560	5	5
AT1G80340	-0.530748	0.005286	0.438296	2.939730	3.470478	5	5
AT4G03390	0.422606	0.005291	0.438296	5.783705	5.361098	5	5
AT1G76185	-0.341150	0.005322	0.438296	4.573023	4.914173	5	5
AT1G76650	1.810593	0.005323	0.438296	7.245725	5.435132	5	5
AT4G20130	0.169528	0.005395	0.438296	2.654451	2.484923	5	5
AT1G60930	0.300951	0.005400	0.438296	2.550135	2.249184	5	5
AT3G23030	-0.438749	0.005404	0.438296	6.400246	6.838995	5	5
AT2G17230	0.881754	0.005408	0.438296	5.652690	4.770937	5	5
AT5G35735	1.650676	0.005418	0.438296	9.216462	7.565786	5	5
AT1G77490	0.441950	0.005444	0.438709	3.929107	3.487158	5	5
AT3G29030	-0.309143	0.005468	0.439016	2.518823	2.827966	5	5
AT3G26744	0.428009	0.005505	0.440349	4.657214	4.229205	5	5
AT5G60300	0.351515	0.005533	0.440929	6.989483	6.637968	5	5
AT3G48690	0.381022	0.005600	0.442599	6.526972	6.145950	5	5
AT2G01300	1.130886	0.005611	0.442599	5.043776	3.912889	5	5
AT1G68620	1.056751	0.005633	0.442599	4.529801	3.473050	5	5
AT1G48900	0.265359	0.005651	0.442599	7.777681	7.512322	5	5
AT5G57510	0.725135	0.005685	0.442599	3.578372	2.853238	5	5
AT1G15430	0.635551	0.005743	0.442599	6.790868	6.155317	5	5
AT5G62020	0.710129	0.005750	0.442599	6.533282	5.823153	5	5
AT5G66210	1.031230	0.005764	0.442599	5.438823	4.407593	5	5
AT1G73500	0.861931	0.005806	0.442599	7.535834	6.673903	5	5
AT5G37770	1.000563	0.005817	0.442599	8.247754	7.247191	5	5
AT5G08330	0.711174	0.005853	0.442599	5.767908	5.056734	5	5
AT2G36650	1.658844	0.005892	0.442599	5.479974	3.821129	5	5
AT1G03820	-0.682306	0.005932	0.442599	7.879797	8.562103	5	5
AT4G14690	-0.769763	0.005945	0.442599	5.440717	6.210480	5	5
AT2G02130	-0.218499	0.005950	0.442599	11.392473	11.610972	5	5
AT2G39180	0.188488	0.006003	0.442599	3.108895	2.920408	5	5
AT2G33580	1.915773	0.006010	0.442599	7.879251	5.963478	5	5
AT5G47070	1.795364	0.006013	0.442599	6.974713	5.179349	5	5
AT2G33130	0.303795	0.006016	0.442599	2.502493	2.198697	5	5
AT2G30020	1.942906	0.006062	0.442599	8.801893	6.858988	5	5
AT3G22540	-0.537292	0.006069	0.442599	6.417168	6.954460	5	5
AT4G01850	0.282999	0.006111	0.442599	11.011118	10.728119	5	5
AT3G15350	0.846643	0.006119	0.442599	5.819621	4.972978	5	5
AT5G64870	1.461623	0.006122	0.442599	4.757555	3.295933	5	5
AT4G24210	-0.283348	0.006128	0.442599	6.278439	6.561788	5	5
AT5G44150	-0.409655	0.006162	0.442599	4.083349	4.493004	5	5
AT5G35580	1.641221	0.006168	0.442599	7.596647	5.955426	5	5
AT1G18570	0.671499	0.006185	0.442599	5.176784	4.505285	5	5
AT1G17745	0.416675	0.006194	0.442599	7.831197	7.414522	5	5
AT2G23210	-0.223941	0.006214	0.442599	2.066120	2.290061	5	5
AT3G55980	1.949386	0.006255	0.442599	8.577496	6.628110	5	5
AT3G54900	-0.407125	0.006255	0.442599	6.096593	6.503718	5	5
AT4G12720	0.415657	0.006285	0.442599	9.132256	8.716599	5	5
AT2G43290	0.477870	0.006310	0.442599	7.120836	6.642965	5	5
AT2G28430	-0.422177	0.006325	0.442599	7.560226	7.982403	5	5
AT5G49520	1.504720	0.006337	0.442599	6.470612	4.965893	5	5
AT5G52890	0.275006	0.006345	0.442599	2.483678	2.208673	5	5
AT4G32060	0.476108	0.006358	0.442599	8.307401	7.831292	5	5
AT3G61190	2.089532	0.006368	0.442599	9.076557	6.987025	5	5
AT3G59420	0.406546	0.006377	0.442599	3.076570	2.670024	5	5
AT5G01950	0.269204	0.006435	0.444351	6.172835	5.903631	5	5
AT1G32310	-0.391290	0.006456	0.444351	5.655863	6.047153	5	5
AT1G29340	0.484810	0.006464	0.444351	7.247678	6.762868	5	5
AT3G61890	0.631794	0.006492	0.444842	6.182731	5.550937	5	5
AT5G06320	1.196950	0.006534	0.446297	8.106152	6.909202	5	5
AT1G19180	1.191367	0.006563	0.446883	9.023449	7.832082	5	5
AT4G35985	0.597798	0.006624	0.448756	7.306602	6.708804	5	5
AT5G58120	1.181546	0.006645	0.448756	4.681379	3.499833	5	5
AT2G24570	0.438373	0.006653	0.448756	6.760055	6.321682	5	5
AT3G15530	0.593353	0.006733	0.449649	7.520956	6.927603	5	5
AT5G60800	0.531158	0.006734	0.449649	5.286249	4.755091	5	5
AT4G35740	0.296119	0.006765	0.449649	4.595378	4.299259	5	5
AT1G01320	0.820525	0.006823	0.449649	3.920408	3.099883	5	5
AT4G08400	-0.342073	0.006835	0.449649	1.799819	2.141892	5	5
AT3G44430	-0.355670	0.006837	0.449649	4.908151	5.263821	5	5
AT1G05630	-0.316647	0.006880	0.449649	2.411334	2.727982	5	5
AT1G06520	0.745643	0.006934	0.449649	3.833209	3.087567	5	5
AT5G54855	-0.260043	0.006936	0.449649	7.458534	7.718577	5	5
AT2G46400	1.945794	0.006951	0.449649	6.933149	4.987354	5	5
AT5G10580	-0.491041	0.006988	0.449649	8.695606	9.186647	5	5
AT3G23400	1.019101	0.007003	0.449649	6.928837	5.909736	5	5
AT5G35380	0.262343	0.007011	0.449649	2.103143	1.840800	5	5
AT4G16447	-0.763868	0.007018	0.449649	5.534551	6.298419	5	5
AT4G35940	0.421325	0.007020	0.449649	6.223976	5.802651	5	5
AT4G03320	-0.373056	0.007028	0.449649	6.194802	6.567857	5	5
AT4G23200	0.231872	0.007037	0.449649	2.185398	1.953526	5	5
AT5G01710	0.431827	0.007090	0.449649	8.019714	7.587888	5	5
AT5G59020	-0.387457	0.007095	0.449649	4.246968	4.634425	5	5
AT2G44770	-0.243860	0.007125	0.449649	5.987038	6.230898	5	5
AT5G11500	-0.287810	0.007153	0.449649	9.330870	9.618680	5	5
AT3G13470	0.725164	0.007174	0.449649	7.956591	7.231427	5	5
