accession	enclosure_class	carbon_pct_earth	light	hardware	tissue	set	n	median	shift	p	predicted
OSD-522	sealed	1	light	BRIC-LED	shoots	ath00630	76	-0.102017	-0.124803	0.0003150109978592829	none
OSD-522	sealed	1	light	BRIC-LED	shoots	ath00710	66	-0.0820385	-0.1048585	0.00013200422852491686	down
OSD-522	sealed	1	light	BRIC-LED	shoots	ath00500	142	-0.141808	-0.16461299999999998	3.510021953475015e-06	down
OSD-522	sealed	1	light	BRIC-LED	shoots	ath00010	111	-0.091694	-0.114669	5.740587951627125e-06	
OSD-522	sealed	1	light	BRIC-LED	shoots	photorespiration_core	13	-0.141695	-0.1641355	0.09167121378445355	none
OSD-522	sealed	1	light	BRIC-LED	shoots	carbon_starvation_DIN	5	0.707545	0.685458	0.0025950415942480637	up
OSD-522	sealed	1	light	BRIC-LED	shoots	fermentation	6	-0.0673695	-0.0895705	0.5956115137930895	none
OSD-522	sealed	1	light	BRIC-LED	shoots	hypoxia_responsive	3	0.190753	0.1686485	0.24784088957307016	none
OSD-522	sealed	1	light	BRIC-LED	shoots	photosynthesis_apparatus	31	-0.215013	-0.237672	3.7506386397387976e-06	down
OSD-522	sealed	1	light	BRIC-LED	shoots	rubisco	5	-0.381024	-0.40333199999999997	0.0045219354005854705	down
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	ath00630	79	0.133825185259963	0.2077486656874762	5.551240178223629e-05	none
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	ath00710	70	0.2471247401519595	0.3211198781516133	5.092498226046417e-07	down
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	ath00500	177	0.0311063791761155	0.10449074300215849	0.0070711280966516965	down
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	ath00010	120	0.13342339272328552	0.20751734067646943	3.203415016314489e-05	
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	photorespiration_core	13	0.604853549062407	0.6781091668778826	3.090247411177831e-05	none
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	carbon_starvation_DIN	5	-1.29885808866759	-1.2261515672646635	0.006764430012970389	up
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	fermentation	6	-0.2739381142541205	-0.20122052260783113	0.27168768280124467	none
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	hypoxia_responsive	3	0.22366109570516	0.2966085113026863	0.21631635860271725	none
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	photosynthesis_apparatus	31	0.652038953267084	0.7256756083560678	5.445143882557362e-11	down
OSD-38	sealed	1	dark	BRIC-PDFU	whole seedlings	rubisco	5	0.651263479258981	0.724255312874713	0.015478968740433504	down
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	ath00630	80	0.05039764245627315	0.031306474352719854	0.7987717885071501	none
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	ath00710	70	0.1972052900392085	0.1786317203471324	0.006884808744736664	down
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	ath00500	165	0.366883188953622	0.3493971029646814	0.001061126740908283	down
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	ath00010	119	0.127783207337762	0.11004601473654035	0.09230782804664511	
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	photorespiration_core	13	0.733049027403066	0.7140808081353113	0.00847361688453307	none
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	carbon_starvation_DIN	5	-1.83352929735544	-1.8527409244307205	0.0007279797673637588	up
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	fermentation	6	-0.2839264115700565	-0.3030779407154507	0.9043275839670878	none
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	hypoxia_responsive	3	-0.0102419455050029	-0.02938759870676625	0.8339994014228987	none
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	photosynthesis_apparatus	31	1.38352497443858	1.3651383800067929	8.817887126372347e-07	down
OSD-321	sealed	1	dark	BRIC-PDFU	seedlings	rubisco	5	1.86323626544472	1.8441632869970268	0.02171242507801644	down
OSD-678-light	tape	90	light	CARA square dish	leaves	ath00630	78	-0.14321563903293485	-0.14321563903293485	0.10938773591816252	none
OSD-678-light	tape	90	light	CARA square dish	leaves	ath00710	70	-0.31840418171609	-0.31840418171609	0.0025313144903863147	down
OSD-678-light	tape	90	light	CARA square dish	leaves	ath00500	163	-0.114380793796347	-0.114380793796347	0.052872124214351224	down
OSD-678-light	tape	90	light	CARA square dish	leaves	ath00010	117	-0.189773619534207	-0.189773619534207	0.14110298291024873	
OSD-678-light	tape	90	light	CARA square dish	leaves	photorespiration_core	13	-1.15554529970997	-1.15554529970997	0.00496494365736308	none
