accession	enclosure_class	carbon_pct_earth	light	hardware	tissue	set	n	median	shift	p	predicted
OSD-678-light	tape	90	light	CARA square dish	leaves	carbon_starvation_DIN	5	0.737002506754996	0.737002506754996	0.09573865382921415	up
OSD-678-light	tape	90	light	CARA square dish	leaves	fermentation	6	0.508722241881941	0.508722241881941	0.6118125506122585	none
OSD-678-light	tape	90	light	CARA square dish	leaves	hypoxia_responsive	3	0.139367577077473	0.139367577077473	0.7695507020638385	none
OSD-678-light	tape	90	light	CARA square dish	leaves	photosynthesis_apparatus	31	-1.84034934223035	-1.84034934223035	2.883692472946199e-14	down
OSD-678-light	tape	90	light	CARA square dish	leaves	rubisco	5	-2.89862958184324	-2.89862958184324	0.02481329049340388	down
OSD-678-dark	tape	90	dark	CARA square dish	leaves	ath00630	78	0.2595626388879665	0.28404324304956463	1.4705286326204288e-05	none
OSD-678-dark	tape	90	dark	CARA square dish	leaves	ath00710	70	0.08007185838136399	0.1040617891096689	0.021625935263637593	down
OSD-678-dark	tape	90	dark	CARA square dish	leaves	ath00500	163	-0.0780573265992252	-0.054804707537716796	0.7375458176960055	down
OSD-678-dark	tape	90	dark	CARA square dish	leaves	ath00010	117	-0.004739553622203	0.0189943730113072	0.11020017313621848	
OSD-678-dark	tape	90	dark	CARA square dish	leaves	photorespiration_core	13	0.577252080986968	0.6013688344314196	0.001065730143548699	none
OSD-678-dark	tape	90	dark	CARA square dish	leaves	carbon_starvation_DIN	5	2.04372934187524	2.0675371461453813	0.007041254621977983	up
OSD-678-dark	tape	90	dark	CARA square dish	leaves	fermentation	6	-1.103437904283254	-1.0799414127551126	0.14996266642852452	none
OSD-678-dark	tape	90	dark	CARA square dish	leaves	hypoxia_responsive	3	-0.060033065247892	-0.0365329986941934	0.7728947654288816	none
OSD-678-dark	tape	90	dark	CARA square dish	leaves	photosynthesis_apparatus	31	2.43717285535273	2.4616633206725123	3.221649399068511e-17	down
OSD-678-dark	tape	90	dark	CARA square dish	leaves	rubisco	5	1.18240047866275	1.2063897364457874	0.0019588341208034107	down
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	ath00630	80	-0.1183136502085115	-0.1183136502085115	1.3298719919312241e-05	none
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	ath00710	70	-0.131498784671196	-0.131498784671196	2.9206697813184008e-06	down
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	ath00500	173	0.0	0.0	0.44811718565713743	down
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	ath00010	118	-0.08033051348682	-0.08033051348682	0.003790634460791385	
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	photorespiration_core	13	-0.21274752077047	-0.21274752077047	0.001188340981487585	none
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	carbon_starvation_DIN	5	0.419721594940997	0.419721594940997	0.002483148104830837	up
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	fermentation	6	0.323150711433363	0.323150711433363	0.00675103780436882	none
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	hypoxia_responsive	3	-0.20489453690127	-0.20489453690127	0.07171881022071278	none
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	photosynthesis_apparatus	31	0.0055526580885234	0.0055526580885234	0.9108315931085562	down
OSD-427	vented	100	light	VEGGIE (VPS)	leaf	rubisco	5	-0.329548785354939	-0.329548785354939	0.08742150421129079	down
