uniprot	log2fc	pvalue	adj_p	gene_name	fraction	description	significant
A0A178U9N5	-0.36	0.384470114	0.448178721	PPD5	MEM	PsbP domain protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein) OS=Arabidopsis thaliana OX=3702 GN=PPD5 PE=1 SV=1	False
A0A178UA07	-0.14	0.205100978	0.312012796	At5g09760	SOL	Pectinesterase OS=Arabidopsis thaliana OX=3702 GN=At5g09760 PE=1 SV=1	False
A0A178UFH0	2.01	0.023494797	0.050134821	MMN10.21	MEM	K-stimulated pyrophosphate-energized sodium pump protein OS=Arabidopsis thaliana OX=3702 GN=MMN10.21 PE=1 SV=1	False
A0A178UML4	-0.3	0.006740339	0.024631524	At5g17440	MEM	LUC7 related protein OS=Arabidopsis thaliana OX=3702 GN=At5g17440 PE=1 SV=1	True
A0A178US29	-0.84	0.044793635	0.078950405	MUA22.21	MEM	Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=MUA22.21 PE=1 SV=1	False
A0A178VC85	0.57	0.087221141	0.131689043	At3g02420	MEM	Dihydroflavonol 4-reductase/flavanone protein OS=Arabidopsis thaliana OX=3702 GN=At3g02420 PE=1 SV=1	False
A0A178VEL3	-0.55	0.018242074	0.081660755	AtVIP1	SOL	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase OS=Arabidopsis thaliana OX=3702 GN=AtVIP1 PE=1 SV=1	False
A0A178VMD8	-0.33	0.154122104	0.258035731	HAOX2	SOL	(S)-2-hydroxy-acid oxidase OS=Arabidopsis thaliana OX=3702 GN=HAOX2 PE=1 SV=1	False
A0A178W0D3	0.49	0.003817428	0.017498316	PTAC4	MEM	Plastid transcriptionally active 4 OS=Arabidopsis thaliana OX=3702 GN=PTAC4 PE=1 SV=1	True
A0A178W0K0	-0.6	0.053302372	0.137906719	At2g37020	SOL	Translin family protein OS=Arabidopsis thaliana OX=3702 GN=At2g37020 PE=1 SV=1	False
A0A1I9LL70	0.05	0.699547927	0.74390879	TOC64-III	MEM	Translocon at the outer membrane of chloroplasts 64-III OS=Arabidopsis thaliana OX=3702 GN=TOC64-III PE=1 SV=1	False
A0A1I9LLC0	0.68	0.017491251	0.041274008	CID4	MEM	CTC-interacting domain 4 OS=Arabidopsis thaliana OX=3702 GN=CID4 PE=1 SV=1	True
A0A1I9LLN6	0.13	0.539848121	0.626324963	FLA15	SOL	FASCICLIN-like arabinogalactan protein 15 OS=Arabidopsis thaliana OX=3702 GN=FLA15 PE=1 SV=1	False
A0A1I9LM49	-0.23	0.204421032	0.311345089	At3g52155	SOL	Phosphoglycerate mutase family protein OS=Arabidopsis thaliana OX=3702 GN=At3g52155 PE=1 SV=1	False
A0A1I9LM53	0.21	0.004546687	0.019527675	At3g59350	MEM	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g59350 PE=1 SV=1	True
A0A1I9LM56	0.21	0.130118593	0.233553445	BGAL2	SOL	Beta-galactosidase OS=Arabidopsis thaliana OX=3702 GN=BGAL2 PE=1 SV=1	False
A0A1I9LM90	-0.26	0.012831381	0.034603026	FLK	MEM	RNA-binding KH domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=FLK PE=1 SV=1	True
A0A1I9LMB4	-0.18	0.189767532	0.24798037	LHCB2.3	MEM	Chlorophyll a-b binding protein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCB2.3 PE=1 SV=1	False
A0A1I9LMI8	0.51	0.021604406	0.047485749	At3g23450	MEM	Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At3g23450 PE=1 SV=1	True
A0A1I9LMK8	0.11	0.087777334	0.18245409	At3g47560	SOL	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g47560 PE=1 SV=1	False
A0A1I9LMQ7	0.01	0.536768328	0.624213591	Tic22-III	SOL	Tic22-like family protein OS=Arabidopsis thaliana OX=3702 GN=Tic22-III PE=1 SV=1	False
