uniprot	log2fc	pvalue	adj_p	gene_name	fraction	description	significant
A0A1I9LMR3	-1.22	0.006221009	0.023481655	PLSP1	MEM	Plastidic type i signal peptidase 1 OS=Arabidopsis thaliana OX=3702 GN=PLSP1 PE=1 SV=1	True
A0A1I9LMU3	-0.41	0.032582121	0.062662593	At3g48410	MEM	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g48410 PE=1 SV=1	False
A0A1I9LMY7	0.15	0.345977915	0.409159171	At3g04920	MEM	40S ribosomal protein S24 OS=Arabidopsis thaliana OX=3702 GN=At3g04920 PE=1 SV=1	False
A0A1I9LN83	-0.13	0.29158583	0.400883313	RHM3	SOL	Rhamnose biosynthesis 3 OS=Arabidopsis thaliana OX=3702 GN=RHM3 PE=1 SV=1	False
A0A1I9LNC0	0.16	0.258557455	0.320735728	CCH	MEM	Copper chaperone OS=Arabidopsis thaliana OX=3702 GN=CCH PE=1 SV=1	False
A0A1I9LNQ7	0.05	0.754358041	0.806914438	At3g02510	SOL	Regulator of chromosome condensation (RCC1) family protein OS=Arabidopsis thaliana OX=3702 GN=At3g02510 PE=1 SV=1	False
A0A1I9LNS4	-0.19	0.116927806	0.167170785	At3g62120	MEM	Prolyl-tRNA synthetase OS=Arabidopsis thaliana OX=3702 GN=At3g62120 PE=1 SV=1	False
A0A1I9LNT2	-0.47	0.00216891	0.036859628	SDR1	SOL	NAD(P)-binding Rossmann-fold superfamily protein OS=Arabidopsis thaliana OX=3702 GN=SDR1 PE=1 SV=1	True
A0A1I9LNZ1	0.97	0.182396957	0.28807477	At3g07470	SOL	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At3g07470 PE=1 SV=1	False
A0A1I9LP02	0.52	0.023950575	0.050937239	CPK13	MEM	Calcium-dependent protein kinase 13 OS=Arabidopsis thaliana OX=3702 GN=CPK13 PE=1 SV=1	False
A0A1I9LP28	-0.69	0.00106039	0.00976055	At3g06530	MEM	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g06530 PE=1 SV=1	True
A0A1I9LPC7	0.44	0.00860905	0.028032201	At3g04760	MEM	Pentatricopeptide repeat (PPR-like) superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g04760 PE=1 SV=1	True
A0A1I9LPJ2	0.65	0.141954979	0.246209216	CAM7	SOL	Calmodulin 7 OS=Arabidopsis thaliana OX=3702 GN=CAM7 PE=1 SV=1	False
A0A1I9LPV5	1.17	0.004155803	0.018496111	ABCC8	MEM	ABC-type xenobiotic transporter OS=Arabidopsis thaliana OX=3702 GN=ABCC8 PE=1 SV=1	True
A0A1I9LPZ1	0.31	0.156142646	0.21127455	At3g50370	MEM	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At3g50370 PE=1 SV=1	False
A0A1I9LPZ9	-0.29	0.021256069	0.046975135	DEG7	MEM	DegP protease 7 OS=Arabidopsis thaliana OX=3702 GN=DEG7 PE=1 SV=1	True
A0A1I9LQ21	-0.4	0.034968303	0.066166557	At3g01380	MEM	GPI ethanolamine phosphate transferase 1 OS=Arabidopsis thaliana OX=3702 GN=At3g01380 PE=1 SV=1	False
A0A1I9LQ23	0.97	0.013525515	0.035769098	At3g15520	MEM	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein OS=Arabidopsis thaliana OX=3702 GN=At3g15520 PE=1 SV=1	True
A0A1I9LQB3	-0.57	0.012517381	0.033933495	CA1	MEM	Carbonic anhydrase OS=Arabidopsis thaliana OX=3702 GN=CA1 PE=1 SV=1	True
A0A1I9LQQ9	-0.94	0.003307491	0.016305844	At3g19950	MEM	RING-type E3 ubiquitin transferase OS=Arabidopsis thaliana OX=3702 GN=At3g19950 PE=1 SV=1	True
A0A1I9LR04	0.84	0.001736047	0.012030638	NACA2	MEM	Nascent polypeptide-associated complex subunit alpha-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=NACA2 PE=1 SV=1	True
A0A1I9LR43	-0.16	0.390046246	0.49251209	4CL2	SOL	4-coumarate:CoA ligase 2 OS=Arabidopsis thaliana OX=3702 GN=4CL2 PE=1 SV=1	False
A0A1I9LRA3	0.88	0.004359315	0.019064052	At3g20370	MEM	TRAF-like family protein OS=Arabidopsis thaliana OX=3702 GN=At3g20370 PE=1 SV=1	True
A0A1I9LRI3	-0.36	0.016848683	0.040437709	CYP71B26	MEM	Cytochrome P450, family 71, subfamily B, polypeptide 26 OS=Arabidopsis thaliana OX=3702 GN=CYP71B26 PE=1 SV=1	True
A0A1I9LRJ6	0.08	0.218467424	0.324881214	At3g60370	SOL	Peptidylprolyl isomerase OS=Arabidopsis thaliana OX=3702 GN=At3g60370 PE=1 SV=1	False
A0A1I9LRM3	0.16	0.012088371	0.033441042	AIR12	MEM	Auxin-induced in root cultures-like protein OS=Arabidopsis thaliana OX=3702 GN=AIR12 PE=1 SV=1	True
A0A1I9LRS8	-0.97	0.019715193	0.08433998	VCS	SOL	Transducin/WD40 repeat-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=VCS PE=1 SV=1	False
A0A1I9LSC2	-0.2	0.264149824	0.326559041	At3g07030	MEM	Alba DNA/RNA-binding protein OS=Arabidopsis thaliana OX=3702 GN=At3g07030 PE=1 SV=1	False
A0A1I9LSC3	0.52	0.000379436	0.006511285	At3g25580	MEM	Thioredoxin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g25580 PE=1 SV=1	True
A0A1I9LSH2	0.0	0.709515646	0.753115808	At3g62360	MEM	Carbohydrate-binding-like fold OS=Arabidopsis thaliana OX=3702 GN=At3g62360 PE=1 SV=1	False
A0A1I9LSK3	-0.16	0.119355651	0.169727937	BIG	MEM	Auxin transport protein (BIG) OS=Arabidopsis thaliana OX=3702 GN=BIG PE=1 SV=1	False
A0A1I9LSL6	-0.31	0.000621105	0.024468046	At3g07010	SOL	Pectate lyase OS=Arabidopsis thaliana OX=3702 GN=At3g07010 PE=1 SV=1	True
A0A1I9LST4	-0.87	0.000157805	0.00454454	At3g15290	MEM	3-hydroxyacyl-CoA dehydrogenase family protein OS=Arabidopsis thaliana OX=3702 GN=At3g15290 PE=1 SV=1	True
A0A1I9LT21	0.38	0.044237102	0.078196281	EXLA1	MEM	Expansin-like A1 OS=Arabidopsis thaliana OX=3702 GN=EXLA1 PE=1 SV=1	False
A0A1I9LT44	-0.08	0.424729475	0.485905578	At3g23540	MEM	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g23540 PE=1 SV=1	False
A0A1I9LT48	-0.3	0.050453523	0.086061782	CHUP1	MEM	Hydroxyproline-rich glycoprotein family protein OS=Arabidopsis thaliana OX=3702 GN=CHUP1 PE=1 SV=1	False
A0A1I9LT68	-0.42	0.053858034	0.0904414	ATG6	MEM	AUTOPHAGY 6 OS=Arabidopsis thaliana OX=3702 GN=ATG6 PE=1 SV=1	False
A0A1I9LT70	0.29	0.056639478	0.093877195	ARA6	MEM	Ras-related small GTP-binding family protein OS=Arabidopsis thaliana OX=3702 GN=ARA6 PE=1 SV=1	False
A0A1I9LTQ6	0.46	0.002917571	0.015240579	GYRB1	MEM	DNA gyrase subunit B OS=Arabidopsis thaliana OX=3702 GN=GYRB1 PE=1 SV=1	True
A0A1I9LTR5	-0.35	0.028907239	0.101134506	HCF107	SOL	High chlorophyll fluorescent 107 OS=Arabidopsis thaliana OX=3702 GN=HCF107 PE=1 SV=1	False
A0A1P8AM12	-0.09	0.126346152	0.228618207	RHON1	SOL	Rho termination factor OS=Arabidopsis thaliana OX=3702 GN=RHON1 PE=1 SV=1	False
A0A1P8AM23	-0.38	0.001831654	0.01231824	At1g18700	MEM	DNAJ heat shock N-terminal domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g18700 PE=1 SV=1	True
A0A1P8AM79	-1.27	0.001477326	0.011036008	MNS3	MEM	alpha-1,2-Mannosidase OS=Arabidopsis thaliana OX=3702 GN=MNS3 PE=1 SV=1	True
A0A1P8AMF1	0.08	0.155252386	0.258705103	At1g03030	SOL	p-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g03030 PE=1 SV=1	False
A0A1P8AMI8	-0.68	0.00698686	0.025166236	ARK2	MEM	Kinesin-like protein OS=Arabidopsis thaliana OX=3702 GN=ARK2 PE=1 SV=1	True
A0A1P8AMQ1	-0.64	0.007047657	0.025277453	At1g48090	MEM	Calcium-dependent lipid-binding family protein OS=Arabidopsis thaliana OX=3702 GN=At1g48090 PE=1 SV=1	True
A0A1P8AMR1	-1.02	0.004025821	0.018103738	At1g11410	MEM	Receptor-like serine/threonine-protein kinase OS=Arabidopsis thaliana OX=3702 GN=At1g11410 PE=1 SV=1	True
A0A1P8AMS1	0.22	0.233723884	0.3416212	At1g21400	SOL	Thiamin diphosphate-binding fold (THDP-binding) superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g21400 PE=1 SV=1	False
A0A1P8AMW2	-1.57	0.001554396	0.011409741	At1g21400	MEM	Thiamin diphosphate-binding fold (THDP-binding) superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g21400 PE=1 SV=1	True
A0A1P8AMX1	-0.26	0.001884623	0.036402305	PREP2	SOL	Presequence protease 2 OS=Arabidopsis thaliana OX=3702 GN=PREP2 PE=1 SV=1	True
A0A1P8ANC2	0.08	0.293595639	0.356978186	CPK33	MEM	Calcium-dependent protein kinase 33 OS=Arabidopsis thaliana OX=3702 GN=CPK33 PE=1 SV=1	False
A0A1P8ANE5	0.37	0.060301863	0.09869412	At1g56145	MEM	Non-specific serine/threonine protein kinase OS=Arabidopsis thaliana OX=3702 GN=At1g56145 PE=1 SV=1	False
A0A1P8ANP3	0.01	0.759577685	0.796789189	At1g28350	MEM	Nucleotidylyl transferase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g28350 PE=1 SV=1	False
A0A1P8ANX8	0.36	0.015302992	0.075510469	VHA-E3	SOL	Vacuolar H+-ATPase subunit E isoform 3 OS=Arabidopsis thaliana OX=3702 GN=VHA-E3 PE=1 SV=1	False
A0A1P8AP70	0.18	0.143972485	0.198418554	UGT75B1	MEM	Glycosyltransferase OS=Arabidopsis thaliana OX=3702 GN=UGT75B1 PE=1 SV=1	False
A0A1P8APG3	0.57	0.007767474	0.055063433	EXPA11	SOL	Expansin OS=Arabidopsis thaliana OX=3702 GN=EXPA11 PE=1 SV=1	False
A0A1P8API2	0.79	0.002316787	0.03740771	SERPIN1	SOL	Serine protease inhibitor (SERPIN) family protein OS=Arabidopsis thaliana OX=3702 GN=SERPIN1 PE=1 SV=1	True
A0A1P8APK3	0.05	0.150979964	0.205769008	At1g01080	MEM	RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At1g01080 PE=1 SV=1	False
A0A1P8APR6	-0.07	0.152524799	0.25677657	GAPA-2	SOL	Glyceraldehyde-3-phosphate dehydrogenase OS=Arabidopsis thaliana OX=3702 GN=GAPA-2 PE=1 SV=1	False
A0A1P8APW3	-0.4	0.011161662	0.03198954	SR45	MEM	Arginine/serine-rich 45 OS=Arabidopsis thaliana OX=3702 GN=SR45 PE=1 SV=1	True
A0A1P8APY5	-0.22	0.199701684	0.306671464	At1g22430	SOL	GroES-like zinc-binding dehydrogenase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g22430 PE=1 SV=1	False
A0A1P8AQ08	-0.15	0.288498468	0.351793238	At1g21630	MEM	Calcium-binding EF hand family protein OS=Arabidopsis thaliana OX=3702 GN=At1g21630 PE=1 SV=1	False
A0A1P8AQ69	-0.17	0.416383751	0.516913969	TPS8	SOL	Trehalose-6-phosphatase synthase S8 OS=Arabidopsis thaliana OX=3702 GN=TPS8 PE=1 SV=1	False
A0A1P8AQ84	2.07	0.006251302	0.023567283	EMB3108	MEM	DEA(D/H)-box RNA helicase family protein OS=Arabidopsis thaliana OX=3702 GN=EMB3108 PE=1 SV=1	True
A0A1P8AQG8	-0.71	0.000490388	0.007282537	At1g45261	MEM	Translation elongation factor EFG/EF2 protein OS=Arabidopsis thaliana OX=3702 GN=At1g45261 PE=1 SV=1	True
A0A1P8AQS2	-0.25	0.081018571	0.124282862	E1	MEM	Pyruvate dehydrogenase E1 component subunit alpha OS=Arabidopsis thaliana OX=3702 GN=E1 ALPHA PE=1 SV=1	False
A0A1P8AQT8	1.75	9.00467e-05	0.00412232	XTH17	MEM	Xyloglucan endotransglucosylase/hydrolase OS=Arabidopsis thaliana OX=3702 GN=XTH17 PE=1 SV=1	True
A0A1P8AQY7	-2.56	7.29746e-05	0.003847006	GC5	MEM	Golgin Putative 5 OS=Arabidopsis thaliana OX=3702 GN=GC5 PE=1 SV=1	True
A0A1P8AR36	1.52	0.00021453	0.005023886	At1g52070	MEM	Mannose-binding lectin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g52070 PE=1 SV=1	True
A0A1P8AR50	-0.73	0.00499199	0.046074248	At1g01320	SOL	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g01320 PE=1 SV=1	True
A0A1P8AR99	-0.42	0.021815803	0.088489757	FRA3	SOL	Endonuclease/exonuclease/phosphatase family protein OS=Arabidopsis thaliana OX=3702 GN=FRA3 PE=1 SV=1	False
A0A1P8ARD2	-0.75	0.010384703	0.03080276	FTSH12	MEM	FTSH protease 12 OS=Arabidopsis thaliana OX=3702 GN=FTSH12 PE=1 SV=1	True
A0A1P8ARF1	0.0	0.421426141	0.52141486	pde194	SOL	Methionyl-tRNA formyltransferase OS=Arabidopsis thaliana OX=3702 GN=pde194 PE=1 SV=1	False
A0A1P8ARU9	-1.09	0.001843037	0.012339586	MBP2	MEM	Myrosinase-binding protein 2 OS=Arabidopsis thaliana OX=3702 GN=MBP2 PE=1 SV=1	True
A0A1P8ARX4	-0.56	0.016389999	0.039851455	XIB	MEM	Myosin XI B OS=Arabidopsis thaliana OX=3702 GN=XIB PE=1 SV=1	True
A0A1P8ARX7	0.41	0.017656506	0.041592374	PDE338	MEM	Nucleic acid-binding proteins superfamily OS=Arabidopsis thaliana OX=3702 GN=PDE338 PE=1 SV=1	True
A0A1P8AS28	-0.03	0.315736778	0.379317598	ECT4	MEM	Evolutionarily conserved C-terminal region 4 OS=Arabidopsis thaliana OX=3702 GN=ECT4 PE=1 SV=1	False
A0A1P8ASF1	0.51	0.09088515	0.135696303	EGM1	MEM	Receptor-like serine/threonine-protein kinase OS=Arabidopsis thaliana OX=3702 GN=EGM1 PE=1 SV=1	False
A0A1P8ASJ4	-0.37	0.027627145	0.056173538	At1g55980	MEM	FAD/NAD(P)-binding oxidoreductase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g55980 PE=4 SV=1	False
A0A1P8ASL0	-0.35	0.0695833	0.110423088	At1g72960	MEM	Protein ROOT HAIR DEFECTIVE 3 homolog OS=Arabidopsis thaliana OX=3702 GN=At1g72960 PE=1 SV=1	False
A0A1P8ASL1	-0.74	0.008406486	0.027683016	ICDH	MEM	Isocitrate dehydrogenase (NADP(+)) OS=Arabidopsis thaliana OX=3702 GN=ICDH PE=1 SV=1	True
A0A1P8ASQ8	-0.44	0.017291766	0.041018105	HKL1	MEM	Phosphotransferase OS=Arabidopsis thaliana OX=3702 GN=HKL1 PE=1 SV=1	True
A0A1P8ASR5	-0.52	2.59133e-05	0.003594215	At1g56220	MEM	Dormancy/auxin associated family protein OS=Arabidopsis thaliana OX=3702 GN=At1g56220 PE=1 SV=1	True
A0A1P8AST0	-0.54	0.056692023	0.093927433	KCS3	MEM	3-ketoacyl-CoA synthase OS=Arabidopsis thaliana OX=3702 GN=KCS3 PE=1 SV=1	False
A0A1P8ASY3	0.17	0.188039378	0.294217747	LPA19	SOL	Photosystem II 11 kDa protein-like protein OS=Arabidopsis thaliana OX=3702 GN=LPA19 PE=1 SV=1	False
A0A1P8AT01	-0.21	0.016314016	0.039723503	At1g11660	MEM	Heat shock protein 70 (Hsp 70) family protein OS=Arabidopsis thaliana OX=3702 GN=At1g11660 PE=1 SV=1	True
A0A1P8AT46	-0.49	0.002602353	0.03836922	WLIM1	SOL	GATA type zinc finger transcription factor family protein OS=Arabidopsis thaliana OX=3702 GN=WLIM1 PE=1 SV=1	True
A0A1P8AT97	-0.15	0.237425558	0.298686302	ILA	MEM	ILITYHIA OS=Arabidopsis thaliana OX=3702 GN=ILA PE=1 SV=1	False
A0A1P8ATA9	-0.26	0.178316241	0.283137866	At1g07990	SOL	SIT4 phosphatase-associated family protein OS=Arabidopsis thaliana OX=3702 GN=At1g07990 PE=1 SV=1	False
A0A1P8ATB0	-0.64	0.019947597	0.045015303	IAR1	MEM	ZIP metal ion transporter family OS=Arabidopsis thaliana OX=3702 GN=IAR1 PE=1 SV=1	True
A0A1P8ATG5	0.0	0.278723993	0.387894979	HMGB3	SOL	High mobility group B3 OS=Arabidopsis thaliana OX=3702 GN=HMGB3 PE=1 SV=1	False
A0A1P8ATL2	-0.22	0.018636775	0.04297557	CRB	MEM	Chloroplast RNA binding protein OS=Arabidopsis thaliana OX=3702 GN=CRB PE=1 SV=1	True
A0A1P8ATN7	0.48	0.059691311	0.146730444	At1g50380	SOL	Prolyl endopeptidase OS=Arabidopsis thaliana OX=3702 GN=At1g50380 PE=1 SV=1	False
A0A1P8ATW8	-0.54	0.025732224	0.095608077	At1g53120	SOL	RNA-binding S4 domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g53120 PE=1 SV=1	False
A0A1P8ATX5	-0.92	0.001203363	0.010216866	HIT1	MEM	Membrane trafficking VPS53 family protein OS=Arabidopsis thaliana OX=3702 GN=HIT1 PE=1 SV=1	True
A0A1P8ATX7	-0.47	0.018721382	0.043072163	At1g15290	MEM	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g15290 PE=1 SV=1	True
A0A1P8AU10	0.34	0.196821135	0.255170034	PDCB4	MEM	Plasmodesmata callose-binding protein 4 OS=Arabidopsis thaliana OX=3702 GN=PDCB4 PE=1 SV=1	False
A0A1P8AU99	1.65	0.004825934	0.020174272	RDH2	MEM	Rhodanese homologue 2 OS=Arabidopsis thaliana OX=3702 GN=RDH2 PE=1 SV=1	True
A0A1P8AUA0	0.08	0.696449716	0.741109265	B	MEM	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B OS=Arabidopsis thaliana OX=3702 GN=B ALPHA PE=1 SV=1	False
A0A1P8AUC4	0.37	0.014795457	0.037403205	AIG1	MEM	p-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=AIG1 PE=1 SV=1	True
A0A1P8AUD8	-0.56	0.121263658	0.171679338	UGT72B3	MEM	Glycosyltransferase OS=Arabidopsis thaliana OX=3702 GN=UGT72B3 PE=1 SV=1	False
A0A1P8AUM8	-0.65	0.08975975	0.134364909	IMD3	MEM	3-isopropylmalate dehydrogenase OS=Arabidopsis thaliana OX=3702 GN=IMD3 PE=1 SV=1	False
A0A1P8AUP4	-0.24	0.102826514	0.150293613	At1g27430	MEM	GYF domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g27430 PE=1 SV=1	False
A0A1P8AUR0	0.24	0.319535665	0.382611125	SEC5B	MEM	Exocyst complex component SEC5 OS=Arabidopsis thaliana OX=3702 GN=SEC5B PE=1 SV=1	False
A0A1P8AUR4	-0.38	0.004134309	0.018453475	At1g03370	MEM	C2 calcium/lipid-binding and GRAM domain containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g03370 PE=1 SV=1	True
A0A1P8AUU7	-1.74	1.03363e-05	0.002789082	TOM20-2	MEM	Translocase outer membrane 20-2 OS=Arabidopsis thaliana OX=3702 GN=TOM20-2 PE=1 SV=1	True
A0A1P8AUX7	0.93	0.039911426	0.072968105	CPN10	MEM	Chaperonin 10 OS=Arabidopsis thaliana OX=3702 GN=CPN10 PE=1 SV=1	False
A0A1P8AUZ9	-1.02	0.001359988	0.010629408	LINC2	MEM	Nuclear matrix constituent protein-like protein OS=Arabidopsis thaliana OX=3702 GN=LINC2 PE=1 SV=1	True
A0A1P8AV08	0.22	0.124758825	0.175685202	APA1	MEM	Aspartic proteinase A1 OS=Arabidopsis thaliana OX=3702 GN=APA1 PE=1 SV=1	False
A0A1P8AV73	-0.7	0.004215797	0.043876173	At1g52360	SOL	Coatomer subunit beta' OS=Arabidopsis thaliana OX=3702 GN=At1g52360 PE=1 SV=1	True
A0A1P8AVD8	0.0	0.902445574	0.925486208	At1g18270	SOL	Ketose-bisphosphate aldolase class-II family protein OS=Arabidopsis thaliana OX=3702 GN=At1g18270 PE=1 SV=1	False
A0A1P8AVE9	-1.0	1.08046e-05	0.002789082	At1g06720	MEM	p-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g06720 PE=1 SV=1	True
A0A1P8AVI9	-0.08	0.292075239	0.355409078	At1g69800	MEM	Cystathionine beta-synthase (CBS) protein OS=Arabidopsis thaliana OX=3702 GN=At1g69800 PE=1 SV=1	False
A0A1P8AVM2	0.53	0.009549625	0.061175226	HINT	SOL	HISTIDINE TRIAD NUCLEOTIDE-BINDING 2 OS=Arabidopsis thaliana OX=3702 GN=HINT 2 PE=1 SV=1	False
A0A1P8AVQ6	1.25	0.021736775	0.047536562	At1g51850	MEM	Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g51850 PE=1 SV=1	True
A0A1P8AW83	-0.23	0.209809138	0.269117505	SCL5	MEM	Scarecrow-like 5 OS=Arabidopsis thaliana OX=3702 GN=SCL5 PE=1 SV=1	False
A0A1P8AWA3	0.01	0.868643943	0.889216585	ATPI4K	MEM	Phosphatidylinositol 3-and 4-kinase family protein OS=Arabidopsis thaliana OX=3702 GN=ATPI4K ALPHA PE=1 SV=1	False
A0A1P8AWE7	-0.48	0.046647233	0.081437673	At1g71240	MEM	Chromosome-partitioning protein, putative (DUF639) OS=Arabidopsis thaliana OX=3702 GN=At1g71240 PE=1 SV=1	False
A0A1P8AWM1	-0.22	0.240663546	0.34886235	UKL3	SOL	Uridine kinase OS=Arabidopsis thaliana OX=3702 GN=UKL3 PE=1 SV=1	False
A0A1P8AWP1	-0.09	0.387716676	0.490988859	At1g73170	SOL	p-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g73170 PE=1 SV=1	False
A0A1P8AWP6	-0.3	0.029322776	0.101916532	At1g56000	SOL	FAD/NAD(P)-binding oxidoreductase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g56000 PE=1 SV=1	False
A0A1P8AWP9	0.14	0.20569846	0.312075389	At1g31500	SOL	DNAse I-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g31500 PE=1 SV=1	False
A0A1P8AWQ1	0.56	0.008367352	0.057018602	At1g62660	SOL	Glycosyl hydrolases family 32 protein OS=Arabidopsis thaliana OX=3702 GN=At1g62660 PE=1 SV=1	False
A0A1P8AWX3	-0.56	0.186923856	0.244970158	At1g33590	MEM	Leucine-rich repeat (LRR) family protein OS=Arabidopsis thaliana OX=3702 GN=At1g33590 PE=1 SV=1	False
A0A1P8AX55	0.15	0.318957759	0.38221463	PAG1	MEM	20S proteasome alpha subunit G1 OS=Arabidopsis thaliana OX=3702 GN=PAG1 PE=1 SV=1	False
A0A1P8AX61	-0.15	0.500263573	0.593748381	At2g01755	SOL	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g01755 PE=1 SV=1	False
A0A1P8AX98	-0.38	0.063101636	0.102226956	At2g26780	MEM	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g26780 PE=1 SV=1	False
