arm	g_bl_mol_m2_s	Ca_umol_mol	Cc	phi_percent	A_umol_m2_s	Vo	Vc
GC	0.540	100.0	75.52	53.10	2.403	9.792	8.649
FLT	0.291	100.0	73.86	53.65	2.221	9.813	8.477
BRIC	0.291	100.0	73.86	53.65	2.221	9.813	8.477
VENTED	0.291	400.0	216.92	28.27	15.555	8.299	21.055
