TAIR	log2fc	pvalue	fdr	significant
AT1G01010	0.09817189189459223	0.6694047076128782	0.8508733934998222	False
AT1G01020	0.28138656245202254	0.09877454075152732	0.33124717319316355	False
AT1G01030	0.0958671928283286	0.6849024914388857	0.8596549194140095	False
AT1G01040	0.11219164961384694	0.38866192216441253	0.6751954180522428	False
AT1G01050	-0.0665921571297786	0.522635730116062	0.7688484095385899	False
AT1G01060	-0.32648937548898427	0.2958127535337046	0.5934554940737143	False
AT1G01070	0.1451891370354761	0.5123647186151172	0.7617670554883167	False
AT1G01080	-0.11445202334845088	0.27691974137114517	0.5739086205446696	False
AT1G01090	-0.30761632567803276	0.014163155484531759	0.10359688862171697	False
AT1G01100	0.10332236158440934	0.42661720208292264	0.7030134458274847	False
AT1G01110	0.25210594636095207	0.5117933963260038	0.7612690412561596	False
AT1G01120	-0.33324835358972194	0.25251061724877777	0.5459574489072087	False
AT1G01140	-0.22171877796373077	0.15194217274715446	0.4209723997618294	False
AT1G01150	-0.2918075904828767	0.8442101549597935		False
AT1G01160	0.06577834042513216	0.6531666105851714	0.8421138668062205	False
AT1G01170	0.09027089760160768	0.6124734548807522	0.8225350422924362	False
AT1G01180	-0.056196615511915224	0.7853990256655118	0.909615016839627	False
AT1G01190	0.8952323979295062	0.10136876065736006	0.33722694090264815	False
AT1G01200	0.17383823417512714	0.8557495707440278		False
AT1G01210	0.004447215660879957	0.9729611869499972	0.9888211610366336	False
AT1G01220	0.15519006049032194	0.12846296328409895	0.3836651860693769	False
AT1G01225	0.25479804845238274	0.5243650974859837	0.7698363221846567	False
AT1G01230	-0.14391331485591552	0.2880044903636786	0.585307264305194	False
AT1G01240	0.3722698139172354	0.030317787285999813	0.16680342374006507	False
AT1G01250	-0.52792545705877	0.13322866884596368	0.39164566958560965	False
AT1G01260	0.18382171628067812	0.08532491395468632	0.30698965034990666	False
AT1G01290	0.06467363478153694	0.7300126309473073	0.8840943844743193	False
AT1G01300	-0.3904606643161479	0.012224648374877377	0.09472386922393958	False
AT1G01320	-0.24829949482965044	0.17417422412167616	0.4527944316559502	False
AT1G01340	0.16202757535553886	0.43236838647235687	0.7078347048668936	False
AT1G01350	0.16501366345126187	0.10538994671621245	0.34513823424687434	False
AT1G01355	1.2337295048086054	0.3681599724631247		False
AT1G01360	-0.19155984920529784	0.27739292166428753	0.5745571501781732	False
AT1G01370	0.3791194169821091	0.4455866623047695	0.7182791067146831	False
AT1G01380	-0.5964420187339973	0.45600623760020753		False
AT1G01390	-0.6760781569269761	0.07286594470176132	0.27994719311362576	False
AT1G01420	-0.6976206402603826	5.150412939922788e-05	0.0019748359139684104	True
AT1G01430	-0.38279197610874743	0.008762894558357784	0.07669517089685877	False
AT1G01440	0.43155259047674305	1.5729321021082826e-05	0.0007967322193894271	True
AT1G01448	0.2806232549974505	0.22580808549108244	0.5177671158181263	False
AT1G01470	-0.866342682654903	1.7562428033112594e-11	1.6161615320947658e-08	True
AT1G01480	0.7091294340562734	0.5987704699784652		False
AT1G01490	-0.09173024178666654	0.325702748434765	0.6216321874985621	False
AT1G01500	0.05613570436560443	0.7699695705795161	0.902730228344604	False
AT1G01510	0.1444831498124871	0.16722601702662654	0.4428727941674055	False
AT1G01520	-1.3485159249056626	0.001792400068136616	0.02596561567971522	True
AT1G01540	0.5568057417755731	2.1004810905729024e-06	0.00016433925941425646	True
AT1G01550	-0.1729808960346801	0.07037933774032484	0.2740440664581458	False
AT1G01560	0.4804695474814448	0.423105040208994	0.7001850440610863	False
AT1G01570	0.6006142913681373	0.04260258657469879	0.2046979078955878	False
AT1G01580	-0.5769823372386489	0.13178834685257995	0.38959812219955603	False
AT1G01600	1.3102822739185747	0.01690832954434632	0.11669766730160452	False
AT1G01610	-0.6591568019639013	4.327649346660348e-08	7.336124879316774e-06	True
AT1G01620	0.22383058146188559	0.2595110104848489	0.5543942380742544	False
AT1G01630	-0.36346024809951216	0.012075178435247528	0.09405595455911264	False
AT1G01640	0.23132216124596716	0.42881243389815527	0.7045999732235226	False
AT1G01650	-0.18323709716243491	0.15027784231333344	0.41898496852379163	False
AT1G01660	0.5802666111563684	0.5437296511222981		False
AT1G01670	0.3866598939767756	0.27660902882779903	0.5735482276928343	False
AT1G01690	-0.4357633804898654	0.13522487816964074	0.3944484182080464	False
AT1G01695	-0.8942522267804204	0.21385953644936218	0.5036972019358835	False
AT1G01700	0.25909649552350567	0.7386707908948997	0.8881004310244166	False
AT1G01710	0.0453957856365254	0.7203582029547998	0.878291589889072	False
AT1G01715	0.3062741586828475	0.32988756456359025	0.6255043690698298	False
AT1G01720	-0.3323649230871718	0.013181548789267514	0.0991858459252079	False
