scenario,scale,g_label,g_ratio,g_bl,Cc,Ci,Gamma_star,Vo_over_Vc,phi,A,Rp,Rp_over_A,limiting
leaf-earth,leaf,Earth,1.0,1.0,238.9709972614001,296.48135530080145,42.750549642857145,0.35778860307549504,0.2635083268964524,17.253107449866427,4.053059088383023,0.23491762861619467,Rubisco
leaf-mars,leaf,Mars,0.3781855249745158,0.847,237.1559265482989,294.2102926739251,42.75065142857143,0.3605277932606494,0.26499112700711996,17.11630985772406,4.0608300130403405,0.2372491528136138,Rubisco
leaf-moon,leaf,Moon,0.1651376146788991,0.719,235.0834876839412,291.6150595554678,42.750773571428574,0.36370715776435136,0.26670473619908946,16.959471638654772,4.069739668825796,0.23996854121032088,Rubisco
leaf-ug,leaf,micro-g,0.0,0.494,229.0834447524054,284.0885120246071,42.75103821428572,0.3732355104096786,0.2717927897876242,16.5015201901568,4.09575036361889,0.2482044270116408,Rubisco
rosette-earth,rosette,Earth,1.0,0.54,230.68114920414638,286.0945912457705,42.75097714285714,0.37064994075457564,0.270419112666013,16.624032628995657,4.088792393786362,0.24595671128885335,Rubisco
rosette-ug,rosette,micro-g,0.0,0.291,216.92115375065254,268.7712211169437,42.75175071428571,0.394168572083368,0.2827266228604941,15.55502022605677,4.14951878989579,0.2667639597758146,Rubisco
canopy-earth,canopy,Earth,1.0,0.148,193.65705665846843,239.2372889537098,42.75109928571429,0.44151346739829556,0.3062846635731803,13.674069675201695,4.256263341370262,0.311265295736288,Rubisco
canopy-ug,canopy,micro-g,0.0,0.109,180.2948716588868,222.1251928403613,42.75154714285714,0.4742403014517457,0.32168453201607744,12.549096427443766,4.32015060165082,0.3442598936607923,Rubisco
