#geneID	FLT_vs_GC
AT1G01010	0.098172
AT1G01020	0.281387
AT1G01030	0.095867
AT1G01040	0.112192
AT1G01050	-0.066592
AT1G01060	-0.326489
AT1G01070	0.145189
AT1G01080	-0.114452
AT1G01090	-0.307616
AT1G01100	0.103322
AT1G01110	0.252106
AT1G01120	-0.333248
AT1G01140	-0.221719
AT1G01150	-0.291808
AT1G01160	0.065778
AT1G01170	0.090271
AT1G01180	-0.056197
AT1G01190	0.895232
AT1G01200	0.173838
AT1G01210	0.004447
AT1G01220	0.155190
AT1G01225	0.254798
AT1G01230	-0.143913
AT1G01240	0.372270
AT1G01250	-0.527925
AT1G01260	0.183822
AT1G01290	0.064674
AT1G01300	-0.390461
AT1G01320	-0.248299
AT1G01340	0.162028
AT1G01350	0.165014
AT1G01355	1.233730
AT1G01360	-0.191560
AT1G01370	0.379119
AT1G01380	-0.596442
AT1G01390	-0.676078
AT1G01420	-0.697621
AT1G01430	-0.382792
AT1G01440	0.431553
AT1G01448	0.280623
AT1G01470	-0.866343
AT1G01480	0.709129
AT1G01490	-0.091730
AT1G01500	0.056136
AT1G01510	0.144483
AT1G01520	-1.348516
AT1G01540	0.556806
AT1G01550	-0.172981
AT1G01560	0.480470
AT1G01570	0.600614
AT1G01580	-0.576982
AT1G01600	1.310282
AT1G01610	-0.659157
AT1G01620	0.223831
AT1G01630	-0.363460
AT1G01640	0.231322
AT1G01650	-0.183237
AT1G01660	0.580267
AT1G01670	0.386660
AT1G01690	-0.435763
AT1G01695	-0.894252
AT1G01700	0.259096
AT1G01710	0.045396
AT1G01715	0.306274
AT1G01720	-0.332365
AT1G01725	-0.041295
AT1G01730	-0.155609
AT1G01740	0.192921
AT1G01750	2.699693
AT1G01760	0.295732
AT1G01770	0.527274
AT1G01780	0.566719
AT1G01790	-0.114378
AT1G01800	0.010480
AT1G01810	0.280005
AT1G01820	-0.072308
AT1G01830	-1.034912
AT1G01840	0.298017
AT1G01860	-0.171712
AT1G01880	0.090905
AT1G01900	0.112809
AT1G01910	0.043841
AT1G01920	0.019353
AT1G01930	0.255396
AT1G01940	0.219913
AT1G01950	0.097113
AT1G01960	0.054466
AT1G01970	-0.137977
AT1G01980	1.675747
AT1G01990	-0.145136
AT1G02000	-0.146046
AT1G02010	-0.359373
AT1G02020	-0.050360
AT1G02030	0.962372
AT1G02050	0.319997
AT1G02060	0.161299
AT1G02065	1.041622
AT1G02070	-0.559210
AT1G02080	-0.029694
AT1G02090	0.030491
AT1G02100	0.124661
AT1G02110	-0.155005
AT1G02120	-0.163263
AT1G02130	-0.104464
AT1G02140	-0.011672
AT1G02145	-0.287364
AT1G02150	0.054409
AT1G02160	-0.195719
AT1G02170	0.110839
AT1G02180	-0.253548
AT1G02190	0.772306
AT1G02205	-1.114642
AT1G02220	0.326907
AT1G02230	-1.696069
AT1G02260	0.009063
AT1G02270	-0.220318
AT1G02280	0.124410
AT1G02290	0.051576
AT1G02300	0.550946
AT1G02305	-0.084384
AT1G02330	-0.105236
AT1G02335	1.333307
AT1G02340	-0.473435
AT1G02350	-0.440451
AT1G02360	-2.645610
AT1G02370	-0.366754
AT1G02380	1.741989
AT1G02390	-2.278047
AT1G02400	0.224993
AT1G02405	-1.420576
AT1G02410	-0.027046
AT1G02420	0.148682
AT1G02460	-0.990130
AT1G02470	0.298633
AT1G02475	-0.265659
AT1G02500	-0.054621
AT1G02520	0.550717
AT1G02560	-0.247829
AT1G02580	-1.868502
AT1G02610	0.687949
AT1G02620	1.427392
AT1G02630	-0.038937
AT1G02640	1.704409
AT1G02650	1.110776
AT1G02660	1.191015
AT1G02670	0.171282
AT1G02680	0.370585
AT1G02690	0.258771
AT1G02700	-0.498021
AT1G02705	0.540357
AT1G02720	-0.105934
AT1G02730	0.498575
AT1G02740	0.243400
AT1G02750	0.343186
AT1G02770	-0.091878
AT1G02780	-0.076146
AT1G02800	-0.151557
AT1G02810	1.407941
AT1G02816	0.571363
AT1G02820	-0.989831
AT1G02840	0.076449
AT1G02850	-0.003233
AT1G02860	0.515908
AT1G02870	0.002714
AT1G02880	-0.028742
AT1G02890	-0.074291
AT1G02900	-0.030916
AT1G02910	-0.052121
AT1G02920	1.611554
AT1G02930	1.351446
AT1G02940	0.509419
AT1G02950	0.727160
AT1G02960	0.088066
AT1G02970	0.374064
AT1G02990	-0.120008
AT1G03000	0.258250
AT1G03010	1.112397
AT1G03020	-0.969377
AT1G03030	0.251983
AT1G03040	0.127187
AT1G03055	-0.419952
AT1G03060	-0.185977
AT1G03070	2.920594
AT1G03080	0.065786
AT1G03090	0.874106
AT1G03100	0.286289
AT1G03106	1.495849
AT1G03110	-0.035658
AT1G03120	-0.131601
AT1G03130	-0.326657
AT1G03140	0.248658
AT1G03150	0.074516
AT1G03160	0.029041
AT1G03170	0.277572
AT1G03180	0.390573
AT1G03190	-0.032219
AT1G03200	0.816470
AT1G03210	-0.318577
AT1G03220	0.075757
AT1G03230	-0.139567
AT1G03250	-0.376302
AT1G03260	0.227230
AT1G03270	0.046061
AT1G03280	-0.330633
AT1G03290	-0.053858
AT1G03300	1.221712
AT1G03310	-0.432697
AT1G03320	3.013520
AT1G03330	-0.036613
AT1G03340	-0.191292
AT1G03350	-0.146697
AT1G03360	0.328282
AT1G03365	0.080224
AT1G03370	0.179746
AT1G03380	-0.193962
AT1G03390	1.706364
AT1G03400	0.145870
AT1G03410	-0.144571
AT1G03430	0.210365
AT1G03440	0.517069
AT1G03445	-1.053195
AT1G03457	1.006629
AT1G03470	0.715702
AT1G03475	0.101428
AT1G03510	0.314463
AT1G03520	0.360152
AT1G03530	-0.150102
AT1G03540	0.715042
AT1G03545	-0.103334
AT1G03550	-0.010209
AT1G03560	0.730122
AT1G03590	0.219259
AT1G03600	-0.158583
AT1G03610	0.639306
AT1G03620	1.022639
AT1G03630	0.064851
AT1G03650	0.549084
AT1G03660	-0.271902
AT1G03670	0.572841
AT1G03680	-0.192538
AT1G03687	0.062222
AT1G03710	0.622909
AT1G03730	0.507978
AT1G03740	0.276121
AT1G03750	0.366014
AT1G03760	0.030636
AT1G03770	0.230907
AT1G03780	0.541096
AT1G03790	0.390203
AT1G03800	0.893427
AT1G03820	-0.177297
AT1G03830	-0.004522
AT1G03840	1.912689
AT1G03850	0.937820
AT1G03860	0.164645
AT1G03870	1.197374
AT1G03900	-0.032641
AT1G03905	0.256511
AT1G03910	0.057343
AT1G03920	0.476369
AT1G03930	-0.280770
AT1G03950	-0.728901
AT1G03960	0.040531
AT1G03970	0.263932
AT1G03980	0.596122
AT1G03990	-0.550215
AT1G04000	-0.194531
AT1G04010	0.254961
AT1G04020	-0.014879
AT1G04030	0.144227
AT1G04040	-0.757315
AT1G04047	0.154043
AT1G04050	-0.087046
AT1G04053	0.782896
AT1G04067	1.687667
AT1G04070	0.236703
AT1G04077	1.110640
AT1G04080	0.048562
AT1G04090	-0.024521
AT1G04100	-0.408448
AT1G04110	0.360619
AT1G04120	-0.106351
AT1G04123	-0.782558
AT1G04130	0.312911
AT1G04133	1.332402
AT1G04140	-0.087519
AT1G04150	-0.096672
AT1G04160	0.048610
AT1G04163	1.101723
AT1G04170	-0.070651
AT1G04183	0.101114
AT1G04190	-0.104944
AT1G04200	0.093619
AT1G04210	0.113894
AT1G04220	-2.098648
AT1G04230	0.145126
AT1G04240	0.292992
AT1G04247	-0.156632
AT1G04250	-0.747194
AT1G04260	0.091511
AT1G04270	-0.005779
AT1G04280	0.134030
AT1G04290	-0.339906
AT1G04295	-0.210174
AT1G04300	0.093263
AT1G04310	0.237720
AT1G04330	-0.231878
AT1G04340	0.116294
AT1G04350	-0.318875
AT1G04357	-1.150304
AT1G04360	-0.081298
AT1G04390	0.033469
AT1G04393	0.930131
AT1G04400	0.197077
AT1G04410	0.048190
AT1G04420	0.032378
AT1G04425	-0.236368
AT1G04430	-0.039263
AT1G04433	-0.259093
AT1G04440	0.109380
AT1G04445	-0.446138
AT1G04463	0.194260
AT1G04467	1.256371
AT1G04470	0.598343
AT1G04480	0.043614
AT1G04490	1.481144
AT1G04500	-0.278358
AT1G04510	0.099281
AT1G04513	0.599641
AT1G04520	-0.193165
AT1G04530	-0.421068
AT1G04537	0.252949
AT1G04550	-0.251675
AT1G04555	-0.246872
AT1G04570	-0.105203
AT1G04580	0.273201
AT1G04590	-0.106526
AT1G04600	-1.131255
AT1G04610	-0.329389
AT1G04620	-0.188755
AT1G04630	-0.215309
AT1G04635	0.366112
AT1G04640	0.156903
AT1G04643	1.225284
AT1G04647	0.209275
AT1G04650	-0.770150
AT1G04680	-0.135226
AT1G04690	-0.148830
AT1G04700	-0.247733
AT1G04707	1.486282
AT1G04710	-0.198339
AT1G04730	-0.096140
AT1G04733	0.805222
AT1G04743	1.434084
AT1G04750	0.080881
AT1G04760	0.420517
AT1G04767	3.848833
AT1G04770	0.071888
AT1G04778	0.082760
AT1G04780	0.150597
AT1G04790	0.135384
AT1G04800	0.063871
AT1G04810	0.107568
AT1G04820	-0.093469
AT1G04830	-0.034788
AT1G04833	1.043776
AT1G04837	0.070396
AT1G04840	0.343328
AT1G04850	0.009707
AT1G04860	0.139748
AT1G04870	0.084359
AT1G04880	-0.038825
AT1G04887	2.418487
AT1G04897	2.280753
AT1G04900	0.020125
AT1G04910	-0.053917
AT1G04917	0.358949
AT1G04920	0.312191
AT1G04930	0.062920
AT1G04933	0.377799
AT1G04940	0.174300
AT1G04945	-0.103810
AT1G04950	0.146419
AT1G04960	0.240922
AT1G04970	-0.155649
AT1G04973	0.452797
AT1G04977	2.314113
AT1G04980	-0.512169
AT1G04985	0.057477
AT1G04990	-0.418717
AT1G05000	-0.469570
AT1G05010	-0.386565
AT1G05020	0.814823
AT1G05030	-0.165568
AT1G05043	1.452201
AT1G05055	-0.011797
AT1G05057	0.610174
AT1G05060	-0.343834
AT1G05065	-0.291035
AT1G05070	-0.045016
AT1G05087	0.370526
AT1G05090	0.289789
AT1G05100	0.766402
AT1G05120	-0.176437
AT1G05140	-0.191798
AT1G05147	0.797139
AT1G05150	0.157925
AT1G05160	0.292541
AT1G05163	0.095240
AT1G05170	-0.767898
AT1G05180	0.191744
AT1G05183	1.145761
AT1G05187	2.654473
AT1G05190	-0.076965
AT1G05200	-0.287845
AT1G05203	1.612554
AT1G05205	-0.005783
AT1G05210	-0.310826
AT1G05220	1.033038
AT1G05230	-0.069276
AT1G05250	-1.962267
AT1G05260	-0.282447
AT1G05270	0.230252
AT1G05273	0.470137
AT1G05277	-0.070555
AT1G05300	-0.087976
AT1G05310	-0.048420
AT1G05320	-0.369205
AT1G05330	2.078981
AT1G05333	-1.467372
AT1G05340	-0.031671
AT1G05347	1.692329
AT1G05350	-0.095811
AT1G05360	-0.064801
AT1G05370	0.066609
AT1G05380	0.104127
AT1G05385	-0.097246
AT1G05400	0.812766
AT1G05410	-0.014296
AT1G05420	2.104093
AT1G05430	-0.010195
AT1G05440	0.607738
AT1G05460	-0.001804
AT1G05470	0.102282
AT1G05490	-0.539075
AT1G05500	-0.165060
AT1G05520	-0.042444
AT1G05523	0.168182
AT1G05530	2.320349
AT1G05540	-0.051452
AT1G05550	-1.148450
AT1G05557	-0.003357
AT1G05560	-0.545721
AT1G05562	-0.305629
AT1G05570	0.159159
AT1G05575	1.102759
AT1G05590	-0.089277
AT1G05600	0.216796
AT1G05610	0.346854
AT1G05620	0.135766
AT1G05630	0.437207
AT1G05640	0.448777
AT1G05670	0.212955
AT1G05675	0.085191
AT1G05680	-0.078361
AT1G05690	-0.587708
AT1G05700	0.252043
AT1G05710	0.001124
AT1G05720	-0.225135
AT1G05730	-1.018128
AT1G05750	0.397158
AT1G05753	-1.004638
AT1G05760	1.062413
AT1G05767	0.124287
AT1G05770	-0.458045
AT1G05780	0.100469
AT1G05783	-0.589405
AT1G05785	-0.027315
AT1G05790	0.282081
AT1G05805	0.492366
AT1G05810	0.404634
AT1G05820	0.099119
