#proteinID	FLT_vs_GC
F4HRT5	-0.410000
F4HS17	-1.140000
F4HS63	-0.190000
F4HS76	0.730000
F4HST9	-1.430000
F4HSX1	0.050000
F4HSX9	-0.640000
F4HSY9	0.000000
F4HTA0	2.340000
F4HTA1	-0.710000
F4HTM3	-0.840000
F4HTN8	0.300000
F4HTT6	-0.160000
F4HUG9	0.300000
F4HUK6	-0.300000
F4HUX0	0.740000
F4HV67	-0.540000
F4HV96	0.570000
F4HVV7	0.370000
F4HVW5	-0.700000
F4HVZ5	-0.480000
F4HW26	0.190000
F4HWB0	0.250000
F4HWC3	0.350000
F4HWL4	-0.080000
F4HWQ5	0.250000
F4HWQ8	0.190000
F4HWR0	1.670000
F4HWS5	-0.080000
F4HWU0	-0.910000
F4HWZ6	3.150000
F4HX50	-0.200000
F4HXD2	0.090000
F4HXV6	-0.830000
F4HXY8	0.420000
F4HXZ1	-0.210000
F4HYC0	-0.280000
F4HYF3	-0.160000
F4HYQ1	0.120000
F4HZB5	-0.370000
F4HZE0	0.530000
F4HZG9	-0.040000
F4HZI8	-1.060000
F4HZS8	-0.710000
F4I032	0.120000
F4I061	-0.440000
F4I082	-0.180000
F4I0K2	1.170000
F4I0N7	1.160000
F4I0P8	1.610000
F4I0Z0	-0.320000
F4I114	0.210000
F4I116	0.470000
F4I1L9	-0.590000
F4I2A1	0.610000
F4I2S4	-0.540000
F4I2Z0	-0.680000
F4I313	-0.830000
F4I353	-0.160000
F4I354	0.260000
F4I366	-0.570000
F4I378	-1.240000
F4I3B3	-0.430000
F4I3C3	-0.520000
F4I3J0	-0.090000
F4I3M3	0.460000
F4I3N6	-0.600000
F4I3P9	-0.480000
F4I3R0	0.280000
F4I3X3	-0.650000
F4I420	0.300000
F4I450	0.040000
F4I4X6	-0.360000
F4I576	0.200000
F4I596	-0.350000
F4I5J7	0.070000
F4I5P3	-0.430000
F4I6B2	0.070000
F4I6B4	-0.130000
F4I6G9	-0.740000
F4I6V2	-0.200000
F4I7B6	-0.160000
F4I7I0	0.120000
F4I7M5	0.190000
F4I7V2	0.560000
F4I7X1	-0.430000
F4I891	-1.060000
F4I8B9	-0.400000
F4I8Q1	-0.200000
F4I907	0.470000
F4I983	0.870000
F4I9A1	-0.810000
F4I9J7	0.690000
F4I9P8	-0.660000
F4IA20	0.150000
F4IA30	-0.470000
F4IA34	-0.710000
F4IA48	0.570000
F4IAF6	-0.450000
F4IAG1	-0.430000
F4IAH8	-0.370000
F4IAP5	0.220000
F4IAX0	-2.390000
F4IB63	-0.320000
F4IB81	-0.480000
F4IBH5	0.060000
F4IBL0	-0.270000
F4IBS8	-0.970000
F4IBT7	-0.240000
F4IBX4	-1.640000
F4IC59	0.310000
F4ICC6	-1.080000
F4ICJ5	-0.520000
F4ICK8	-0.300000
F4ICX9	-1.480000
F4IDB3	-0.260000
F4IDE8	-0.140000
F4IDJ0	-1.030000
F4IDS7	-0.080000
F4IE14	0.180000
F4IEC7	-0.180000
F4IEK8	-0.420000
F4IF15	0.220000
F4IFA9	0.610000
F4IFC5	-0.820000
F4IFF0	-0.250000
F4IFG2	-0.020000
F4IFM6	-0.050000
F4IFM7	-0.110000
F4IFQ0	-0.340000
F4IFZ9	0.050000
F4IG73	-0.510000
F4IGR4	1.280000
F4IH74	-0.050000
F4IH88	-0.350000
F4IHJ8	0.640000
F4IHU8	-0.840000
F4IHW4	-0.620000
F4IHY7	1.160000
F4II29	-0.530000
F4IIM1	-0.430000
F4IIN7	0.270000
F4IIQ3	0.420000
F4IIU4	-0.970000
F4IJ44	-0.540000
F4IJE1	-1.020000
F4IJM1	-1.090000
F4IJW3	-0.080000
F4IKK4	0.340000
F4IKM1	0.540000
F4IL68	-0.380000
F4ILE0	-0.470000
F4ILE5	-0.570000
F4ILG6	-0.290000
F4IM05	-0.600000
F4IMR0	0.550000
F4IN36	-0.100000
F4INU4	-0.540000
F4IP13	-0.130000
F4IP22	0.180000
F4IP53	0.480000
F4IPA6	-0.430000
F4IPJ1	-1.350000
F4IPW5	-0.970000
F4IPY2	-0.430000
F4IQ05	0.580000
F4IR82	-0.030000
F4IRM4	-0.140000
F4IRR2	-0.250000
F4IRX7	0.630000
F4IS20	-0.400000
F4ISU2	-0.130000
F4ISY3	-0.030000
F4IT21	0.290000
F4ITB8	-0.470000
F4IU09	-0.440000
F4IUD7	0.060000
F4IUJ0	2.040000
F4IUX6	-0.030000
F4IV16	-0.080000
F4IV18	-0.050000
F4IVL6	0.130000
F4IVN6	-0.140000
F4IVP3	0.750000
F4IVR2	0.480000
F4IVY6	-0.460000
F4IW05	0.740000
F4IW10	-0.390000
F4IW47	-0.810000
F4IWG2	-0.870000
F4IWK4	-0.500000
F4IWV2	0.470000
F4IX01	-0.260000
F4IX23	-0.480000
F4IXW2	-0.810000
F4IY75	0.770000
F4IYF8	-0.180000
F4IYH1	0.480000
F4IYH7	-0.220000
F4IYK3	0.230000
F4IYK6	-0.230000
F4IYM4	-1.040000
F4IYR7	-0.070000
F4IZ56	-0.210000
F4IZV9	-0.040000
F4J034	0.270000
F4J043	-0.760000
F4J0J9	0.010000
F4J0P2	-0.860000
F4J0U9	-0.440000
F4J110	-0.300000
F4J117	-0.160000
F4J152	-0.960000
F4J153	-0.660000
F4J1U2	-0.150000
F4J1V2	-0.300000
F4J1Y2	-0.690000
F4J2K2	-0.130000
F4J2T9	-0.020000
F4J2Z7	1.050000
F4J355	-0.320000
F4J381	-0.420000
F4J3E6	-0.220000
F4J3M2	-0.450000
F4J3N2	-0.570000
F4J3Q1	-0.650000
F4J447	0.550000
F4J464	-2.500000
F4J4T3	0.070000
F4J4V4	0.010000
F4J504	-0.200000
F4J573	1.980000
F4J5A7	-1.700000
F4J5I0	-0.270000
F4J5M5	0.650000
F4J5M9	0.150000
F4J5R9	-0.320000
F4J5T2	-0.100000
F4J5Y7	-0.670000
F4J6A1	0.740000
F4J6A8	-0.350000
F4J6F6	-0.180000
F4J6Z1	-0.320000
F4J738	-0.370000
F4J741	0.110000
F4J7C4	-0.190000
F4J7I2	-0.340000
F4J7Z8	-0.030000
F4J8D3	-0.260000
F4J8G7	-1.060000
F4J8J7	0.320000
F4J8K6	-0.620000
F4J8L3	0.610000
F4J8M2	-0.190000
F4J912	0.500000
F4J9A0	-0.020000
F4J9G2	-0.340000
F4J9K9	0.480000
F4J9U2	-0.470000
F4J9W8	-0.420000
F4J9Y8	0.050000
F4JA39	0.160000
F4JAB7	0.080000
F4JAE0	-0.220000
F4JAF3	0.440000
F4JAF4	-1.650000
F4JAG3	-0.740000
F4JAU3	-0.160000
F4JBC5	-0.250000
F4JBH5	-0.010000
F4JBP8	0.060000
F4JBV0	-0.170000
F4JBY2	0.380000
F4JC97	-0.550000
F4JCC9	-1.240000
F4JCF9	-0.020000
F4JCI4	0.360000
F4JCM5	-0.740000
F4JCU3	-0.070000
F4JCX1	-0.400000
F4JDC3	0.480000
F4JDY4	-0.450000
F4JE40	-0.150000
F4JEJ0	0.810000
F4JEJ3	-0.380000
F4JEL5	0.370000
F4JET6	-0.810000
F4JF21	-0.330000
F4JFN3	-0.690000
F4JFN7	-0.010000
F4JFR1	-0.350000
F4JG03	0.910000
F4JGD2	1.840000
F4JGL5	-0.210000
F4JGR5	-0.250000
F4JGY0	0.590000
F4JH69	-1.020000
F4JHH5	0.150000
F4JHJ0	0.290000
F4JHW1	0.270000
F4JI11	-0.170000
F4JI63	-0.350000
F4JIE1	0.140000
F4JIN3	-0.580000
F4JIW8	-0.350000
F4JJL6	0.710000
F4JJP1	-1.640000
F4JJT9	-0.160000
F4JJY7	0.100000
F4JK17	0.260000
F4JKH6	-0.570000
F4JKM2	0.410000
F4JKW0	-0.780000
F4JKZ9	-0.210000
F4JL11	0.770000
F4JL28	-0.260000
F4JLJ2	0.220000
F4JLK2	-1.240000
F4JLM5	-0.280000
F4JLP5	-0.090000
F4JLQ2	-0.490000
F4JLV4	2.360000
F4JLV7	-0.570000
F4JLY4	-0.960000
F4JM19	-0.680000
F4JM22	-1.190000
F4JM86	0.310000
F4JML5	0.490000
F4JN13	0.310000
F4JN38	0.280000
F4JNE1	-0.580000
F4JNE2	-0.450000
F4JPJ7	-0.540000
F4JPR7	-0.450000
F4JPZ7	-0.250000
F4JQ90	-0.280000
F4JQ95	-0.020000
F4JQE2	0.530000
F4JQG6	1.700000
F4JQH3	0.270000
F4JQJ7	0.860000
F4JQZ0	-0.460000
F4JR68	-0.330000
F4JRE0	-0.870000
F4JRE7	-0.530000
F4JRN8	0.270000
F4JRW3	0.030000
F4JRY2	0.030000
F4JRY9	-0.410000
F4JSG6	-0.210000
F4JSM3	-0.580000
F4JSY9	-0.330000
F4JT38	1.040000
F4JTE7	1.970000
F4JTF2	-0.280000
F4JTI1	0.200000
F4JTK8	-0.330000
F4JTN1	0.150000
F4JTP5	-0.370000
F4JUM1	-0.840000
F4JUX3	-0.260000
F4JV77	-0.370000
F4JV80	-0.610000
F4JVN6	0.280000
F4JVV4	-0.340000
F4JVX1	0.070000
F4JVY8	0.390000
F4JW69	-0.230000
F4JWF6	-0.120000
F4JWN4	0.100000
F4JWV5	0.420000
F4JXM5	-0.410000
F4JXM9	-0.090000
F4JXV9	-0.440000
F4JXW2	0.170000
F4JXW9	0.110000
F4JXY5	-0.710000
F4JY11	0.590000
F4JY24	-0.870000
F4JY76	-0.290000
F4JYB8	-0.890000
F4JYL8	-0.880000
F4JYQ8	-0.540000
F4JYX9	-0.620000
F4JZ17	1.250000
F4JZG9	-1.030000
F4JZM1	0.370000
F4JZX8	-0.290000
F4JZY1	-0.200000
F4K000	0.320000
F4K015	0.260000
F4K0E8	-0.390000
F4K0K7	2.050000
F4K0M7	-0.080000
F4K0R0	-0.170000
F4K0T7	-0.810000
F4K116	0.060000
F4K124	-0.550000
F4K1G7	-0.360000
F4K1P8	-0.410000
F4K1Z0	0.290000
F4K203	-0.100000
F4K250	-0.470000
F4K2A1	-0.150000
F4K2E9	-0.900000
F4K2P2	-0.020000
F4K2Y3	0.980000
F4K329	-0.300000
F4K3A9	-0.060000
F4K3U8	-0.500000
F4K3Y1	-0.830000
F4K410	-0.780000
F4K452	-0.560000
F4K470	0.210000
F4K487	0.240000
F4K4D5	0.100000
F4K4E3	0.260000
F4K4Y5	-0.770000
F4K5B9	-0.070000
F4K5I3	0.310000
F4K5J1	-0.150000
F4K5K6	-0.570000
F4K5T6	0.470000
F4K658	-0.430000
F4K6M8	-0.230000
F4K6X6	-0.860000
F4K6Y8	0.000000
F4K6Z4	-0.560000
F4K703	-0.580000
F4K7C5	-0.280000
F4K7E0	0.870000
F4K7F4	0.240000
F4K7T6	-0.380000
F4K875	-0.700000
F4K9G7	1.800000
F4K9Y6	-0.490000
F4KA67	-0.470000
F4KAG0	-0.050000
F4KAS6	0.240000
F4KB73	-0.430000
F4KBF3	0.350000
F4KBP3	-1.020000
F4KBV0	-0.360000
F4KC57	-0.240000
F4KCL2	-0.170000
F4KCQ9	-0.330000
F4KCR8	-0.800000
F4KDI1	-0.340000
F4KDI6	-0.480000
F4KDK1	0.400000
F4KDP8	-0.820000
F4KE63	-0.500000
F4KEU1	-0.170000
F4KEV7	0.000000
F4KF14	-0.870000
F4KFD7	-0.070000
F4KFJ2	0.310000
F4KFT7	-0.250000
F4KFV6	-0.380000
F4KG14	-0.700000
F4KG52	0.510000
F4KG64	-0.970000
F4KG91	-0.350000
F4KGP6	0.540000
F4KGV2	-0.220000
F4KHA2	-0.440000
F4KHD5	0.590000
F4KHD8	-0.890000
F4KHF4	0.560000
F4KHG6	-0.260000
F4KHJ7	-0.020000
F4KHS2	0.540000
F4KHU8	-0.210000
F4KIB2	-0.750000
F4KIH8	-0.670000
F4KII6	-1.370000
F4KIJ2	-0.450000
O03042	-0.650000
O03983	0.390000
O03986	-0.410000
O04005	3.350000
O04023	-0.110000
O04086	0.230000
O04130	-0.750000
O04147	-0.220000
O04151	-0.500000
O04153	-0.630000
O04157	0.710000
O04196	-0.610000
O04200	-0.460000
O04202	-0.360000
O04209	0.380000
O04265	-0.630000
O04308	-0.290000
O04309	0.420000
O04310	1.370000
O04311	0.770000
O04313	1.060000
O04314	1.570000
O04316	0.790000
O04318	-2.330000
O04331	-0.620000
O04350	0.550000
O04373	-0.300000
O04379	-0.140000
O04420	0.160000
O04450	0.410000
O04482	1.850000
O04486	1.970000
O04487	0.680000
O04496	0.090000
O04499	0.040000
O04567	-0.390000
O04603	0.630000
O04616	-1.310000
O04619	-0.650000
O04630	0.380000
O04658	-0.250000
O04663	-0.160000
O04904	0.190000
O04905	-0.180000
O04922	0.370000
O04928	-0.790000
O04983	0.390000
O22100	0.730000
O22126	1.080000
O22149	-0.280000
O22160	0.740000
O22173	0.610000
O22203	-0.480000
O22218	0.260000
O22229	-0.080000
O22263	-0.050000
O22265	0.760000
O22287	0.160000
O22315	-0.440000
O22446	-1.050000
O22467	-0.320000
O22469	-0.060000
O22476	0.170000
O22527	-1.490000
O22607	-0.360000
O22609	-0.480000
O22682	-0.050000
O22683	-0.190000
O22704	-0.910000
O22715	-0.420000
O22764	-0.860000
O22765	-0.160000
O22769	-0.310000
O22773	0.280000
O22775	-0.930000
O22784	-0.200000
O22785	-0.380000
O22791	-0.500000
O22793	-0.710000
O22795	-1.090000
O22797	-0.200000
O22808	0.230000
O22809	0.330000
O22810	-0.390000
O22822	0.700000
O22826	-0.020000
O22827	-0.500000
O22832	-0.190000
O22841	2.630000
O22842	0.690000
O22850	-0.650000
O22854	-0.600000
O22860	0.670000
O22881	-1.260000
O22886	-0.190000
O22898	-0.180000
O22899	-0.840000
O22914	-0.770000
O22940	1.780000
O22941	-0.260000
O22957	-0.410000
O22993	-0.860000
O23006	1.070000
O23016	0.250000
O23034	0.510000
O23044	1.420000
O23049	0.460000
O23052	0.200000
O23087	0.320000
O23095	-0.060000
O23138	0.190000
O23140	-0.580000
O23144	-0.070000
O23157	0.670000
O23179	1.860000
O23193	0.410000
O23207	1.450000
O23212	-0.650000
O23237	0.360000
O23240	-0.500000
O23247	-0.200000
O23252	-0.190000
O23254	0.560000
O23255	0.470000
O23264	1.080000
O23290	0.820000
O23310	-0.210000
O23342	-0.340000
O23344	0.150000
O23365	-0.310000
O23392	0.400000
O23401	-0.130000
O23403	-0.090000
O23404	0.820000
O23406	0.720000
O23429	-0.350000
O23461	-0.470000
O23463	-0.550000
O23492	0.080000
O23515	-0.600000
O23523	-0.500000
O23553	-0.660000
O23569	0.090000
O23593	-0.230000
O23614	-0.040000
O23617	-0.640000
