#proteinID	FLT_vs_GC
A0A178U9N5	-0.360000
A0A178UA07	-0.140000
A0A178UFH0	2.010000
A0A178UML4	-0.300000
A0A178US29	-0.840000
A0A178VC85	0.570000
A0A178VEL3	-0.550000
A0A178VMD8	-0.330000
A0A178W0D3	0.490000
A0A178W0K0	-0.600000
A0A1I9LL70	0.050000
A0A1I9LLC0	0.680000
A0A1I9LLN6	0.130000
A0A1I9LM49	-0.230000
A0A1I9LM53	0.210000
A0A1I9LM56	0.210000
A0A1I9LM90	-0.260000
A0A1I9LMB4	-0.180000
A0A1I9LMI8	0.510000
A0A1I9LMK8	0.110000
A0A1I9LMQ7	0.010000
A0A1I9LMR3	-1.220000
A0A1I9LMU3	-0.410000
A0A1I9LMY7	0.150000
A0A1I9LN83	-0.130000
A0A1I9LNC0	0.160000
A0A1I9LNQ7	0.050000
A0A1I9LNS4	-0.190000
A0A1I9LNT2	-0.470000
A0A1I9LNZ1	0.970000
A0A1I9LP02	0.520000
A0A1I9LP28	-0.690000
A0A1I9LPC7	0.440000
A0A1I9LPJ2	0.650000
A0A1I9LPV5	1.170000
A0A1I9LPZ1	0.310000
A0A1I9LPZ9	-0.290000
A0A1I9LQ21	-0.400000
A0A1I9LQ23	0.970000
A0A1I9LQB3	-0.570000
A0A1I9LQQ9	-0.940000
A0A1I9LR04	0.840000
A0A1I9LR43	-0.160000
A0A1I9LRA3	0.880000
A0A1I9LRI3	-0.360000
A0A1I9LRJ6	0.080000
A0A1I9LRM3	0.160000
A0A1I9LRS8	-0.970000
A0A1I9LSC2	-0.200000
A0A1I9LSC3	0.520000
A0A1I9LSH2	0.000000
A0A1I9LSK3	-0.160000
A0A1I9LSL6	-0.310000
A0A1I9LST4	-0.870000
A0A1I9LT21	0.380000
A0A1I9LT44	-0.080000
A0A1I9LT48	-0.300000
A0A1I9LT68	-0.420000
A0A1I9LT70	0.290000
A0A1I9LTQ6	0.460000
A0A1I9LTR5	-0.350000
A0A1P8AM12	-0.090000
A0A1P8AM23	-0.380000
A0A1P8AM79	-1.270000
A0A1P8AMF1	0.080000
A0A1P8AMI8	-0.680000
A0A1P8AMQ1	-0.640000
A0A1P8AMR1	-1.020000
A0A1P8AMS1	0.220000
A0A1P8AMW2	-1.570000
A0A1P8AMX1	-0.260000
A0A1P8ANC2	0.080000
A0A1P8ANE5	0.370000
A0A1P8ANP3	0.010000
A0A1P8ANX8	0.360000
A0A1P8AP70	0.180000
A0A1P8APG3	0.570000
A0A1P8API2	0.790000
A0A1P8APK3	0.050000
A0A1P8APR6	-0.070000
A0A1P8APW3	-0.400000
A0A1P8APY5	-0.220000
A0A1P8AQ08	-0.150000
A0A1P8AQ69	-0.170000
A0A1P8AQ84	2.070000
A0A1P8AQG8	-0.710000
A0A1P8AQS2	-0.250000
A0A1P8AQT8	1.750000
A0A1P8AQY7	-2.560000
A0A1P8AR36	1.520000
A0A1P8AR50	-0.730000
A0A1P8AR99	-0.420000
A0A1P8ARD2	-0.750000
A0A1P8ARF1	0.000000
A0A1P8ARU9	-1.090000
A0A1P8ARX4	-0.560000
A0A1P8ARX7	0.410000
A0A1P8AS28	-0.030000
A0A1P8ASF1	0.510000
A0A1P8ASJ4	-0.370000
A0A1P8ASL0	-0.350000
A0A1P8ASL1	-0.740000
A0A1P8ASQ8	-0.440000
A0A1P8ASR5	-0.520000
A0A1P8AST0	-0.540000
A0A1P8ASY3	0.170000
A0A1P8AT01	-0.210000
A0A1P8AT46	-0.490000
A0A1P8AT97	-0.150000
A0A1P8ATA9	-0.260000
A0A1P8ATB0	-0.640000
A0A1P8ATG5	0.000000
A0A1P8ATL2	-0.220000
A0A1P8ATN7	0.480000
A0A1P8ATW8	-0.540000
A0A1P8ATX5	-0.920000
A0A1P8ATX7	-0.470000
A0A1P8AU10	0.340000
A0A1P8AU99	1.650000
A0A1P8AUA0	0.080000
A0A1P8AUC4	0.370000
A0A1P8AUD8	-0.560000
A0A1P8AUM8	-0.650000
A0A1P8AUP4	-0.240000
A0A1P8AUR0	0.240000
A0A1P8AUR4	-0.380000
A0A1P8AUU7	-1.740000
A0A1P8AUX7	0.930000
A0A1P8AUZ9	-1.020000
A0A1P8AV08	0.220000
A0A1P8AV73	-0.700000
A0A1P8AVD8	0.000000
A0A1P8AVE9	-1.000000
A0A1P8AVI9	-0.080000
A0A1P8AVM2	0.530000
A0A1P8AVQ6	1.250000
A0A1P8AW83	-0.230000
A0A1P8AWA3	0.010000
A0A1P8AWE7	-0.480000
A0A1P8AWM1	-0.220000
A0A1P8AWP1	-0.090000
A0A1P8AWP6	-0.300000
A0A1P8AWP9	0.140000
A0A1P8AWQ1	0.560000
A0A1P8AWX3	-0.560000
A0A1P8AX55	0.150000
A0A1P8AX61	-0.150000
A0A1P8AX98	-0.380000
A0A1P8AXC1	-1.000000
A0A1P8AXC4	-3.360000
A0A1P8AXD8	-0.420000
A0A1P8AXK2	0.580000
A0A1P8AXW4	-0.090000
A0A1P8AXX8	-0.240000
A0A1P8AY28	-0.870000
A0A1P8AY30	-0.750000
A0A1P8AY36	0.350000
A0A1P8AYA1	-0.010000
A0A1P8AYE7	-1.020000
A0A1P8AYI3	-0.230000
A0A1P8AZ83	0.190000
A0A1P8AZ84	-0.930000
A0A1P8AZH4	-0.090000
A0A1P8AZL4	-0.200000
A0A1P8AZM7	-0.180000
A0A1P8AZP9	0.700000
A0A1P8AZS7	1.930000
A0A1P8B0B7	0.640000
A0A1P8B0L9	-0.020000
A0A1P8B0M4	-0.510000
A0A1P8B0W4	-0.480000
A0A1P8B103	0.380000
A0A1P8B189	3.010000
A0A1P8B1B5	1.910000
A0A1P8B1D0	-0.700000
A0A1P8B1I9	-0.510000
A0A1P8B1L4	0.290000
A0A1P8B1V1	0.990000
A0A1P8B209	-1.040000
A0A1P8B223	-0.460000
A0A1P8B252	0.410000
A0A1P8B279	-0.010000
A0A1P8B2D9	0.130000
A0A1P8B2F0	0.500000
A0A1P8B2L8	0.040000
A0A1P8B2U9	0.190000
A0A1P8B346	-0.250000
A0A1P8B3B6	-0.390000
A0A1P8B3K8	-0.470000
A0A1P8B3N6	-0.120000
A0A1P8B3S1	-1.140000
A0A1P8B3U2	-1.080000
A0A1P8B407	0.680000
A0A1P8B413	-0.550000
A0A1P8B454	-0.560000
A0A1P8B475	0.430000
A0A1P8B485	-0.400000
A0A1P8B490	-0.580000
A0A1P8B493	-0.230000
A0A1P8B4J3	-0.730000
A0A1P8B4P3	-2.730000
A0A1P8B4W3	0.230000
A0A1P8B4X7	-0.090000
A0A1P8B577	-0.090000
A0A1P8B5K1	-0.330000
A0A1P8B5L7	-0.930000
A0A1P8B5L9	-0.190000
A0A1P8B5U2	-1.250000
A0A1P8B5Y3	0.380000
A0A1P8B637	0.140000
A0A1P8B644	-0.470000
A0A1P8B667	0.130000
A0A1P8B687	0.940000
A0A1P8B6F8	-0.170000
A0A1P8B6G3	-0.130000
A0A1P8B6J0	-0.010000
A0A1P8B6W3	-0.890000
A0A1P8B721	-0.380000
A0A1P8B770	-0.530000
A0A1P8B7C6	-0.450000
A0A1P8B7C8	0.830000
A0A1P8B7F1	-0.170000
A0A1P8B7H4	-0.310000
A0A1P8B7M5	0.100000
A0A1P8B7P6	-1.270000
A0A1P8B7W9	0.540000
A0A1P8B7Z8	0.050000
A0A1P8B849	0.940000
A0A1P8B870	0.110000
A0A1P8B894	1.030000
A0A1P8B8H5	0.540000
A0A1P8B8I4	0.150000
A0A1P8B8I9	-0.770000
A0A1P8B8L9	-0.460000
A0A1P8B8R9	-0.490000
A0A1P8B8W5	-0.120000
A0A1P8B930	0.400000
A0A1P8B937	0.550000
A0A1P8B9J5	-0.570000
A0A1P8B9J8	0.170000
A0A1P8B9K9	0.440000
A0A1P8B9L6	-2.770000
A0A1P8B9P2	-0.480000
A0A1P8B9R0	-0.380000
A0A1P8B9U3	-0.470000
A0A1P8BAB8	0.470000
A0A1P8BAJ3	-0.610000
A0A1P8BAQ0	0.560000
A0A1P8BAU5	0.450000
A0A1P8BAW5	0.170000
A0A1P8BAY5	-0.160000
A0A1P8BBC4	-0.220000
A0A1P8BBL0	0.460000
A0A1P8BBV1	0.290000
A0A1P8BBW1	-0.330000
A0A1P8BBY4	0.100000
A0A1P8BC80	-0.110000
A0A1P8BCG1	0.430000
A0A1P8BCJ3	1.200000
A0A1P8BCV2	-0.190000
A0A1P8BCX7	-0.080000
A0A1P8BD13	-0.450000
A0A1P8BD35	1.740000
A0A1P8BD58	-0.100000
A0A1P8BD92	0.000000
A0A1P8BDK9	-0.370000
A0A1P8BDP7	-0.340000
A0A1P8BDT6	-0.320000
A0A1P8BDV1	0.420000
A0A1P8BE58	0.230000
A0A1P8BEB3	0.280000
A0A1P8BEF2	-0.080000
A0A1P8BEG1	-0.440000
A0A1P8BEG9	-0.300000
A0A1P8BEU1	-0.050000
A0A1P8BF32	0.140000
A0A1P8BF77	-0.880000
A0A1P8BF80	-0.620000
A0A1P8BFC2	-0.070000
A0A1P8BFP6	0.010000
A0A1P8BFZ5	-0.460000
A0A1P8BG37	0.770000
A0A1P8BG38	-0.170000
A0A1P8BGH2	-0.530000
A0A1P8BGI7	-0.050000
A0A1P8BGT5	0.400000
A0A1P8BGW0	0.810000
A0A1P8BGZ1	-0.570000
A0A1P8BGZ7	0.270000
A0A1P8BH17	0.190000
A0A1P8BH66	0.090000
A0A1P8BH73	0.260000
A0A1P8BHI7	1.010000
A0A1R7T377	-0.370000
A0A1R7T3C8	-0.400000
A0A1R7T3E0	-0.630000
A0A1R7T3J1	-0.310000
A0A1R7T3K7	0.050000
A0A219HZH3	-1.060000
A0A2H1ZE19	-0.190000
A0A2H1ZE34	-0.760000
A0A2H1ZEA9	0.150000
A0A2H1ZEC4	-0.500000
A0A2H1ZEE9	-1.330000
A0A2H1ZEJ0	0.580000
A0A2H1ZEJ8	-0.900000
A0A2H1ZEM8	0.000000
A0A2P2CLF3	-0.630000
A0A2P2CLF6	-0.270000
A0A2P2CLF9	-0.240000
A0A2P2CLH9	-0.540000
A0JQ00	-0.130000
A0JQ12	-0.020000
A0MFS5	-0.160000
A1A6H3	-0.040000
A1A6M1	0.970000
A1L4Y4	0.770000
A2RVJ8	-0.410000
A2RVM0	-0.120000
A2RVS6	-1.000000
A2RVV4	0.340000
A3KPF2	-0.270000
A4FVN8	-0.750000
A4FVS9	0.350000
A4GNA8	-0.420000
A4GSN8	-0.550000
A4IJ41	-0.700000
A7WM73	-0.510000
A8MPR5	-1.010000
A8MQ78	0.090000
A8MQ96	-1.030000
A8MQA1	0.010000
A8MQE5	-0.040000
A8MQH0	0.160000
A8MQH3	-0.140000
A8MQK3	0.010000
A8MQL8	1.860000
A8MQN9	0.650000
A8MQP0	0.190000
A8MQP6	1.430000
A8MQR4	1.450000
A8MQR6	0.200000
A8MQX0	-0.840000
A8MQY4	0.670000
A8MR02	0.130000
A8MR14	-0.920000
A8MR27	-0.400000
A8MR40	0.040000
A8MR47	1.610000
A8MR72	0.300000
A8MR97	-0.640000
A8MRG3	-0.430000
A8MRI5	-0.220000
A8MRK6	0.750000
A8MRM0	0.950000
A8MRP2	-0.010000
A8MRQ5	1.590000
A8MRW1	2.000000
A8MRX0	-0.320000
A8MS32	0.490000
A8MS48	-0.320000
A8MS68	0.460000
A8MS85	-0.800000
A8MSD8	0.130000
A8R7E6	-0.460000
A8R7K9	-0.300000
B0F9L4	-0.520000
B3H4B6	0.410000
B3H581	-0.420000
B3H5K9	0.970000
B3H5L3	-0.260000
B3H5V4	-0.400000
B3H5W6	-0.150000
B3H604	0.330000
B3H609	-0.510000
B3H658	-0.690000
B3H661	-0.040000
B3H684	0.090000
B3H6I9	-0.390000
B3H6J5	-1.160000
B3H745	-0.010000
B3H778	-0.260000
B3H7H1	-0.130000
B3H7I9	1.550000
B3H7N1	-0.190000
B3LFA4	-0.170000
B5X0I6	-0.770000
B5X503	-0.120000
B6EUA5	0.370000
B7ZWR6	0.150000
B9DFG3	-0.520000
B9DFI7	-1.090000
B9DFK5	-0.850000
B9DFQ9	0.300000
B9DFR6	0.170000
B9DG17	0.420000
B9DG18	0.060000
B9DG21	-0.090000
B9DG54	-1.310000
B9DG63	-0.810000
B9DGD6	-0.280000
B9DGT7	0.080000
B9DH36	0.250000
B9DH52	0.040000
B9DH97	1.300000
B9DHD7	-0.730000
B9DHK3	-0.340000
B9DHQ0	-0.300000
C0LGD7	0.010000
C0LGE0	0.230000
C0LGG6	0.340000
C0LGG8	-0.430000
C0LGG9	-0.710000
C0LGH2	0.560000
C0LGK4	-0.110000
C0LGM1	0.390000
C0LGN2	-0.170000
C0LGP9	-0.250000
C0LGQ9	-0.120000
C0LGT1	-0.220000
C0Z241	-0.290000
C0Z268	-0.410000
C0Z2J1	0.190000
C0Z352	-1.310000
C0Z361	-0.610000
D7SFH9	0.150000
F4HNU6	-0.070000
F4HPS0	0.220000
F4HQ17	0.180000
F4HQ30	1.340000
F4HQ84	-1.440000
F4HQ87	-0.490000
F4HQA8	-0.330000
F4HQD4	0.650000
F4HQE1	-0.470000
F4HQE7	-0.310000
F4HQH8	0.060000
F4HQN3	-0.330000
F4HQZ1	0.310000
F4HR91	0.150000
F4HRS2	-0.320000
