#geneID	FLT_vs_GC
AT3G05510	-0.403577
AT1G31070	-0.930562
AT1G43790	0.475539
AT5G53880	-0.230808
ATCG00630	-0.851923
AT3G47740	0.370848
AT2G02820	-0.894830
AT4G02400	-0.255671
AT2G30370	-0.368952
AT4G18590	-0.526119
AT3G46730	0.117985
AT3G21175	0.411033
AT4G33140	-0.849013
AT2G36160	-0.402037
AT5G17260	0.700501
AT2G46370	-0.098042
AT4G18820	-0.199692
AT2G47810	0.281969
AT1G73020	0.418988
AT3G13800	-0.569234
AT3G49590	0.559668
AT5G09810	-0.364628
AT5G25240	0.584531
AT5G24450	0.330417
AT3G23330	-1.000146
AT3G51760	0.225888
AT4G08800	-0.279325
AT2G33735	0.831212
AT5G62020	0.795670
AT3G58390	0.167266
AT3G57130	-0.452192
AT2G04630	-0.999547
AT1G21210	0.813142
AT4G16190	0.534820
AT1G53830	0.661001
AT5G66960	0.378239
AT3G11060	-0.289841
AT1G34480	0.347756
AT4G24050	-0.551135
AT4G39350	0.368412
ATCG00670	-0.314964
AT5G67130	-0.389912
AT4G32270	0.323508
AT3G17630	0.504261
AT1G52870	-0.684700
AT4G02120	-0.543315
AT5G42570	-0.371795
AT1G17060	0.350741
AT2G46240	0.418323
AT5G54800	-1.146864
AT1G03430	-0.459452
AT3G11330	0.936291
AT1G30545	-0.343782
AT2G21410	0.728738
AT2G36790	1.500688
AT4G15400	0.425323
AT4G30850	-0.439664
AT1G28440	-0.542239
AT1G67560	0.499089
AT2G33490	-0.563120
AT1G50650	0.474554
AT3G46490	-1.135594
AT4G09320	-0.338623
AT5G49200	-0.441611
AT2G33010	0.390300
AT1G61630	0.509377
AT2G21800	-0.409875
AT1G22370	0.470753
AT2G41310	-0.746758
AT5G27940	0.421739
AT1G68420	-0.136885
AT2G36970	0.608381
AT1G78450	0.780207
AT3G63240	0.399080
AT2G07190	0.351783
AT2G39700	-1.073311
AT1G33900	0.422050
AT3G28540	-0.661547
AT4G01897	-0.590904
AT4G21500	0.342379
AT1G70060	-0.444643
AT5G48690	0.297200
AT2G29360	-0.901524
AT2G42740	-0.537599
AT2G15680	0.743075
AT3G24495	-0.308279
AT4G19095	0.564398
AT5G23530	0.555300
AT2G45420	-0.186448
AT1G51650	-0.678135
AT5G46250	0.565761
AT4G01150	-0.485119
AT1G21440	-0.290627
AT5G63690	0.576665
AT5G63910	-0.591305
AT1G49290	0.180322
AT5G09500	0.642352
AT1G31290	0.308394
AT5G40640	-0.448526
AT1G24530	0.930953
