#geneID	FLT_vs_GC
AT1G21050	-0.517660
AT3G57800	0.624935
AT1G35490	-0.237072
AT1G56450	-0.272241
AT1G48100	-1.254603
AT3G53560	-0.357545
AT1G16470	-0.315809
AT3G44730	-0.428212
AT1G53240	-0.368651
AT3G60830	-0.334938
AT2G44370	-1.214946
AT4G19460	-0.772359
AT5G18350	0.152154
AT3G56200	0.308601
AT5G65360	-0.224314
AT1G06760	-0.609528
AT4G21680	0.909312
AT5G63650	-0.418649
AT1G02560	-0.314595
AT1G04550	-0.513749
AT5G06800	0.710402
AT5G02600	0.365988
AT5G27720	-0.360410
AT5G51830	-0.506933
AT1G25450	0.597694
AT1G70100	0.341537
AT2G31380	-0.892110
AT1G71850	-0.466972
AT4G14680	0.392772
AT5G28080	0.265961
AT1G30840	-0.775200
AT1G56330	-0.190426
AT5G05000	-0.404389
AT3G56360	0.536487
AT5G64120	-1.410737
AT5G19000	-0.212664
AT3G56230	0.473881
AT1G78630	-0.361012
AT4G37780	0.492943
AT1G43860	-0.367139
AT5G45210	-0.228673
AT2G40260	-0.315434
AT4G30800	-0.290941
AT1G31817	-0.262735
AT2G21960	-0.317876
AT3G04970	-0.319336
AT5G11260	-0.761221
AT5G58782	0.168517
AT3G17340	-0.316160
AT3G59400	-0.331687
AT5G64110	-1.469060
AT5G46730	-1.672073
AT1G75880	-0.226889
AT4G36540	0.518303
AT4G28820	0.374333
AT2G01940	0.374923
AT3G56150	-0.410367
AT5G27395	-0.287332
AT3G10270	-0.209986
AT3G14200	0.763049
AT1G78080	-0.273939
AT3G60770	-0.192548
AT1G18570	1.116152
AT5G13630	-0.345348
AT3G52740	-0.716686
AT3G60450	-0.175736
AT5G13050	-0.284645
AT1G52230	-0.309635
AT1G75510	-0.326047
AT3G50360	-0.245576
AT3G59990	-0.283178
AT1G67250	-0.104751
AT5G54100	-0.329913
AT5G12340	0.395623
AT1G43040	1.581528
AT2G36885	-0.392487
AT1G32550	-0.358569
AT3G61240	-0.397534
AT4G09940	-0.208647
AT5G09280	0.239299
AT4G31300	-0.436792
AT2G18680	0.383021
AT3G17609	-0.773532
AT5G43010	-0.455102
AT2G05120	-0.415945
AT1G76070	0.533602
AT5G08050	-0.410984
AT2G34600	2.730008
AT5G23210	0.435356
AT5G67420	0.569819
AT1G03710	-0.144807
AT3G26690	0.256690
AT5G18370	-0.306663
AT1G61870	-0.456040
AT5G43480	-0.178981
AT2G43090	-0.350689
AT3G54290	0.331611
AT4G38620	1.297589
AT5G17510	-0.328122
AT4G15530	0.578438
AT1G02270	-0.219607
AT2G44065	-0.228004
AT4G31580	-0.462064
AT5G60960	-0.218876
AT1G19970	0.394003
AT1G17050	-0.450092
AT1G78300	-0.459546
AT2G36580	-0.451375
AT2G39400	0.595865
AT5G01450	-0.394418
AT5G01660	-0.254470
AT4G18480	-0.389111
AT4G30270	0.824137
AT1G69295	-0.480997
AT4G01700	-0.985551
AT2G17630	-0.409978
AT1G08970	-0.168571
AT2G14050	-0.365882
AT1G36310	-0.292727
AT3G62100	-0.438062
AT5G49150	-0.358879
AT2G04020	0.213009
AT1G22300	-0.269715
AT5G17050	-0.987662
ATCG00700	0.397773
AT4G33680	-0.315152
AT2G16720	1.457067
AT4G17260	-0.496034
AT1G56150	0.539957
AT3G62220	-0.334561
AT5G14250	-0.412612
AT1G71690	-0.738622
AT5G43530	-0.333833
AT3G20280	-0.322036
AT2G47420	0.213867
AT2G14830	0.188831
AT4G09460	1.134490
AT1G57770	-0.377950
AT5G66510	-0.428131
AT1G60320	0.190305
AT1G06160	1.230759
AT3G56290	-1.160951
AT1G57620	-0.207486
AT1G62480	-0.318979
AT4G08520	-0.403783
AT5G50340	0.223739
AT2G40475	-0.224280
