#compound	FLT_vs_GC
2-Phosphoglycolate	0.020125
Glycolate	0.020125
Glyoxylate	0.020125
Glycine	0.020125
L-Serine	0.020125
Hydroxypyruvate	0.020125
D-Glycerate	0.020125
Ammonia	0.020125
3-Phospho-D-glycerate	-0.000860
Sucrose	-0.000860
D-Glucose	-0.000860
D-Fructose	-0.000860
Maltose	-0.000860
Starch	-0.000860
D-Ribulose 1,5-bisphosphate	0.020639
L-Asparagine	0.000860
L-Valine	0.000860
L-Leucine	0.000860
L-Isoleucine	0.000860
L-Glutamine	0.000860
L-Glutamate	0.000860
