#geneID	FLT_vs_GC
AT3G52740	-1.098672
AT2G16060	-0.862442
AT3G24550	0.415617
AT2G27500	0.939155
AT1G52140	-0.537255
AT1G13740	-0.431065
AT3G03270	-0.561414
AT3G13310	0.534474
AT4G08780	-1.134524
AT1G33560	0.511893
AT5G48400	-0.276482
AT4G38400	0.752230
AT1G58410	0.453638
AT2G40750	0.858363
AT4G23590	0.825096
AT5G50610	-0.298355
AT2G44525	-0.509902
AT2G36470	-0.355275
AT1G53035	-0.559252
AT1G03770	0.471194
AT4G08180	-0.419036
AT2G21120	0.523821
AT1G32200	0.342513
AT1G13260	1.358179
AT4G23496	-0.989422
AT1G72920	1.368655
AT1G03990	0.202824
AT1G35210	1.925746
AT2G32150	0.632787
AT1G35140	1.778809
AT4G36040	0.429908
AT2G16720	1.272529
AT5G03960	-0.778298
AT5G11260	-0.495027
AT1G27530	-0.282441
AT1G34760	-0.827745
AT5G40540	0.354277
AT1G53840	1.016461
AT5G66070	0.872346
AT1G71450	0.554254
AT4G22710	1.316515
AT1G56020	-0.364105
AT4G17750	-0.287988
AT5G47370	0.341597
AT3G17800	0.601467
AT5G10695	1.883453
AT5G10750	0.663614
AT4G14365	1.099791
AT1G78820	0.916166
AT4G13940	0.254351
AT5G17850	1.513717
AT5G44060	0.567691
AT5G59820	1.856597
AT1G07720	0.261990
AT5G44650	0.251592
AT4G31680	-0.218105
AT5G28150	-0.203387
AT4G25810	1.908627
AT2G46410	-0.452909
AT1G56580	-0.352092
AT5G27420	1.509262
AT2G23810	1.007189
AT5G05730	0.501412
AT2G17850	-1.274423
AT1G67570	-0.459664
AT5G54250	0.327414
AT1G13670	-0.900238
AT5G64260	0.700383
AT4G29120	-0.348854
AT3G46620	1.329612
AT5G19290	-0.311725
AT4G33985	0.966734
AT3G21560	-0.590990
AT3G22840	-1.194665
AT4G05460	-0.214518
AT4G23885	-0.257338
AT5G40370	-0.337374
AT3G49760	-1.011514
AT2G16660	0.480079
AT1G13340	1.008223
AT5G22250	2.173897
AT5G06720	0.583028
AT3G11490	-0.302590
AT3G51550	0.379785
AT2G24860	-0.430104
AT3G20560	0.330471
AT3G17390	0.388312
AT3G19680	1.319928
AT2G23550	0.156801
AT2G26080	0.349969
AT5G52510	0.239039
AT5G04370	0.806745
AT2G27080	1.613657
AT5G14580	0.487822
AT3G49530	1.300954
AT4G05050	0.212045
AT1G76880	0.304199
AT1G08480	-0.268080
AT1G44820	-0.416515
AT3G16720	0.991988
AT5G59550	1.495284
AT3G56290	-1.111897
AT2G26190	0.741435
AT1G79540	-0.190833
AT5G09810	0.240882
AT1G19770	1.544811
AT4G16360	-0.228420
AT4G16900	0.213647
AT3G15300	-0.348899
AT2G05940	1.975880
AT5G01700	0.538820
AT3G52400	0.830248
AT1G65270	-0.361686
AT5G25180	0.341616
AT4G18510	-0.424333
AT1G33760	0.379847
AT1G20770	-0.348892
AT4G31940	-0.370093
AT3G52800	0.663934
AT4G37000	0.287899
AT1G62970	0.394703
AT5G42000	-0.242172
AT2G21210	-0.485846
AT4G31760	-0.343513
AT2G28570	0.829888
AT1G73540	2.303328
AT2G35290	2.142776
AT5G66650	1.721591
AT1G74690	-0.428245
AT4G31890	-0.693279
AT1G73805	0.781067
AT5G44620	0.312888
AT4G31985	-0.237755
AT3G49650	-0.334074
AT3G61930	-0.687773
AT5G14430	0.193291
AT3G50060	1.967745
AT5G58070	-0.527051
AT4G23570	0.444401
AT4G21500	-0.287066
AT2G36220	1.706917
AT1G48140	-0.233180
AT3G62150	0.543823
AT3G19570	0.345019
AT5G24590	1.368022
AT3G04640	1.505430
AT2G48010	0.863941
AT3G56710	1.504417
AT3G06750	0.719975
AT1G23710	1.502674
AT5G65300	1.324875
AT5G04340	1.518026
AT5G44330	-0.321565
AT4G30440	0.529067
AT2G03180	-0.208817
AT2G47460	-0.786705
AT1G01225	-0.305663
AT1G72940	1.059037
AT5G53960	-0.126527
AT4G08950	1.267990
AT5G54490	1.772444
AT2G18210	0.791785
AT5G57560	2.262815
AT4G22150	-0.352949
AT2G31880	1.404083
AT3G11020	0.424686
AT2G37810	0.304832
AT2G18680	0.402588
AT3G17120	0.567771
AT2G35930	1.499984
AT1G76160	0.241442
AT3G10820	-0.229498
AT3G46530	0.372264
AT3G20500	0.425983
AT1G70420	0.859966
AT5G46710	0.611839
AT1G11340	0.169501
AT2G41250	0.455419
AT3G49220	0.480572
AT1G69980	-0.373091
AT5G39660	-0.472966
AT1G72240	1.043342
AT4G33070	-1.037080
AT2G48160	0.169967
AT1G74450	2.473394
AT1G58420	1.860954
AT4G33560	-1.008931
AT3G53400	0.438541
AT4G34990	0.948349
AT1G25400	1.209787
AT3G50930	1.957737
AT5G05410	2.250951
AT1G21050	-0.367454
AT3G62260	1.799829
AT5G42380	2.438392
AT5G46780	0.752660
AT1G76620	0.232972
AT4G37260	0.901007
AT1G77730	-0.474542
AT4G25610	0.144569
AT1G66180	0.619381
AT4G29650	0.226634
AT1G68880	-0.550741
AT4G11280	1.653478
AT5G52640	0.823560
AT5G04410	0.252454
AT1G17490	-0.226087
AT1G66260	0.429564
AT2G25430	-0.233116
AT5G52140	0.236067
AT2G03850	0.207069
AT2G41640	2.146299
AT1G67970	0.274712
AT3G45210	-0.601199
AT1G72950	0.714916
AT4G32500	-0.166843
AT1G76870	0.227514
AT1G80440	0.820602
AT3G20660	0.386136
AT4G33980	0.392532
AT5G63130	1.106762
AT4G32030	0.278493
AT2G27190	0.251293
AT5G52040	0.230480
AT3G28340	1.993499
AT2G40000	1.911679
AT2G29130	0.527408
AT4G05000	-0.480335
AT5G07150	-0.533909
AT5G47220	1.665354
AT1G14350	-0.566725
AT2G34300	0.482716
AT5G42650	1.323735
AT3G56880	0.876879
AT1G49530	0.225204
AT2G39650	1.239431
AT2G22500	1.639723
AT5G39890	-0.567287
AT1G15010	2.458299
AT1G19210	3.535258
AT1G79080	0.388244
AT3G17609	-0.747580
AT3G24780	0.420301
AT3G21700	-0.546786
AT2G13440	0.471715
AT5G45340	1.600476
AT3G45640	0.853259
AT1G20520	0.415442
AT5G02490	0.470314
AT4G32800	0.947888
AT3G09735	-0.396608
AT3G12830	0.579209
AT5G08500	0.401814
AT5G11070	1.728469
AT1G25550	0.559167
AT1G15100	-1.186646
AT1G01290	-0.343791
AT1G80340	-0.530748
AT4G03390	0.422606
AT1G76185	-0.341150
AT1G76650	1.810593
AT4G20130	0.169528
AT1G60930	0.300951
AT3G23030	-0.438749
AT2G17230	0.881754
AT5G35735	1.650676
AT1G77490	0.441950
AT3G29030	-0.309143
AT3G26744	0.428009
AT5G60300	0.351515
AT3G48690	0.381022
AT2G01300	1.130886
AT1G68620	1.056751
AT1G48900	0.265359
AT5G57510	0.725135
AT1G15430	0.635551
AT5G62020	0.710129
AT5G66210	1.031230
AT1G73500	0.861931
AT5G37770	1.000563
AT5G08330	0.711174
AT2G36650	1.658844
AT1G03820	-0.682306
AT4G14690	-0.769763
AT2G02130	-0.218499
AT2G39180	0.188488
AT2G33580	1.915773
AT5G47070	1.795364
AT2G33130	0.303795
AT2G30020	1.942906
AT3G22540	-0.537292
AT4G01850	0.282999
AT3G15350	0.846643
AT5G64870	1.461623
AT4G24210	-0.283348
AT5G44150	-0.409655
AT5G35580	1.641221
AT1G18570	0.671499
AT1G17745	0.416675
AT2G23210	-0.223941
AT3G55980	1.949386
AT3G54900	-0.407125
AT4G12720	0.415657
AT2G43290	0.477870
AT2G28430	-0.422177
AT5G49520	1.504720
AT5G52890	0.275006
AT4G32060	0.476108
AT3G61190	2.089532
AT3G59420	0.406546
AT5G01950	0.269204
AT1G32310	-0.391290
AT1G29340	0.484810
AT3G61890	0.631794
AT5G06320	1.196950
AT1G19180	1.191367
AT4G35985	0.597798
AT5G58120	1.181546
AT2G24570	0.438373
AT3G15530	0.593353
AT5G60800	0.531158
AT4G35740	0.296119
AT1G01320	0.820525
AT4G08400	-0.342073
AT3G44430	-0.355670
AT1G05630	-0.316647
AT1G06520	0.745643
AT5G54855	-0.260043
AT2G46400	1.945794
AT5G10580	-0.491041
AT3G23400	1.019101
AT5G35380	0.262343
AT4G16447	-0.763868
AT4G35940	0.421325
AT4G03320	-0.373056
AT4G23200	0.231872
AT5G01710	0.431827
AT5G59020	-0.387457
AT2G44770	-0.243860
AT5G11500	-0.287810
AT3G13470	0.725164
AT4G21710	0.277510
AT1G77640	1.414854
AT3G23250	2.547392
AT5G62260	-0.552452
AT5G57340	0.491071
AT3G45970	1.066120
AT5G49060	-0.378871
AT5G62620	0.427224
AT5G56260	-0.387426
AT4G13235	-0.502186
AT3G24500	0.540432
AT1G72360	-0.659107
AT1G59590	0.923743
AT1G50590	0.635841
AT3G50660	-0.447444
AT5G06240	-0.452714
AT1G27595	-0.429478
AT2G34960	-0.178801
AT1G80000	0.394690
AT2G40270	0.894639
AT4G18880	1.026199
AT5G50930	-0.232548
AT5G18360	-0.290959
AT5G02390	-0.433492
AT2G45080	0.754276
AT1G25560	0.597408
AT5G41740	0.650955
AT2G14110	-0.338319
AT1G11250	-0.227738
AT3G45960	1.602868
AT1G29195	-0.743837
AT2G40900	-0.554138
AT4G04210	-0.160420
AT2G34320	-0.211284
AT3G20590	0.838527
AT1G03900	-0.191070
AT3G62720	1.500812
AT4G27780	-0.360583
AT1G22600	0.237328
AT4G04460	-0.415644
AT4G38520	0.203208
AT3G44260	2.160135
AT4G33860	0.302513
AT1G56320	-0.514940
AT1G05575	1.634859
AT5G63030	-0.607859
AT1G67030	-0.858323
AT3G22530	-0.419199
AT4G24280	0.373279
AT4G36900	0.305717
AT1G61290	0.444895
AT1G19380	0.827189
AT3G49810	0.858132
AT1G15270	-0.227487
AT3G11990	0.231377
AT2G18740	-0.395166
AT1G75030	-0.604566
AT5G58430	1.113618
AT1G27510	0.382031
AT1G64490	-0.296777
AT1G05320	-0.378512
AT1G18740	1.778772
AT5G20090	-0.316202
AT3G13030	0.403743
AT1G58340	0.544380
AT5G22540	0.838875
AT3G12580	0.687876
AT4G27280	1.625296
AT1G28410	-0.209982
AT3G27310	-0.333720
AT1G13970	-0.674415
AT1G33280	0.564368
AT1G23850	0.367285
AT1G79390	-0.331589
AT3G15810	0.506639
AT5G45200	0.279200
AT2G44530	0.315296
AT4G27657	2.148835
AT2G46500	0.415187
AT4G27654	2.696581
AT4G38620	0.745425
AT3G17940	0.150742
AT1G64980	0.682095
AT3G43430	-0.230997
AT4G34730	-0.284214
AT5G66880	0.297547
AT5G66820	-0.194782
AT1G27100	0.986443
AT1G57980	1.383359
AT5G24150	-0.283241
AT2G14290	1.633651
AT2G07760	0.235083
AT5G59160	-0.285677
AT3G01260	-0.751182
AT1G35515	0.226446
AT4G34150	1.282943
AT3G50850	-0.526767
AT5G61600	1.353041
AT1G16510	-0.766093
AT1G69970	0.332081
AT4G26090	0.450452
AT1G22940	0.332899
AT4G01270	0.397521
AT2G45680	0.942713
AT5G25060	0.273552
AT4G17500	0.930108
AT2G31400	-0.277377
AT3G27100	-0.371442
AT4G18070	0.247652
AT1G74930	3.197749
AT2G47950	1.515267
AT2G25250	0.862239
AT1G73120	-1.659795
AT5G41400	0.687532
AT1G47750	-0.415836
AT3G57880	0.940084
AT5G48150	-0.376144
AT1G32640	1.245665
AT3G17890	-0.306671
AT1G01950	0.319674
AT5G01670	0.419675
AT4G20060	0.296135
AT4G30270	0.586068
AT3G26380	-0.354425
AT1G21120	0.325218
AT2G43040	-0.375290
AT3G19240	1.006916
AT2G05910	-0.744239
AT1G14450	-0.374189
AT1G27200	0.482309
AT1G21830	-0.187626
AT1G66500	1.723238
AT1G21390	0.435837
AT1G31950	0.862308
AT4G31800	1.668216
AT5G49450	0.662134
AT1G17010	-0.149037
AT3G51540	-0.871591
AT3G28430	-0.328364
AT2G42760	1.319285
AT2G45670	-0.302330
AT3G52960	-0.259022
AT5G15120	-0.655556
AT4G24170	-0.089561
AT2G44360	-0.307415
AT5G17350	2.206432
AT5G42890	-0.261816
AT4G35180	0.491666
AT4G34760	-0.633543
AT1G29270	-0.567762
AT2G02870	-0.359752
AT2G43890	0.212711
AT1G07280	0.429585
AT2G33980	-0.099369
AT1G70740	0.697043
AT5G51020	-0.387790
AT2G44840	2.333055
AT2G28460	-0.451958
AT3G15770	0.293036
AT1G03290	-0.349561
AT1G19630	-0.222307
AT2G31490	-0.286473
AT5G43070	-0.459431
AT4G34410	3.102938
AT5G08350	-0.261610
AT1G78510	-0.296632
AT3G10370	0.360953
AT2G04038	0.338926
AT3G12050	0.430122
AT5G58680	1.426001
AT2G02750	0.193195
AT4G25490	2.272274
AT2G29870	-0.646548
AT3G55500	-0.309085
AT2G26690	0.474720
AT2G42780	-0.303730
AT1G43800	-0.844951
AT4G36990	0.486615
AT4G01330	0.382815
AT5G64860	0.642006
AT5G24600	0.599563
AT3G49900	-0.278018
AT5G15230	-0.341701
AT1G05590	0.330124
AT1G44830	1.133287
AT1G10560	0.535617
AT3G51680	0.701488
AT1G23260	-0.223719
AT5G24470	-0.574952
AT2G33820	0.303823
AT1G13270	0.463649
AT3G56400	1.214464
AT4G16500	0.400234
AT2G29490	-0.567533
ATMG00510	0.149632
AT1G80840	2.631718
AT4G25510	0.168046
AT1G12210	-0.163642
AT1G04180	0.535808
AT3G44180	-0.185400
AT5G42980	-0.258671
AT5G64330	0.511923
AT3G57760	0.305191
AT5G09440	0.416719
AT1G45050	-0.331141
AT1G69270	0.419471
AT1G09070	1.101635
AT4G32930	-0.238327
AT4G17670	-0.473996
AT4G27652	1.475918
AT5G03640	-0.366569
AT4G03050	0.237678
AT5G42200	0.852628
AT5G19730	-0.580033
AT3G23170	1.306056
AT1G27730	1.765766
AT5G58650	-0.386833
AT1G08570	-0.502979
AT1G56160	-0.177877
AT3G28020	0.379429
AT4G35480	0.982973
AT5G03905	-0.349576
AT1G76020	-0.384883
AT1G31130	0.441471
AT4G08240	-0.272155
AT2G36950	0.250670
AT3G07770	0.581387
AT3G10860	-0.224707
AT5G26080	-0.477954
AT4G38880	0.184994
AT3G07490	-0.345279
AT1G63830	0.223891
AT2G15320	0.613565
AT4G29780	2.598155
AT2G33700	-0.527205
AT3G02840	2.640441
AT2G33240	0.228109
AT1G18840	-0.514596
AT4G04740	-0.092534
AT5G56470	0.258616
AT2G36050	0.439787
AT2G47190	1.217884
AT1G65620	0.298881
AT3G55760	0.324568
AT5G67300	0.622789
AT2G44130	0.770282
AT2G41010	1.120708
AT1G33060	0.493037
AT1G67470	0.980137
AT3G17330	0.445063
AT3G05327	0.194385
AT2G40140	1.041063
AT1G74430	0.572836
AT4G14420	-0.225371
AT4G27520	0.553072
AT3G62220	0.507852
AT1G15840	0.289219
AT5G08520	0.353441
AT1G09575	0.926858
AT1G61340	2.034701
AT2G35750	-0.322074
AT1G75550	-0.242527
AT3G49300	0.167771
AT5G40170	0.874006
AT3G18905	0.402230
AT3G55090	1.190590
AT1G62960	-0.258725
AT1G76600	1.825174
AT1G09940	0.775369
AT1G68200	0.309112
AT1G52920	0.348378
AT5G66310	0.245843
AT4G25220	-1.028208
AT1G32920	1.069914
AT5G03030	-0.174127
AT4G36010	0.480979
AT2G47560	-0.689988
AT5G58360	-0.298492
AT5G43690	-0.612727
AT4G34750	-0.878135
AT4G13230	-0.503371
AT2G26530	1.658787
AT5G39730	-0.259185
AT4G37180	0.294082
AT3G08670	0.336821
AT3G18690	1.205127
AT3G62450	-0.222608
AT5G42450	-0.271569
AT1G72450	0.924813
AT3G10660	-0.616264
AT3G56360	0.364577
AT2G21970	-0.436126
AT1G12610	2.569331
