#geneID	FLT_vs_GC
AT1G44800	-0.793633
AT5G43190	0.667888
AT5G08520	0.287389
AT2G45380	-0.129542
AT1G53450	0.151074
AT5G24450	0.397892
AT3G13310	1.192156
AT3G45860	1.464190
AT1G80360	0.212205
AT4G25260	0.513372
AT4G30650	-0.727266
AT5G15420	1.069745
AT3G30730	-0.214444
AT1G56450	-0.255205
AT3G03330	0.267739
AT1G72890	1.158001
AT3G18200	0.604921
AT5G05030	-0.249353
AT3G03470	0.685939
AT1G15670	1.441076
AT5G57420	-0.278589
AT2G31380	-0.868004
AT4G20220	-0.236003
AT5G49700	0.792860
AT3G11550	-0.231961
AT1G77960	-0.629763
AT5G16610	0.211519
AT1G74800	-0.499327
AT5G25140	0.317936
AT3G59800	0.309262
AT2G01760	0.403132
AT3G60250	0.381591
AT1G80440	1.259241
AT3G08840	0.530507
AT3G15500	1.664144
AT2G44990	-0.336698
AT5G49450	1.253497
AT2G28550	-0.617721
AT5G62920	-1.130396
AT2G31945	1.791596
AT1G06400	0.271493
AT5G18410	-0.200617
AT5G61440	0.897387
AT1G20980	0.305474
AT1G32127	0.632844
AT2G01820	-0.257496
AT2G31100	-0.284253
AT1G02730	-0.330718
AT3G02170	0.663694
AT4G11840	0.365485
AT1G02050	0.296095
AT1G11970	-0.233629
AT1G55930	-0.347275
AT5G01080	-0.247424
AT1G63710	-0.511658
AT1G78750	0.439855
AT5G62165	0.293474
AT5G64840	0.216411
AT2G02220	0.585433
AT3G22250	-0.295399
AT4G02075	0.640523
AT4G19580	-0.222262
AT2G25200	1.129638
AT4G14800	-0.209989
AT2G36790	1.519155
AT5G59480	-0.251748
AT1G51550	0.540750
AT4G09460	0.816911
AT5G03840	0.570078
AT5G54170	0.755979
AT1G13260	1.133680
AT5G05710	0.378324
AT1G29600	-0.196209
AT1G54260	-0.549802
AT1G20735	-0.271916
AT3G22235	-0.957251
AT1G70420	1.521859
AT4G35900	0.338121
AT5G45670	-0.235367
AT4G04960	0.427341
AT3G44450	-0.665607
AT3G60800	-0.270481
AT1G26270	0.665121
AT2G34610	-0.165834
AT2G22650	0.400787
AT4G05630	-0.204313
AT4G08760	-0.246829
AT5G25340	-0.401062
AT3G26640	0.188548
AT5G62030	0.178866
AT5G60680	0.656652
AT3G48780	0.278089
AT1G27900	0.195334
AT2G36670	0.400442
AT1G69490	1.298820
AT5G57550	0.469154
AT3G58600	0.334322
AT2G27040	-0.321436
AT1G16470	-0.325651
AT4G18610	-0.536368
AT2G23150	-0.340908
AT1G70290	1.078028
AT5G50110	0.206522
AT3G01660	-0.688639
AT1G36370	0.430186
AT1G59920	-0.436609
AT1G36070	0.419050
AT1G50080	-0.227183
AT4G11100	0.167686
AT5G01860	-0.183379
AT3G62650	0.272567
AT5G36805	-0.193475
AT1G15800	0.348044
AT5G59080	1.098212
AT5G50870	-0.186477
AT2G39580	0.345092
AT1G13140	-0.313781
AT4G13660	0.742045
AT4G05070	0.484375
AT1G08610	0.431002
AT2G24300	0.394855
AT4G13670	0.224755
AT5G18100	0.254629
AT3G12500	1.383960
AT3G42660	-0.373015
AT2G20670	1.580273
AT5G02770	0.206139
AT1G22200	-0.120049
AT5G24890	0.657422
AT5G18650	0.341075
AT1G08270	-0.249893
AT4G12650	-0.204233
AT1G78450	0.702840
AT3G01810	-0.238713
AT1G79750	0.233787
AT3G60840	-0.556200
AT3G52340	0.390594
AT5G25550	-0.384081
AT2G22260	0.409628
AT5G18140	0.342214
AT4G17990	-0.189157
AT1G25560	1.243275
AT3G07150	0.247859
AT3G25530	-0.249847
AT1G68440	0.342790
AT1G28260	0.590820
AT2G24540	-0.464858
AT1G55850	0.606886
AT4G10440	-0.341376
AT4G39170	-0.288025
AT1G25550	0.478326
AT5G46410	0.491704
AT3G62920	0.314265
AT3G62680	-0.221147
AT1G78210	-0.350066
AT1G63660	-0.249884
AT5G55260	-0.330015
AT3G16770	0.635806
AT3G04720	0.717945
AT5G62020	0.763283
AT3G46600	0.706009
AT1G61110	-0.388265
AT1G49800	-0.281728
AT5G10900	-0.340089
AT5G47420	-0.113786
AT5G22850	0.260851
AT1G53000	-0.297571
AT5G16270	-0.241304
AT4G23720	-0.552292
AT4G17350	-0.367905
AT5G49470	0.142871
AT5G41080	1.263795
AT3G19590	-0.414786
AT3G11750	0.504444
AT2G28410	-0.348852
AT2G02250	-0.248299
AT1G63550	-0.179136
AT1G31320	-0.469396
AT5G07100	0.814184
AT1G72900	1.152854
AT4G11120	-0.346678
AT5G07380	0.214710
AT5G24010	-0.354124
AT1G75950	-0.161235
AT5G42460	0.371897
AT3G07350	1.078972
AT3G10080	-0.429593
AT1G60980	-0.196874
AT5G15860	0.296269
AT4G13180	0.533656
AT2G18910	-0.273938
AT1G22640	0.649345
AT3G62420	0.456998
AT4G35000	-0.160846
AT2G18710	0.299608
AT5G40980	0.453927
AT3G59940	1.070102
AT3G47500	-0.884278
AT2G29605	-0.330447
AT4G37940	-0.273497
AT3G20780	0.197692
AT1G63840	0.783359
AT4G30140	-0.979320
AT3G07870	0.631492
AT4G08300	-1.099756
AT3G19230	-0.446524
AT2G44130	1.058576
AT5G05780	-0.332939
AT5G54890	-0.180105
AT4G34870	-0.206899
AT5G10720	-0.095623
AT1G12830	0.541244
AT4G00355	-0.275382
AT1G36640	-0.197937
AT5G45060	0.250670
AT1G78270	0.741128
AT4G38620	1.142081
AT1G74840	0.494091
AT2G04795	0.319499
AT3G49070	-0.377296
AT2G41510	-0.397226
AT2G16940	0.394963
AT3G12280	-0.178948
AT2G41720	0.256382
AT4G26880	-0.155389
AT5G19480	0.424108
AT3G49670	-0.499040
AT1G73830	0.900038
AT1G12290	0.306960
AT2G27830	1.095270
AT3G19540	0.342488
AT5G57200	-0.258152
AT5G51850	-0.526590
AT3G50010	-0.267919
AT4G28250	-0.853556
AT2G23950	0.167591
AT4G32970	0.462712
AT5G05920	-0.260008
AT2G39110	0.469937
AT1G23320	-0.198182
AT1G79410	-0.319810
AT1G17180	-0.215491
AT4G05530	-0.240765
AT4G21410	1.062289
AT2G30470	0.322176
AT3G02710	-0.284710
AT3G26220	1.074117
AT2G20190	-0.378943
AT4G02440	0.322216
AT1G01770	0.680448
AT5G48930	-0.204812
AT4G33160	0.487990
AT5G08580	-0.376814
AT3G57090	-0.199895
AT3G50310	0.327894
AT3G11250	-0.424707
AT4G11360	0.764655
AT4G15380	-0.236128
AT3G11470	0.378380
AT3G53250	0.923420
AT5G28820	-0.181168
AT5G14730	1.483165
AT4G23870	0.620557
AT2G35960	-0.480780
AT5G20250	1.056891
AT2G43360	-0.235329
AT4G19160	0.359576
AT5G28590	-0.249288
AT3G10020	0.818467
AT5G54530	-0.335968
AT1G28440	-0.366773
AT1G78440	-0.208221
AT4G29220	-0.150039
AT5G30490	0.206023
AT1G54740	0.621270
AT1G25400	1.354164
AT2G14700	-0.321035
AT2G17880	0.873179
AT3G60300	0.293081
AT5G65000	-0.200876
AT4G17620	0.419162
AT1G33470	-0.239392
AT5G67500	-0.158348
AT3G52970	-0.388551
AT5G49720	0.170110
AT5G19950	0.292704
AT5G64920	0.204564
AT5G09760	-0.274596
AT1G67550	0.360449
AT5G39220	-0.442859
AT1G04260	-0.390373
AT5G36770	-0.206353
AT2G20540	-0.278266
AT5G43130	0.127871
AT5G61820	0.554154
AT1G18370	-0.381514
AT5G51970	0.272376
AT1G16900	-0.339259
AT2G05580	-0.264338
AT1G43910	0.492236
AT5G43340	-0.317067
AT5G43520	-0.255542
AT5G23440	-0.297991
AT5G43370	0.149201
AT3G07160	-0.206763
AT3G22540	-0.243629
AT4G28290	0.717866
AT5G60070	-0.148353
AT5G62420	-0.250461
AT3G60060	-0.346563
AT4G08140	-0.433132
AT2G26490	-0.206416
AT3G24050	-0.209489
AT3G21080	0.807071
AT3G52930	-0.246588
AT2G46230	-0.199616
AT1G01070	-0.506274
AT2G20790	0.255652
AT1G08730	-0.339836
AT3G04120	-0.200184
AT1G15180	0.924863
AT3G61630	0.746349
AT5G50300	-0.222114
AT2G27940	-0.278719
AT1G58030	0.286636
AT2G19650	-0.618520
AT1G12820	0.492979
AT4G26200	1.233234
AT2G33010	-0.223525
AT3G07750	0.244160
AT3G02740	0.249599
AT1G51740	0.365483
AT4G31300	-0.259139
AT3G57290	-0.193756
AT4G16630	0.313438
AT4G28320	-0.363235
AT5G02270	-0.403598
AT4G34770	0.634113
AT1G26460	-0.220177
AT3G62860	0.590338
AT3G57800	0.213868
AT1G64610	0.587889
AT5G50900	0.220289
AT1G04680	-0.310328
AT3G02390	0.352008
AT1G04340	-0.260030
AT1G67520	0.313611
AT1G28300	-0.436446
AT3G60310	0.199523
AT5G60260	-0.193966
AT3G57480	0.265632
AT1G47260	-0.153145
AT4G11660	0.389252
AT1G68360	-0.386109
AT3G12490	-0.178783
AT1G11720	0.331597
AT5G07030	-0.378369
AT2G41020	0.232840
AT3G16330	-0.520072
AT1G47900	-0.320695
AT4G10925	0.375368
AT5G37590	-0.247070
AT1G21450	0.484313
AT3G09430	-0.135241
AT4G10910	0.852978
AT3G61060	0.739551
AT4G05450	-0.262252
AT1G23390	1.088663
AT1G36310	-0.204346
AT3G45210	-0.507091
AT5G58650	0.548618
AT1G28110	-0.391244
AT3G43430	0.842731
AT3G58580	-0.229080
AT2G44080	1.192924
AT1G08040	-0.318095
AT1G14700	-0.225935
AT2G01610	-0.655707
AT3G10550	0.308699
AT2G38020	0.278770
AT1G48320	0.688701
AT3G18520	0.295684
AT1G54560	-0.229444
AT4G28260	0.329210
AT2G36570	-0.774636
AT1G80630	0.464506
AT5G40460	0.579222
AT1G15500	0.416062
AT1G25390	0.396463
AT5G17130	-0.179333
AT5G53210	-0.437509
AT3G11580	0.609628
AT2G39220	-0.401679
AT1G51580	-0.349092
AT3G55680	-0.388403
AT3G09140	-0.181932
AT3G16857	0.259836
AT1G80900	0.370786
AT5G47850	0.473354
AT5G42540	0.425534
AT1G32020	-0.215957
AT5G63060	-0.380929
AT1G27820	0.299821
AT4G17900	0.627271
AT5G51390	0.754820
AT1G10470	-0.564934
AT4G39660	-0.229527
AT3G42850	-0.196669
AT3G56110	-0.201963
AT5G43070	-0.371423
AT5G37630	-0.443138
AT1G19190	0.293388
AT3G12370	-0.182532
AT3G01250	-0.211469
AT1G54990	-0.237196
AT3G22150	0.597092
AT5G42200	0.713258
AT4G37220	0.309316
AT4G00585	-0.198208
AT1G06930	-0.298326
AT5G20600	0.263076
AT3G22900	0.392724
AT5G54095	0.190361
AT5G61890	-0.207781
AT1G18280	-0.350893
AT1G23890	-0.563336
AT4G01370	0.218301
AT5G59180	-0.219862
AT4G25840	-0.355841
AT3G23880	1.029904
AT1G18080	-0.161978
AT5G65820	-0.232809
AT5G67480	0.552852
AT5G08350	0.736264
AT1G76800	-0.470084
AT1G53945	-0.267440
AT1G34370	0.241770
AT3G17140	-0.379155
AT3G21770	-0.464696
AT2G20270	-0.183355
AT5G02020	0.383549
AT4G20030	-0.390647
AT1G19270	0.658627
AT2G32390	-0.229708
AT1G70000	0.602453
AT2G45080	0.364442
AT3G26940	-0.260677
AT4G39730	-0.251010
AT2G37810	-0.279682
AT3G61990	0.577100
AT3G25410	-0.311607
AT3G13840	-0.244713
AT3G03790	-0.437783
AT1G30545	0.275559
AT1G74890	-0.525537
AT4G19350	-0.251994
AT1G58300	0.186340
AT3G45580	0.117505
AT5G55180	-0.300937
AT1G03610	0.443196
AT4G31160	-0.292981
AT1G72340	-0.204145
AT2G47960	0.276719
AT1G48690	-0.226058
AT2G28240	0.268699
AT1G56430	-0.622469
AT3G05140	-0.167735
AT2G21740	-0.194684
AT1G20800	-0.273140
AT1G31885	-0.324988
AT1G72940	0.988357
AT3G19860	0.368891
AT3G59630	-0.266957
AT5G41900	-0.491470
AT3G63130	-0.311202
AT1G04550	-0.330887
AT1G28960	0.416426
AT5G55980	0.157191
AT1G07520	0.496177
AT3G17330	0.276712
AT2G05830	-0.225182
AT1G04770	0.495513
AT2G27760	0.435213
AT1G79440	0.379037
AT1G13930	-0.410234
AT1G21000	0.897138
AT3G26510	0.967269
AT5G43920	0.350427
AT4G01800	0.285918
AT4G09320	-0.120894
AT1G03820	-0.607142
AT2G13360	0.227128
AT4G28270	0.511225
AT4G31140	-0.233128
AT3G52030	0.300375
AT1G77810	0.274087
AT1G05840	0.417794
AT4G27410	0.678152
AT4G17830	-0.238080
AT1G29760	0.342732
AT2G02710	0.760762
AT2G36710	-0.215658
AT3G27880	-0.300885
AT3G45900	0.411325
AT1G18570	1.055678
AT1G20520	0.757875
AT4G14600	0.154503
AT1G54640	-0.154217
AT2G46380	-0.381935
AT2G01410	-0.317634
AT3G21380	-0.329535
AT3G02040	1.390976
AT4G01170	0.363462
AT5G38240	0.232500
AT5G36950	0.266239
AT3G49260	-0.334760
AT1G18850	-0.273921
AT1G20693	-0.516339
AT4G26090	0.742863
AT1G74870	0.360284
AT1G21630	-0.152978
AT5G11520	-0.237396
AT1G25570	-0.205047
AT3G30290	-0.317439
AT4G10370	-0.299677
AT5G40340	0.527220
AT2G21080	-0.253809
AT3G18490	-0.289325
AT2G07713	-0.428841
AT2G46300	-0.360088
AT5G18290	-0.638520
AT3G26840	0.601633
AT1G64660	0.401580
AT5G40690	0.273854
